,epochs,lmbd
0,0,1.2021136
1,1,1.2026805
2,2,1.2032421
3,3,1.203791
4,4,1.204319
5,5,1.2048168
6,6,1.2052745
7,7,1.2056824
8,8,1.2060324
9,9,1.2063193
10,10,1.2065421
11,11,1.2067035
12,12,1.2068092
13,13,1.2068671
14,14,1.2068868
15,15,1.2068783
16,16,1.2068521
17,17,1.2068186
18,18,1.2067878
19,19,1.2067688
20,20,1.206769
21,21,1.2067946
22,22,1.2068491
23,23,1.2069339
24,24,1.207048
25,25,1.2071888
26,26,1.2073518
27,27,1.2075315
28,28,1.2077214
29,29,1.207915
30,30,1.2081051
31,31,1.2082851
32,32,1.2084489
33,33,1.2085911
34,34,1.2087084
35,35,1.2087983
36,36,1.2088604
37,37,1.2088956
38,38,1.2089064
39,39,1.2088963
40,40,1.2088699
41,41,1.2088323
42,42,1.2087888
43,43,1.2087443
44,44,1.208704
45,45,1.2086713
46,46,1.2086492
47,47,1.2086391
48,48,1.2086414
49,49,1.2086554
50,50,1.2086791
51,51,1.2087098
52,52,1.2087444
53,53,1.2087797
54,54,1.208812
55,55,1.2088382
56,56,1.2088559
57,57,1.2088629
58,58,1.2088583
59,59,1.2088419
60,60,1.2088144
61,61,1.2087773
62,62,1.2087327
63,63,1.2086827
64,64,1.20863
65,65,1.2085768
66,66,1.2085252
67,67,1.208477
68,68,1.2084335
69,69,1.208395
70,70,1.2083615
71,71,1.2083322
72,72,1.2083061
73,73,1.2082816
74,74,1.2082576
75,75,1.2082322
76,76,1.2082045
77,77,1.2081734
78,78,1.2081386
79,79,1.2080996
80,80,1.2080568
81,81,1.2080107
82,82,1.207962
83,83,1.2079121
84,84,1.2078617
85,85,1.2078118
86,86,1.2077632
87,87,1.207717
88,88,1.2076733
89,89,1.2076323
90,90,1.2075942
91,91,1.2075582
92,92,1.2075242
93,93,1.2074912
94,94,1.2074587
95,95,1.2074261
96,96,1.2073928
97,97,1.2073584
98,98,1.2073225
99,99,1.2072854
100,100,1.2072473
101,101,1.2072082
102,102,1.2071688
103,103,1.2071294
104,104,1.2070907
105,105,1.2070531
106,106,1.2070167
107,107,1.2069821
108,108,1.2069492
109,109,1.2069179
110,110,1.2068882
111,111,1.2068597
112,112,1.2068324
113,113,1.206806
114,114,1.20678
115,115,1.2067542
116,116,1.2067287
117,117,1.2067032
118,118,1.2066779
119,119,1.206653
120,120,1.2066283
121,121,1.2066044
122,122,1.2065812
123,123,1.2065591
124,124,1.206538
125,125,1.2065182
126,126,1.2064995
127,127,1.206482
128,128,1.2064657
129,129,1.2064503
130,130,1.2064356
131,131,1.2064215
132,132,1.2064078
133,133,1.2063944
134,134,1.2063813
135,135,1.2063684
136,136,1.2063557
137,137,1.2063432
138,138,1.2063311
139,139,1.2063196
140,140,1.2063087
141,141,1.2062985
142,142,1.2062889
143,143,1.2062802
144,144,1.2062721
145,145,1.2062647
146,146,1.2062577
147,147,1.2062509
148,148,1.2062443
149,149,1.2062378
150,150,1.2062314
151,151,1.2062249
152,152,1.2062186
153,153,1.2062124
154,154,1.2062063
155,155,1.2062005
156,156,1.2061948
157,157,1.2061892
158,158,1.2061838
159,159,1.2061789
160,160,1.2061744
161,161,1.2061698
162,162,1.2061656
163,163,1.2061615
164,164,1.2061576
165,165,1.2061535
166,166,1.2061495
167,167,1.2061454
168,168,1.2061415
169,169,1.2061374
170,170,1.2061334
171,171,1.2061293
172,172,1.2061254
173,173,1.2061214
174,174,1.2061176
175,175,1.2061137
176,176,1.2061098
177,177,1.2061061
178,178,1.2061024
179,179,1.2060986
180,180,1.2060949
181,181,1.2060912
182,182,1.2060874
183,183,1.2060835
184,184,1.2060795
185,185,1.2060757
186,186,1.2060717
187,187,1.2060678
188,188,1.2060639
189,189,1.2060597
190,190,1.2060555
191,191,1.2060513
192,192,1.2060472
193,193,1.2060431
194,194,1.2060391
195,195,1.2060351
196,196,1.2060311
197,197,1.206027
198,198,1.2060232
199,199,1.2060192
200,200,1.2060152
201,201,1.2060113
202,202,1.2060072
203,203,1.2060032
204,204,1.205999
205,205,1.205995
206,206,1.205991
207,207,1.2059871
208,208,1.2059834
209,209,1.2059798
210,210,1.2059761
211,211,1.2059726
212,212,1.205969
213,213,1.2059653
214,214,1.2059616
215,215,1.2059578
216,216,1.205954
217,217,1.2059499
218,218,1.2059458
219,219,1.2059418
220,220,1.205938
221,221,1.205934
222,222,1.2059304
223,223,1.2059268
224,224,1.2059232
225,225,1.2059197
226,226,1.2059163
227,227,1.2059127
228,228,1.2059091
229,229,1.2059053
230,230,1.2059016
231,231,1.2058977
232,232,1.2058939
233,233,1.20589
234,234,1.2058865
235,235,1.2058829
236,236,1.2058794
237,237,1.205876
238,238,1.2058725
239,239,1.2058691
240,240,1.2058657
241,241,1.2058623
242,242,1.2058588
243,243,1.2058553
244,244,1.2058516
245,245,1.205848
246,246,1.2058444
247,247,1.2058408
248,248,1.2058372
249,249,1.2058337
250,250,1.2058301
251,251,1.2058264
252,252,1.2058231
253,253,1.2058196
254,254,1.2058161
255,255,1.2058128
256,256,1.2058095
257,257,1.2058063
258,258,1.2058029
259,259,1.2057995
260,260,1.205796
261,261,1.2057924
262,262,1.2057889
263,263,1.205785
264,264,1.2057815
265,265,1.2057778
266,266,1.2057738
267,267,1.20577
268,268,1.205766
269,269,1.2057618
270,270,1.2057576
271,271,1.2057534
272,272,1.2057492
273,273,1.2057449
274,274,1.2057406
275,275,1.2057363
276,276,1.2057321
277,277,1.205728
278,278,1.205724
279,279,1.20572
280,280,1.2057161
281,281,1.2057123
282,282,1.2057087
283,283,1.2057053
284,284,1.2057021
285,285,1.2056988
286,286,1.2056959
287,287,1.205693
288,288,1.2056903
289,289,1.2056875
290,290,1.2056849
291,291,1.2056825
292,292,1.2056801
293,293,1.2056782
294,294,1.2056763
295,295,1.2056745
296,296,1.205673
297,297,1.2056715
298,298,1.2056701
299,299,1.2056686
300,300,1.205667
301,301,1.2056652
302,302,1.2056633
303,303,1.2056615
304,304,1.2056596
305,305,1.2056577
306,306,1.2056558
307,307,1.2056538
308,308,1.2056518
309,309,1.2056497
310,310,1.2056476
311,311,1.2056454
312,312,1.2056434
313,313,1.2056414
314,314,1.2056394
315,315,1.2056375
316,316,1.2056357
317,317,1.2056339
318,318,1.2056324
319,319,1.2056311
320,320,1.20563
321,321,1.2056286
322,322,1.2056274
323,323,1.2056265
324,324,1.2056254
325,325,1.2056245
326,326,1.2056233
327,327,1.2056222
328,328,1.2056209
329,329,1.2056195
330,330,1.2056178
331,331,1.2056162
332,332,1.2056147
333,333,1.2056129
334,334,1.2056112
335,335,1.2056093
336,336,1.2056077
337,337,1.2056059
338,338,1.2056042
339,339,1.2056026
340,340,1.2056012
341,341,1.2056
342,342,1.205599
343,343,1.2055982
344,344,1.2055978
345,345,1.2055972
346,346,1.2055967
347,347,1.2055963
348,348,1.205596
349,349,1.2055959
350,350,1.2055957
351,351,1.2055956
352,352,1.2055954
353,353,1.2055954
354,354,1.2055954
355,355,1.2055954
356,356,1.2055954
357,357,1.2055954
358,358,1.2055956
359,359,1.2055956
360,360,1.2055957
361,361,1.2055959
362,362,1.2055959
