,epochs,mu
0,0,0.85918814
1,1,0.8587629
2,2,0.8583405
3,3,0.857924
4,4,0.85751224
5,5,0.8571049
6,6,0.8567018
7,7,0.8563028
8,8,0.85590804
9,9,0.8555177
10,10,0.85513175
11,11,0.8547504
12,12,0.8543739
13,13,0.8540028
14,14,0.8536379
15,15,0.8532804
16,16,0.8529318
17,17,0.8525934
18,18,0.8522668
19,19,0.851953
20,20,0.8516526
21,21,0.85136586
22,22,0.85109264
23,23,0.8508329
24,24,0.8505861
25,25,0.8503518
26,26,0.8501293
27,27,0.84991837
28,28,0.84971887
29,29,0.84953105
30,30,0.84935546
31,31,0.8491925
32,32,0.849043
33,33,0.8489074
34,34,0.84878606
35,35,0.8486789
36,36,0.84858567
37,37,0.84850585
38,38,0.8484387
39,39,0.8483833
40,40,0.8483389
41,41,0.8483045
42,42,0.8482793
43,43,0.84826237
44,44,0.8482531
45,45,0.84825075
46,46,0.8482548
47,47,0.84826493
48,48,0.8482808
49,49,0.84830225
50,50,0.8483291
51,51,0.8483614
52,52,0.84839857
53,53,0.8484404
54,54,0.8484865
55,55,0.848536
56,56,0.8485884
57,57,0.8486429
58,58,0.8486989
59,59,0.84875584
60,60,0.84881324
61,61,0.84887105
62,62,0.84892917
63,63,0.84898776
64,64,0.849047
65,65,0.84910727
66,66,0.8491686
67,67,0.84923136
68,68,0.84929556
69,69,0.8493614
70,70,0.8494289
71,71,0.849498
72,72,0.84956855
73,73,0.84964025
74,74,0.8497128
75,75,0.84978575
76,76,0.84985864
77,77,0.8499312
78,78,0.8500031
79,79,0.8500743
80,80,0.85014474
81,81,0.85021466
82,82,0.8502843
83,83,0.85035384
84,84,0.85042363
85,85,0.85049367
86,86,0.85056394
87,87,0.8506344
88,88,0.85070485
89,89,0.85077506
90,90,0.850845
91,91,0.8509145
92,92,0.85098344
93,93,0.85105205
94,94,0.8511202
95,95,0.85118794
96,96,0.8512553
97,97,0.8513223
98,98,0.85138875
99,99,0.85145456
100,100,0.8515195
101,101,0.8515836
102,102,0.8516466
103,103,0.8517086
104,104,0.8517695
105,105,0.85182923
106,106,0.851888
107,107,0.8519458
108,108,0.8520027
109,109,0.8520587
110,110,0.8521139
111,111,0.8521684
112,112,0.8522221
113,113,0.852275
114,114,0.85232717
115,115,0.8523786
116,116,0.85242915
117,117,0.852479
118,118,0.8525281
119,119,0.8525765
120,120,0.85262424
121,121,0.8526713
122,122,0.8527179
123,123,0.8527639
124,124,0.85280937
125,125,0.8528543
126,126,0.8528988
