,epochs,mu
0,0,0.70333576
1,1,0.702991
2,2,0.702658
3,3,0.7023363
4,4,0.7020344
5,5,0.7017537
6,6,0.70149064
7,7,0.70124257
8,8,0.70100164
9,9,0.70076215
10,10,0.70052254
11,11,0.7002839
12,12,0.7000491
13,13,0.69982266
14,14,0.6996104
15,15,0.699417
16,16,0.69924647
17,17,0.6991017
18,18,0.6989825
19,19,0.698886
20,20,0.6988084
21,21,0.69874686
22,22,0.6987
23,23,0.69866616
24,24,0.69864357
25,25,0.69863117
26,26,0.69862896
27,27,0.6986376
28,28,0.69865745
29,29,0.6986885
30,30,0.6987304
31,31,0.6987828
32,32,0.69884545
33,33,0.6989179
34,34,0.69899976
35,35,0.6990901
36,36,0.69918835
37,37,0.6992939
38,38,0.6994063
39,39,0.6995249
40,40,0.699649
41,41,0.6997776
42,42,0.69990927
43,43,0.7000423
44,44,0.7001744
45,45,0.7003034
46,46,0.7004269
47,47,0.70054317
48,48,0.70065075
49,49,0.7007486
50,50,0.7008365
51,51,0.7009143
52,52,0.7009826
53,53,0.701042
54,54,0.70109355
55,55,0.701138
56,56,0.70117605
57,57,0.70120806
58,58,0.7012342
59,59,0.7012546
60,60,0.7012695
61,61,0.7012791
62,62,0.70128363
63,63,0.70128334
64,64,0.7012787
65,65,0.7012699
66,66,0.70125747
67,67,0.7012419
68,68,0.70122385
69,69,0.70120364
70,70,0.70118165
71,71,0.70115817
72,72,0.70113343
73,73,0.701108
74,74,0.7010824
75,75,0.70105755
76,76,0.7010343
77,77,0.70101357
78,78,0.70099586
79,79,0.7009817
80,80,0.7009711
81,81,0.70096403
82,82,0.7009602
83,83,0.70095915
84,84,0.70096064
85,85,0.70096433
86,86,0.7009702
87,87,0.70097804
88,88,0.70098764
89,89,0.7009986
90,90,0.7010107
91,91,0.7010235
92,92,0.70103675
93,93,0.70105004
94,94,0.7010632
95,95,0.7010762
96,96,0.7010888
97,97,0.701101
98,98,0.70111257
99,99,0.7011232
100,100,0.70113254
101,101,0.7011404
102,102,0.7011465
103,103,0.70115066
104,104,0.7011528
105,105,0.701153
106,106,0.70115113
107,107,0.7011475
108,108,0.70114213
109,109,0.7011355
110,110,0.701128
111,111,0.70111984
112,112,0.7011112
113,113,0.70110244
114,114,0.70109373
115,115,0.70108545
116,116,0.70107806
117,117,0.70107186
118,118,0.70106715
119,119,0.7010642
120,120,0.70106316
121,121,0.7010638
122,122,0.70106626
123,123,0.70107037
124,124,0.7010761
125,125,0.70108354
126,126,0.7010925
127,127,0.70110285
128,128,0.7011145
129,129,0.7011271
130,130,0.7011404
131,131,0.7011542
132,132,0.7011683
133,133,0.7011826
134,134,0.70119697
135,135,0.70121133
136,136,0.70122546
137,137,0.70123917
138,138,0.7012522
139,139,0.7012644
140,140,0.7012756
141,141,0.7012856
142,142,0.7012945
143,143,0.7013021
144,144,0.7013085
145,145,0.7013137
146,146,0.7013177
147,147,0.7013205
148,148,0.7013222
149,149,0.7013229
150,150,0.70132256
151,151,0.7013213
152,152,0.7013192
153,153,0.70131636
154,154,0.70131284
155,155,0.70130885
156,156,0.7013043
157,157,0.7012995
158,158,0.7012945
159,159,0.7012895
160,160,0.7012845
161,161,0.7012799
162,162,0.7012755
163,163,0.70127165
164,164,0.7012683
165,165,0.7012656
166,166,0.7012635
167,167,0.701262
168,168,0.70126116
169,169,0.701261
170,170,0.70126146
171,171,0.70126253
172,172,0.70126414
173,173,0.7012662
174,174,0.7012687
175,175,0.7012714
176,176,0.70127434
177,177,0.70127743
178,178,0.7012806
179,179,0.70128375
180,180,0.7012868
181,181,0.70128965
182,182,0.7012923
183,183,0.70129466
184,184,0.70129675
185,185,0.7012985
186,186,0.7012999
187,187,0.701301
188,188,0.70130175
189,189,0.7013022
190,190,0.70130223
191,191,0.7013021
192,192,0.7013017
193,193,0.7013011
194,194,0.7013004
195,195,0.70129955
196,196,0.7012987
197,197,0.7012979
198,198,0.70129704
199,199,0.7012963
200,200,0.7012957
201,201,0.7012951
202,202,0.70129466
203,203,0.7012943
204,204,0.7012941
205,205,0.70129406
206,206,0.7012941
207,207,0.7012943
208,208,0.70129454
209,209,0.7012949
210,210,0.7012953
211,211,0.7012958
212,212,0.7012963
213,213,0.7012969
214,214,0.70129746
215,215,0.70129806
216,216,0.7012986
217,217,0.7012991
218,218,0.70129955
219,219,0.70129997
220,220,0.7013003
221,221,0.7013007
222,222,0.7013009
223,223,0.7013011
224,224,0.7013013
225,225,0.70130134
226,226,0.7013015
227,227,0.7013014
228,228,0.7013016
