,epochs,Hp
0,0,0.061364077
1,1,0.061332386
2,2,0.061301887
3,3,0.06127051
4,4,0.06124861
5,5,0.061234694
6,6,0.061224073
7,7,0.061213255
8,8,0.061200213
9,9,0.061184395
10,10,0.061166227
11,11,0.06114647
12,12,0.061126236
13,13,0.06110646
14,14,0.061087523
15,15,0.061069414
16,16,0.061051928
17,17,0.061034787
18,18,0.061017565
19,19,0.06099967
20,20,0.060980555
21,21,0.060959663
22,22,0.060936302
23,23,0.060909923
24,24,0.060880497
25,25,0.060848393
26,26,0.060814176
27,27,0.060779784
28,28,0.06074899
29,29,0.060722645
30,30,0.060700044
31,31,0.06068044
32,32,0.060663104
33,33,0.060646944
34,34,0.060630955
35,35,0.060614213
36,36,0.060595483
37,37,0.06057321
38,38,0.06054688
39,39,0.060517665
40,40,0.060488246
41,41,0.06046139
42,42,0.0604384
43,43,0.060419127
44,44,0.060402803
45,45,0.060388226
46,46,0.060373988
47,47,0.060358796
48,48,0.060341828
49,49,0.06032279
50,50,0.060301658
51,51,0.06027892
52,52,0.060255818
53,53,0.060233593
54,54,0.060212884
55,55,0.060193997
56,56,0.060176995
57,57,0.060161714
58,58,0.06014791
59,59,0.06013533
60,60,0.06012361
61,61,0.060112424
62,62,0.060101666
63,63,0.060091186
64,64,0.06008078
65,65,0.06007044
66,66,0.060060326
67,67,0.06005063
68,68,0.060041524
69,69,0.06003322
70,70,0.060025834
71,71,0.060019366
72,72,0.06001377
73,73,0.060008965
74,74,0.06000483
75,75,0.060001142
76,76,0.059997596
77,77,0.059993934
78,78,0.05998997
79,79,0.059985533
80,80,0.05998054
81,81,0.05997512
82,82,0.059969533
83,83,0.059964024
84,84,0.059958793
85,85,0.059954014
86,86,0.059949763
87,87,0.059946
88,88,0.059942625
89,89,0.059939552
90,90,0.05993665
91,91,0.05993381
92,92,0.059930976
93,93,0.05992811
94,94,0.059925206
95,95,0.059922248
96,96,0.059919275
97,97,0.05991633
98,98,0.05991344
99,99,0.059910655
100,100,0.059907984
101,101,0.05990539
102,102,0.059902854
103,103,0.05990033
104,104,0.05989777
105,105,0.059895173
106,106,0.059892535
107,107,0.05988986
108,108,0.059887156
109,109,0.059884425
110,110,0.059881654
111,111,0.05987883
112,112,0.05987595
113,113,0.05987299
114,114,0.059869934
115,115,0.059866786
116,116,0.059863526
117,117,0.059860166
118,118,0.05985673
119,119,0.05985325
120,120,0.05984973
121,121,0.059846215
122,122,0.059842695
123,123,0.05983917
124,124,0.059835643
125,125,0.059832096
126,126,0.05982855
127,127,0.059825003
128,128,0.05982147
129,129,0.05981797
130,130,0.05981452
131,131,0.05981113
132,132,0.05980782
133,133,0.05980458
134,134,0.059801415
135,135,0.059798308
136,136,0.059795253
137,137,0.05979224
138,138,0.05978927
139,139,0.059786342
140,140,0.059783462
141,141,0.05978063
142,142,0.059777852
143,143,0.059775133
144,144,0.05977246
145,145,0.059769843
146,146,0.05976727
147,147,0.059764735
148,148,0.059762243
149,149,0.05975978
150,150,0.05975735
151,151,0.059754938
152,152,0.05975255
153,153,0.05975018
154,154,0.059747823
155,155,0.059745472
156,156,0.05974313
157,157,0.05974079
158,158,0.059738446
159,159,0.0597361
160,160,0.059733745
