,t,gamma
0,0.0,2.2304805e-07
1,0.01,4.8995764e-07
2,0.02,6.820038e-07
3,0.03,7.878021e-07
4,0.04,8.1039224e-07
5,0.05,7.659868e-07
6,0.06,6.825999e-07
7,0.07,5.903617e-07
8,0.08,5.1931295e-07
9,0.09,4.8870595e-07
10,0.1,5.054251e-07
11,0.11,5.620495e-07
12,0.12,6.442145e-07
13,0.13,7.3216114e-07
14,0.14,8.086935e-07
15,0.15,8.6171184e-07
16,0.16,8.843318e-07
17,0.17,8.792952e-07
18,0.18,8.522943e-07
19,0.19,8.135513e-07
20,0.2,7.7558315e-07
21,0.21,7.5001276e-07
22,0.22,7.4756895e-07
23,0.23,7.791594e-07
24,0.24,8.510128e-07
25,0.25,9.684936e-07
26,0.26,1.133062e-06
27,0.27,1.343973e-06
28,0.28,1.5992001e-06
29,0.29,1.893498e-06
30,0.3,2.2198633e-06
31,0.31,2.5715308e-06
32,0.32,2.9402452e-06
33,0.33,3.3170656e-06
34,0.34,3.6938566e-06
35,0.35,4.061349e-06
36,0.36,4.413076e-06
37,0.37,4.741736e-06
38,0.38,5.042978e-06
39,0.39,5.310513e-06
40,0.4,5.541809e-06
41,0.41,5.735703e-06
42,0.42,5.889185e-06
43,0.43,6.002762e-06
44,0.44,6.077834e-06
45,0.45,6.115176e-06
46,0.46,6.1169344e-06
47,0.47,6.0864763e-06
48,0.48,6.026574e-06
49,0.49,5.940743e-06
50,0.5,5.8339615e-06
51,0.51,5.708732e-06
52,0.52,5.570628e-06
53,0.53,5.422421e-06
54,0.54,5.2693563e-06
55,0.55,5.116232e-06
56,0.56,4.965313e-06
57,0.57,4.8220236e-06
58,0.58,4.690208e-06
59,0.59,4.573472e-06
60,0.6,4.476257e-06
61,0.61,4.4012145e-06
62,0.62,4.352637e-06
63,0.63,4.3339805e-06
64,0.64,4.3480177e-06
65,0.65,4.3986515e-06
66,0.66,4.489489e-06
67,0.67,4.622795e-06
68,0.68,4.8022644e-06
69,0.69,5.0304907e-06
70,0.7,5.311527e-06
71,0.71,5.647369e-06
72,0.72,6.0422794e-06
73,0.73,6.4982255e-06
74,0.74,7.0195274e-06
75,0.75,7.6082724e-06
76,0.76,8.268662e-06
77,0.77,9.002932e-06
78,0.78,9.8156115e-06
79,0.79,1.0708608e-05
80,0.8,1.1686363e-05
81,0.81,1.275263e-05
82,0.82,1.3908662e-05
83,0.83,1.5159228e-05
84,0.84,1.6508468e-05
85,0.85,1.7957278e-05
86,0.86,1.9510844e-05
87,0.87,2.1169939e-05
88,0.88,2.293841e-05
89,0.89,2.4817713e-05
90,0.9,2.6810416e-05
91,0.91,2.8916516e-05
92,0.92,3.1136522e-05
93,0.93,3.3471148e-05
94,0.94,3.5918543e-05
95,0.95,3.8478443e-05
96,0.96,4.1145366e-05
97,0.97,4.3917426e-05
98,0.98,4.6788733e-05
99,0.99,4.97529e-05
100,1.0,5.280311e-05
101,1.0,5.280311e-05
102,1.02,5.9125166e-05
103,1.04,6.567086e-05
104,1.06,7.2343006e-05
105,1.08,7.903175e-05
106,1.1,8.562641e-05
107,1.12,9.201594e-05
108,1.14,9.810148e-05
109,1.16,0.000103802005
110,1.18,0.00010905249
111,1.2,0.000113810434
112,1.22,0.00011805115
113,1.24,0.00012176878
114,1.26,0.00012496932
115,1.28,0.00012767038
116,1.3,0.00012989828
117,1.32,0.00013168434
118,1.34,0.00013306526
119,1.36,0.00013408127
120,1.38,0.0001347757
121,1.4,0.00013519255
122,1.42,0.0001353778
123,1.44,0.00013537533
124,1.46,0.00013522792
125,1.48,0.00013497654
126,1.5,0.00013465635
127,1.52,0.00013430242
128,1.54,0.00013394357
129,1.56,0.00013360358
130,1.58,0.00013330311
131,1.6,0.00013305801
132,1.62,0.00013287939
133,1.64,0.00013277537
134,1.66,0.0001327501
135,1.68,0.00013280247
136,1.7,0.00013292904
137,1.72,0.00013312382
138,1.74,0.00013337759
139,1.76,0.00013367934
140,1.78,0.0001340168
141,1.8,0.00013437659
142,1.82,0.00013474534
143,1.84,0.00013511149
144,1.86,0.00013546267
145,1.88,0.00013578973
146,1.9,0.00013608564
147,1.92,0.00013634459
148,1.94,0.00013656382
149,1.96,0.00013674465
150,1.98,0.00013688875
151,2.0,0.00013700027
152,2.02,0.00013708581
153,2.04,0.00013715208
154,2.06,0.00013720742
155,2.08,0.00013725925
156,2.1,0.00013731632
157,2.12,0.00013738574
158,2.14,0.00013747401
159,2.16,0.0001375856
160,2.18,0.00013772596
161,2.2,0.00013789741
162,2.22,0.00013810242
163,2.24,0.00013834397
164,2.26,0.00013861925
165,2.28,0.00013892986
166,2.3,0.0001392746
167,2.32,0.00013965325
168,2.34,0.0001400619
169,2.36,0.0001405007
170,2.38,0.0001409669
171,2.4,0.0001414589
172,2.42,0.00014197336
173,2.44,0.00014250714
174,2.46,0.00014305882
175,2.48,0.00014362222
176,2.5,0.00014419296
177,2.52,0.00014476597
178,2.54,0.00014533321
179,2.56,0.00014588467
180,2.58,0.00014641078
181,2.6,0.00014689914
182,2.62,0.00014733658
183,2.64,0.00014770807
184,2.66,0.00014800265
185,2.68,0.00014821075
186,2.7,0.00014833025
187,2.72,0.00014837609
188,2.74,0.00014838456
189,2.76,0.0001484277
190,2.78,0.0001486266
191,2.8,0.00014917237
192,2.82,0.0001503397
193,2.84,0.0001525049
194,2.86,0.00015614483
195,2.88,0.00016177195
196,2.9,0.00016975217
197,2.92,0.00017994581
198,2.94,0.00019105415
199,2.96,0.00019913948
200,2.98,0.00020033424
201,3.0,0.00020374144
202,3.0,0.00020374144
203,3.02,0.00020817448
204,3.04,0.00020983053
205,3.06,0.00020984448
206,3.08,0.00020993096
207,3.1,0.00021128543
208,3.12,0.00021406324
209,3.14,0.00021791585
210,3.16,0.00022242422
211,3.18,0.00022724892
212,3.2,0.00023215146
213,3.22,0.00023697157
214,3.24,0.0002416035
215,3.26,0.00024597623
216,3.28,0.00025004067
217,3.3,0.00025375863
218,3.32,0.00025710263
219,3.34,0.00026004817
220,3.36,0.0002625775
221,3.38,0.00026467675
222,3.4,0.00026634015
223,3.42,0.00026757098
224,3.44,0.00026838388
225,3.46,0.00026880397
226,3.48,0.00026887024
227,3.5,0.00026863505
228,3.52,0.0002681626
229,3.54,0.0002675261
230,3.56,0.0002668068
231,3.58,0.00026608843
232,3.6,0.00026545336
233,3.62,0.0002649789
234,3.64,0.00026473033
235,3.66,0.00026475533
236,3.68,0.00026507844
237,3.7,0.0002656927
238,3.72,0.00026655814
239,3.74,0.0002675936
240,3.76,0.0002686844
241,3.78,0.00026968672
242,3.8,0.0002704453
243,3.82,0.0002708096
244,3.84,0.0002706783
245,3.86,0.00027010695
246,3.88,0.00026953535
247,3.9,0.0002698827
248,3.92,0.00027132808
249,3.94,0.00027165946
250,3.96,0.00027078702
251,3.98,0.00027179022
252,4.0,0.00027270333
253,4.02,0.000272161
254,4.04,0.0002716465
255,4.06,0.00027188286
256,4.08,0.00027254882
257,4.1,0.00027320042
258,4.12,0.0002736252
259,4.14,0.000273799
260,4.16,0.00027378602
261,4.18,0.0002736608
262,4.2,0.00027348715
263,4.22,0.00027330738
264,4.24,0.0002731516
265,4.26,0.00027303648
266,4.28,0.0002729734
267,4.3,0.00027296893
268,4.32,0.00027302883
269,4.34,0.00027315307
270,4.36,0.00027334204
271,4.38,0.00027359405
272,4.4,0.000273904
273,4.42,0.00027426728
274,4.44,0.0002746761
275,4.46,0.00027512433
276,4.48,0.00027560396
277,4.5,0.00027610833
278,4.52,0.0002766329
279,4.54,0.0002771725
280,4.56,0.00027772711
281,4.58,0.0002782969
282,4.6,0.00027888519
283,4.62,0.00027949805
284,4.64,0.00028014398
285,4.66,0.00028083468
286,4.68,0.0002815834
287,4.7,0.00028240524
288,4.72,0.0002833173
289,4.74,0.00028433683
290,4.76,0.00028548052
291,4.78,0.00028676217
292,4.8,0.0002881918
293,4.82,0.00028976946
294,4.84,0.00029148467
295,4.86,0.00029331213
296,4.88,0.00029520207
297,4.9,0.0002970778
298,4.92,0.00029882224
299,4.94,0.00030024376
300,4.96,0.0003010314
301,4.98,0.0003008638
302,5.0,0.00030075965
303,5.0,0.00030075965
304,5.02,0.00030694954
305,5.04,0.0003175857
306,5.06,0.00031309237
307,5.08,0.00031884064
308,5.1,0.00032288552
309,5.12,0.0003232575
310,5.14,0.00032313057
311,5.16,0.00032376486
312,5.18,0.00032513746
313,5.2,0.00032682475
314,5.22,0.00032843978
315,5.24,0.00032975725
316,5.26,0.00033070034
317,5.28,0.0003312946
318,5.3,0.00033161402
319,5.32,0.00033174426
320,5.34,0.00033176655
321,5.36,0.00033174362
322,5.38,0.00033171923
323,5.4,0.00033172235
324,5.42,0.00033176388
325,5.44,0.00033184994
326,5.46,0.0003319751
327,5.48,0.0003321355
328,5.5,0.00033232188
329,5.52,0.00033252608
330,5.54,0.00033274188
331,5.56,0.0003329619
332,5.58,0.00033318216
333,5.6,0.00033339966
334,5.62,0.00033361145
335,5.64,0.0003338179
336,5.66,0.0003340167
337,5.68,0.00033421078
338,5.7,0.00033439917
339,5.72,0.00033458395
340,5.74,0.00033476664
341,5.76,0.00033494752
342,5.78,0.00033512842
343,5.8,0.00033531094
344,5.82,0.00033549513
345,5.84,0.0003356819
346,5.86,0.00033587206
347,5.88,0.00033606513
348,5.9,0.00033626126
349,5.92,0.00033645966
350,5.94,0.00033666033
351,5.96,0.00033686165
352,5.98,0.00033706203
