,epochs,mu
0,0,0.39831743
1,1,0.39811897
2,2,0.39792058
3,3,0.39772233
4,4,0.39752424
5,5,0.39732626
6,6,0.39712852
7,7,0.39693102
8,8,0.3967338
9,9,0.39653686
10,10,0.39634025
11,11,0.39614403
12,12,0.39594823
13,13,0.39575285
14,14,0.39555797
15,15,0.39536357
16,16,0.3951697
17,17,0.3949764
18,18,0.3947837
19,19,0.39459163
20,20,0.3944002
21,21,0.39420947
22,22,0.39401945
23,23,0.39383018
24,24,0.39364165
25,25,0.39345393
26,26,0.393267
27,27,0.39308095
28,28,0.39289576
29,29,0.39271143
30,30,0.39252803
31,31,0.39234558
32,32,0.39216408
33,33,0.39198357
34,34,0.3918041
35,35,0.39162564
36,36,0.3914483
37,37,0.3912721
38,38,0.39109805
39,39,0.39093298
40,40,0.390775
41,41,0.390623
42,42,0.39047617
43,43,0.39033377
44,44,0.39019534
45,45,0.39006075
46,46,0.38993073
47,47,0.389805
48,48,0.38968334
49,49,0.3895669
50,50,0.38945547
51,51,0.38934916
52,52,0.3892481
53,53,0.3891521
54,54,0.38906085
55,55,0.3889741
56,56,0.3888917
57,57,0.3888113
58,58,0.38873443
59,59,0.38866082
60,60,0.38859007
61,61,0.3885219
62,62,0.388456
63,63,0.38839233
64,64,0.38833106
65,65,0.38827246
66,66,0.38821632
67,67,0.38816267
68,68,0.38811198
69,69,0.38806415
70,70,0.388019
71,71,0.38797623
72,72,0.38793537
73,73,0.38789594
74,74,0.38785765
75,75,0.38782075
76,76,0.3877853
77,77,0.38775125
78,78,0.38771847
79,79,0.3876868
80,80,0.387656
81,81,0.387626
82,82,0.3875965
83,83,0.38756752
84,84,0.38753906
85,85,0.38751125
86,86,0.38748413
87,87,0.38745776
88,88,0.3874322
89,89,0.3874074
90,90,0.38738346
91,91,0.38736045
92,92,0.38733846
93,93,0.38731754
94,94,0.38729757
95,95,0.3872784
96,96,0.3872599
97,97,0.38724187
98,98,0.38722426
99,99,0.38720715
100,100,0.38719055
101,101,0.38717443
102,102,0.38715875
103,103,0.3871434
104,104,0.3871284
105,105,0.38711384
106,106,0.38709977
107,107,0.38708627
108,108,0.38707337
109,109,0.38706094
110,110,0.387049
111,111,0.38703755
112,112,0.38702667
113,113,0.38701642
114,114,0.3870067
115,115,0.38699746
116,116,0.38698855
117,117,0.38698
118,118,0.3869717
119,119,0.3869637
120,120,0.38695598
121,121,0.38694844
122,122,0.38694108
123,123,0.38693386
124,124,0.38692683
125,125,0.38692003
126,126,0.3869135
127,127,0.3869072
128,128,0.38690108
129,129,0.38689524
130,130,0.38688967
131,131,0.38688436
132,132,0.38687935
133,133,0.38687462
134,134,0.38687012
135,135,0.38686582
136,136,0.38686177
137,137,0.3868579
138,138,0.38685426
139,139,0.38685083
140,140,0.38684756
141,141,0.3868445
142,142,0.38684162
143,143,0.38683903
144,144,0.38683677
145,145,0.38683477
146,146,0.386833
147,147,0.38683146
148,148,0.38683015
149,149,0.38682905
150,150,0.38682806
151,151,0.38682723
152,152,0.38682652
153,153,0.38682595
154,154,0.38682556
155,155,0.38682526
156,156,0.38682514
157,157,0.3868252
158,158,0.38682538
159,159,0.38682565
160,160,0.38682607
161,161,0.38682652
162,162,0.38682702
163,163,0.3868276
164,164,0.3868282
165,165,0.38682893
166,166,0.38682967
167,167,0.38683057
168,168,0.38683155
169,169,0.38683265
170,170,0.38683382
171,171,0.38683516
172,172,0.38683656
173,173,0.38683817
174,174,0.38684058
175,175,0.38685107
176,176,0.38687697
177,177,0.3869158
178,178,0.38696298
179,179,0.38700858
180,180,0.3870521
181,181,0.38709745
182,182,0.38714588
183,183,0.38719943
184,184,0.387259
185,185,0.38732144
186,186,0.38738576
187,187,0.38745525
188,188,0.3875308
189,189,0.3876113
190,190,0.38769653
191,191,0.3877863
192,192,0.3878803
193,193,0.38797784
194,194,0.38807806
195,195,0.38818085
196,196,0.3882862
197,197,0.3883937
198,198,0.38850257
199,199,0.38861176
200,200,0.38872048
201,201,0.3888281
202,202,0.38893428
203,203,0.38903862
204,204,0.38914084
205,205,0.3892406
206,206,0.3893379
207,207,0.38943315
208,208,0.38952675
209,209,0.3896189
210,210,0.38970953
211,211,0.38979852
212,212,0.3898859
213,213,0.38997182
214,214,0.39005625
215,215,0.39013916
216,216,0.3902204
217,217,0.3902999
218,218,0.39037767
219,219,0.39045382
220,220,0.39052835
221,221,0.39060113
222,222,0.390672
223,223,0.3907408
224,224,0.3908075
225,225,0.39087218
226,226,0.39093482
227,227,0.39099562
228,228,0.39105466
229,229,0.39111206
230,230,0.39116806
231,231,0.39122277
232,232,0.3912763
233,233,0.39132866
234,234,0.3913798
235,235,0.39142972
236,236,0.39147842
237,237,0.39152598
238,238,0.39157245
239,239,0.3916178
240,240,0.39166206
241,241,0.3917052
242,242,0.3917472
243,243,0.3917881
244,244,0.39182782
245,245,0.3918663
246,246,0.3919034
247,247,0.39193913
248,248,0.39197358
249,249,0.3920067
250,250,0.39203852
251,251,0.39206907
252,252,0.3920984
253,253,0.39212656
254,254,0.39215362
255,255,0.39217958
256,256,0.3922045
257,257,0.3922284
258,258,0.39225122
259,259,0.39227304
260,260,0.39229387
261,261,0.39231378
262,262,0.39233276
263,263,0.39235085
264,264,0.39236814
265,265,0.39238465
266,266,0.3924005
267,267,0.39241567
268,268,0.3924302
269,269,0.39244416
270,270,0.3924576
271,271,0.3924705
272,272,0.39248294
273,273,0.3924949
274,274,0.39250633
275,275,0.39251733
276,276,0.39252785
277,277,0.39253792
278,278,0.39254755
279,279,0.39255673
280,280,0.3925655
281,281,0.39257386
282,282,0.39258188
283,283,0.3925895
284,284,0.39259684
285,285,0.3926038
286,286,0.3926105
287,287,0.39261687
288,288,0.39262295
289,289,0.39262876
290,290,0.39263427
291,291,0.39263955
292,292,0.39264455
293,293,0.39264932
294,294,0.39265385
295,295,0.39265817
296,296,0.39266223
297,297,0.3926661
298,298,0.3926698
299,299,0.39267325
300,300,0.39267656
301,301,0.39267966
302,302,0.39268264
303,303,0.39268544
304,304,0.39268813
305,305,0.3926907
306,306,0.39269313
307,307,0.3926955
308,308,0.39269775
309,309,0.39269996
310,310,0.39270207
311,311,0.39270413
312,312,0.39270616
313,313,0.3927081
314,314,0.39271
315,315,0.39271182
316,316,0.39271364
317,317,0.3927154
318,318,0.3927171
319,319,0.39271873
320,320,0.39272034
321,321,0.39272195
322,322,0.39272347
323,323,0.39272496
324,324,0.39272642
325,325,0.39272785
