,epochs,lmbd
0,0,0.28800538
1,1,0.28792095
2,2,0.28793132
3,3,0.2879963
4,4,0.28808877
5,5,0.28819725
6,6,0.28831616
7,7,0.28844246
8,8,0.28857437
9,9,0.28871062
10,10,0.28885043
11,11,0.28899312
12,12,0.2891383
13,13,0.28928554
14,14,0.2894346
15,15,0.28958523
16,16,0.28973714
17,17,0.2898902
18,18,0.29004422
19,19,0.29019904
20,20,0.2903545
21,21,0.29051036
22,22,0.29066655
23,23,0.29082292
24,24,0.2909793
25,25,0.29113552
26,26,0.2912915
27,27,0.2914471
28,28,0.2916022
29,29,0.29175672
30,30,0.2919105
31,31,0.29206347
32,32,0.29221556
33,33,0.29236668
34,34,0.29251674
35,35,0.29266554
36,36,0.29281297
37,37,0.29295877
38,38,0.29310235
39,39,0.29324302
40,40,0.29337978
41,41,0.2935115
42,42,0.29363695
43,43,0.29375488
44,44,0.29386395
45,45,0.29396304
46,46,0.29405108
47,47,0.29412726
48,48,0.2941909
49,49,0.2942418
50,50,0.29427975
51,51,0.294305
52,52,0.294318
53,53,0.29431942
54,54,0.29431006
55,55,0.29429096
56,56,0.29426318
57,57,0.29422793
58,58,0.29418647
59,59,0.2941401
60,60,0.29409006
61,61,0.2940376
62,62,0.29398394
63,63,0.29393023
64,64,0.2938775
65,65,0.29382682
66,66,0.29377896
67,67,0.29373455
68,68,0.29369396
69,69,0.29365727
70,70,0.29362437
71,71,0.29359484
72,72,0.29356804
73,73,0.2935432
74,74,0.29351935
75,75,0.2934955
76,76,0.29347056
77,77,0.29344347
78,78,0.2934132
79,79,0.29337877
80,80,0.29333937
81,81,0.29329437
82,82,0.2932433
83,83,0.2931858
84,84,0.29312193
85,85,0.29305175
86,86,0.29297554
87,87,0.29289383
88,88,0.29280713
89,89,0.29271618
90,90,0.29262164
91,91,0.2925244
92,92,0.29242525
93,93,0.29232496
94,94,0.29222435
95,95,0.29212412
96,96,0.29202488
97,97,0.29192722
98,98,0.29183155
99,99,0.2917382
100,100,0.2916474
101,101,0.2915593
102,102,0.29147395
103,103,0.2913913
104,104,0.29131138
105,105,0.291234
106,106,0.291159
107,107,0.29108632
108,108,0.29101574
109,109,0.29094717
110,110,0.2908805
111,111,0.29081562
112,112,0.29075244
113,113,0.290691
114,114,0.2906312
115,115,0.29057312
116,116,0.2905167
117,117,0.29046202
118,118,0.29040912
