,epochs,loss
0,0,0.3069576025009155
1,1,0.22841762006282806
2,2,0.23610800504684448
3,3,0.1676555871963501
4,4,0.1693238765001297
5,5,0.162505641579628
6,6,0.1526019275188446
7,7,0.1398070901632309
8,8,0.12684279680252075
9,9,0.11673393845558167
10,10,0.11208140850067139
11,11,0.10817474871873856
12,12,0.10237559676170349
13,13,0.0949590727686882
14,14,0.09015969187021255
15,15,0.08832743018865585
16,16,0.08616704493761063
17,17,0.08300239592790604
18,18,0.08006127923727036
19,19,0.07779037207365036
20,20,0.07500950247049332
21,21,0.07207673788070679
22,22,0.06971573084592819
23,23,0.06776630878448486
24,24,0.06586547940969467
25,25,0.06357329338788986
26,26,0.06139014661312103
27,27,0.05999867618083954
28,28,0.05893435329198837
29,29,0.05761659890413284
30,30,0.05606436729431152
31,31,0.05471225455403328
32,32,0.05358213186264038
33,33,0.05233212560415268
34,34,0.051024362444877625
35,35,0.049932438880205154
36,36,0.04893559217453003
37,37,0.04792911931872368
38,38,0.046943336725234985
39,39,0.04602155089378357
40,40,0.04511571303009987
41,41,0.04412638768553734
42,42,0.04310254007577896
43,43,0.04220716655254364
44,44,0.04151169955730438
45,45,0.040972188115119934
46,46,0.04049203172326088
47,47,0.03998587280511856
48,48,0.039434466511011124
49,49,0.03888137638568878
50,50,0.03837195038795471
51,51,0.037903644144535065
52,52,0.03744154050946236
53,53,0.03696846216917038
54,54,0.03650613874197006
55,55,0.03608644753694534
56,56,0.03570724278688431
57,57,0.035332322120666504
58,58,0.0349297970533371
59,59,0.03450733795762062
60,60,0.03409598395228386
61,61,0.03370899334549904
62,62,0.03334232419729233
63,63,0.03299786522984505
64,64,0.0326748862862587
65,65,0.03236245736479759
66,66,0.03205706924200058
67,67,0.03176828846335411
68,68,0.03149900212883949
69,69,0.031238412484526634
70,70,0.0309777669608593
71,71,0.03071758896112442
72,72,0.030463028699159622
73,73,0.030216529965400696
74,74,0.029976356774568558
75,75,0.02974000945687294
76,76,0.029507946223020554
77,77,0.02928290143609047
78,78,0.02906646952033043
79,79,0.02885763719677925
80,80,0.028654877096414566
81,81,0.028457794338464737
82,82,0.0282670296728611
83,83,0.028082555159926414
84,84,0.027903225272893906
85,85,0.027728520333766937
86,86,0.027559828013181686
87,87,0.027397846803069115
88,88,0.027241721749305725
89,89,0.027090227231383324
90,90,0.026943335309624672
91,91,0.026801100000739098
92,92,0.026663271710276604
93,93,0.026530057191848755
94,94,0.026402059942483902
95,95,0.026279017329216003
96,96,0.026159770786762238
97,97,0.026043890044093132
98,98,0.025931453332304955
99,99,0.025822896510362625
100,100,0.025717884302139282
101,101,0.025616299360990524
102,102,0.025518257170915604
103,103,0.02542380802333355
104,104,0.025332629680633545
105,105,0.025244437158107758
106,106,0.02515910007059574
107,107,0.02507641166448593
108,108,0.024996215477585793
109,109,0.02491852641105652
110,110,0.024843640625476837
111,111,0.024771448224782944
112,112,0.02470182254910469
113,113,0.02463456429541111
114,114,0.024569543078541756
115,115,0.02450670301914215
116,116,0.02444593608379364
117,117,0.024387186393141747
118,118,0.024330521002411842
119,119,0.02427583374083042
120,120,0.024223025888204575
121,121,0.024171968922019005
122,122,0.024122579023241997
123,123,0.024074707180261612
124,124,0.024028340354561806
125,125,0.023983515799045563
126,126,0.023940108716487885
127,127,0.02389809489250183
128,128,0.023857399821281433
129,129,0.02381795644760132
130,130,0.02377973683178425
131,131,0.023742683231830597
132,132,0.023706728592514992
133,133,0.023671861737966537
134,134,0.023638062179088593
135,135,0.023605281487107277
136,136,0.023573458194732666
137,137,0.023542551323771477
138,138,0.02351258136332035
139,139,0.023483427241444588
140,140,0.02345512993633747
141,141,0.023427631705999374
142,142,0.023400919511914253
143,143,0.023374995216727257
144,144,0.023349778726696968
145,145,0.0233253575861454
146,146,0.02330169826745987
147,147,0.023278743028640747
148,148,0.02325649932026863
149,149,0.0232348944991827
150,150,0.023213934153318405
151,151,0.02319360338151455
152,152,0.02317393198609352
153,153,0.0231548510491848
154,154,0.02313636615872383
155,155,0.023118464276194572
156,156,0.023101085796952248
157,157,0.02308422327041626
158,158,0.023067856207489967
159,159,0.023051952943205833
160,160,0.02303645759820938
161,161,0.023021403700113297
162,162,0.0230067428201437
163,163,0.022992465645074844
164,164,0.02297850325703621
165,165,0.022964918985962868
166,166,0.022951604798436165
167,167,0.022938616573810577
168,168,0.02292589657008648
169,169,0.022913414984941483
170,170,0.022901181131601334
171,171,0.022889163345098495
172,172,0.022877339273691177
173,173,0.02286570519208908
174,174,0.02285425364971161
175,175,0.02284296043217182
176,176,0.022831812500953674
177,177,0.02282078191637993
178,178,0.022809868678450584
179,179,0.022799067199230194
180,180,0.022788360714912415
181,181,0.02277771569788456
182,182,0.022767148911952972
183,183,0.02275664173066616
184,184,0.02274613454937935
185,185,0.02273566462099552
186,186,0.022725149989128113
187,187,0.022714629769325256
188,188,0.02270405739545822
189,189,0.022693390026688576
190,190,0.022682607173919678
191,191,0.022671706974506378
192,192,0.022660598158836365
193,193,0.022649306803941727
194,194,0.022637788206338882
195,195,0.022626016288995743
196,196,0.022613991051912308
197,197,0.022601740434765816
198,198,0.02258932590484619
199,199,0.022576771676540375
200,200,0.02256420999765396
201,201,0.022551730275154114
202,202,0.022539451718330383
203,203,0.022527474910020828
204,204,0.022515639662742615
205,205,0.022503944113850594
206,206,0.02249239757657051
207,207,0.022480998188257217
208,208,0.02246973291039467
209,209,0.022458624094724655
210,210,0.022447654977440834
211,211,0.02243686653673649
212,212,0.022426245734095573
213,213,0.022415824234485626
214,214,0.02240564674139023
215,215,0.022395802661776543
216,216,0.02238638699054718
217,217,0.022377360612154007
218,218,0.0223686620593071
219,219,0.02236020751297474
220,220,0.022352006286382675
221,221,0.022344017401337624
222,222,0.022336216643452644
223,223,0.022328533232212067
224,224,0.022321000695228577
225,225,0.022313540801405907
226,226,0.022306209430098534
227,227,0.02229892835021019
228,228,0.022291745990514755
229,229,0.02228458598256111
230,230,0.02227753959596157
231,231,0.022270534187555313
232,232,0.02226361259818077
233,233,0.022256765514612198
234,234,0.022249985486268997
235,235,0.02224327065050602
236,236,0.022236628457903862
237,237,0.022230064496397972
238,238,0.022223589941859245
239,239,0.022217176854610443
240,240,0.022210827097296715
241,241,0.022204553708434105
242,242,0.02219834178686142
243,243,0.02219221740961075
244,244,0.022186122834682465
245,245,0.02218012511730194
246,246,0.02217417024075985
247,247,0.022168265655636787
248,248,0.02216242626309395
249,249,0.022156650200486183
250,250,0.022150909528136253
251,251,0.02214525267481804
252,252,0.02213960699737072
253,253,0.02213403582572937
254,254,0.02212851494550705
255,255,0.022123033180832863
256,256,0.022117583081126213
257,257,0.022112200036644936
258,258,0.022106856107711792
259,259,0.02210155874490738
260,260,0.022096283733844757
261,261,0.0220910906791687
262,262,0.022085923701524734
263,263,0.022080793976783752
264,264,0.02207571268081665
265,265,0.02207067795097828
266,266,0.02206568606197834
267,267,0.02206072025001049
268,268,0.022055795416235924
269,269,0.022050917148590088
270,270,0.02204608917236328
271,271,0.022041266784071922
272,272,0.022036507725715637
273,273,0.02203177474439144
274,274,0.022027049213647842
275,275,0.022022413089871407
276,276,0.02201775647699833
277,277,0.022013168781995773
278,278,0.022008605301380157
279,279,0.022004058584570885
280,280,0.021999560296535492
281,281,0.021995076909661293
282,282,0.021990643814206123
283,283,0.021986234933137894
284,284,0.02198185957968235
285,285,0.021977517753839493
286,286,0.021973177790641785
287,287,0.02196888066828251
288,288,0.021964620798826218
289,289,0.021960364654660225
290,290,0.021956147626042366
291,291,0.021951960399746895
292,292,0.021947788074612617
293,293,0.02194366604089737
294,294,0.02193954400718212
295,295,0.02193545363843441
296,296,0.021931393072009087
297,297,0.021927345544099808
298,298,0.021923324093222618
299,299,0.021919317543506622
300,300,0.021915368735790253
301,301,0.021911418065428734
302,302,0.0219075046479702
303,303,0.021903615444898605
304,304,0.021899767220020294
305,305,0.021895969286561012
306,306,0.02189217507839203
307,307,0.021888410672545433
308,308,0.02188471332192421
309,309,0.02188102714717388
310,310,0.021877367049455643
311,311,0.0218737181276083
