,t,gamma
0,0.0,-1.5467407e-08
1,0.01,8.5377695e-07
2,0.02,1.6011894e-06
3,0.03,2.223909e-06
4,0.04,2.7217568e-06
5,0.05,3.0941965e-06
6,0.06,3.3447445e-06
7,0.07,3.4791829e-06
8,0.08,3.506899e-06
9,0.09,3.4396055e-06
10,0.1,3.2927098e-06
11,0.11,3.0830504e-06
12,0.12,2.8329493e-06
13,0.13,2.5647582e-06
14,0.14,2.3047628e-06
15,0.15,2.0783546e-06
16,0.16,1.9147396e-06
17,0.17,1.8383563e-06
18,0.18,1.8733442e-06
19,0.19,2.039224e-06
20,0.2,2.3501218e-06
21,0.21,2.8172137e-06
22,0.22,3.4515263e-06
23,0.23,4.2731167e-06
24,0.24,5.3382814e-06
25,0.25,6.7809824e-06
26,0.26,8.8841325e-06
27,0.27,1.21758285e-05
28,0.28,1.7507315e-05
29,0.29,2.5987298e-05
30,0.3,3.8576247e-05
31,0.31,5.5279794e-05
32,0.32,7.457948e-05
33,0.33,9.4227646e-05
34,0.34,0.0001131016
35,0.35,0.00013171644
36,0.36,0.0001508151
37,0.37,0.00017037554
38,0.38,0.00018996233
39,0.39,0.00020926817
40,0.4,0.00022825028
41,0.41,0.00024701378
42,0.42,0.00026569527
43,0.43,0.0002843977
44,0.44,0.00030318362
45,0.45,0.00032208173
46,0.46,0.00034109273
47,0.47,0.00036020868
48,0.48,0.0003794095
49,0.49,0.00039867812
50,0.5,0.00041799236
51,0.51,0.00043733502
52,0.52,0.0004566924
53,0.53,0.00047605287
54,0.54,0.0004954051
55,0.55,0.0005147459
56,0.56,0.0005340675
57,0.57,0.0005533704
58,0.58,0.0005726532
59,0.59,0.0005919148
60,0.6,0.000611158
61,0.61,0.0006303826
62,0.62,0.0006495916
63,0.63,0.00066878955
64,0.64,0.0006879749
65,0.65,0.0007071531
66,0.66,0.00072632317
67,0.67,0.0007454885
68,0.68,0.0007646489
69,0.69,0.0007838049
70,0.7,0.0008029578
71,0.71,0.0008221058
72,0.72,0.0008412452
73,0.73,0.0008603768
74,0.74,0.0008794973
75,0.75,0.0008986016
76,0.76,0.0009176864
77,0.77,0.00093674817
78,0.78,0.0009557817
79,0.79,0.0009747878
80,0.8,0.0009937622
81,0.81,0.0010127099
82,0.82,0.0010316344
83,0.83,0.0010505469
84,0.84,0.0010694639
85,0.85,0.0010884082
86,0.86,0.0011074079
87,0.87,0.001126495
88,0.88,0.0011457074
89,0.89,0.0011650788
90,0.9,0.0011846336
91,0.91,0.0012043811
92,0.92,0.001224305
93,0.93,0.0012443489
94,0.94,0.0012644063
95,0.95,0.0012843111
96,0.96,0.0013038274
97,0.97,0.0013226276
98,0.98,0.0013402838
99,0.99,0.0013562302
100,1.0,0.001369722
101,1.0,0.001369722
102,1.02,0.0013856594
103,1.04,0.0013865384
104,1.06,0.0013935566
105,1.08,0.001399689
106,1.1,0.0013985141
107,1.12,0.0014013634
108,1.14,0.0014053227
109,1.16,0.0014078688
110,1.18,0.001408891
111,1.2,0.0014088938
112,1.22,0.001408335
113,1.24,0.0014075316
114,1.26,0.001406685
115,1.28,0.001405915
116,1.3,0.0014052958
117,1.32,0.0014048703
118,1.34,0.0014046622
119,1.36,0.0014046812
120,1.38,0.0014049313
121,1.4,0.0014054058
122,1.42,0.001406091
123,1.44,0.0014069575
124,1.46,0.0014079588
125,1.48,0.0014090218
126,1.5,0.0014100356
127,1.52,0.0014108525
128,1.54,0.0014113074
129,1.56,0.0014113121
130,1.58,0.0014110976
131,1.6,0.0014117497
132,1.62,0.001415952
133,1.64,0.001428078
134,1.66,0.0014518034
135,1.68,0.0014858247
136,1.7,0.001524258
137,1.72,0.0015629857
138,1.74,0.0016016039
139,1.76,0.0016403592
140,1.78,0.0016790053
141,1.8,0.0017173087
142,1.82,0.0017552591
143,1.84,0.0017929735
144,1.86,0.001830585
145,1.88,0.0018682069
146,1.9,0.001905927
147,1.92,0.0019437972
148,1.94,0.001981842
149,1.96,0.0020200603
150,1.98,0.002058432
151,2.0,0.0020969186
152,2.02,0.0021354835
153,2.04,0.0021740834
154,2.06,0.002212687
155,2.08,0.00225127
156,2.1,0.0022898165
157,2.12,0.0023283227
158,2.14,0.0023667882
159,2.16,0.0024052167
160,2.18,0.0024436142
161,2.2,0.0024819856
162,2.22,0.002520338
163,2.24,0.002558671
164,2.26,0.0025969876
165,2.28,0.0026352846
166,2.3,0.0026735605
167,2.32,0.0027118134
168,2.34,0.00275004
169,2.36,0.0027882387
170,2.38,0.0028264113
171,2.4,0.002864559
172,2.42,0.0029026864
173,2.44,0.0029407982
174,2.46,0.0029789049
175,2.48,0.003017013
176,2.5,0.0030551357
177,2.52,0.0030932836
178,2.54,0.0031314674
179,2.56,0.0031696996
180,2.58,0.0032079895
181,2.6,0.0032463458
182,2.62,0.0032847736
183,2.64,0.00332327
184,2.66,0.0033618312
185,2.68,0.0034004378
186,2.7,0.0034390644
187,2.72,0.0034776693
188,2.74,0.0035162033
189,2.76,0.0035546178
190,2.78,0.0035928758
191,2.8,0.0036309727
192,2.82,0.0036689662
193,2.84,0.003706985
194,2.86,0.0037451927
195,2.88,0.003783689
196,2.9,0.0038223187
197,2.92,0.0038606185
198,2.94,0.0038984506
199,2.96,0.0039372244
200,2.98,0.0039764843
201,3.0,0.004004896
202,3.0,0.004004896
203,3.02,0.0040132077
204,3.04,0.0040090666
205,3.06,0.004017815
206,3.08,0.004022903
207,3.1,0.004021477
208,3.12,0.0040214933
209,3.14,0.0040234136
210,3.16,0.0040260716
211,3.18,0.004028639
212,3.2,0.0040307026
213,3.22,0.0040321057
214,3.24,0.004032832
215,3.26,0.0040329373
216,3.28,0.004032514
217,3.3,0.0040316717
218,3.32,0.0040305243
219,3.34,0.0040291874
220,3.36,0.004027779
221,3.38,0.004026416
222,3.4,0.0040252116
223,3.42,0.0040242863
224,3.44,0.004023759
225,3.46,0.004023752
226,3.48,0.0040243953
227,3.5,0.004025823
228,3.52,0.0040281774
229,3.54,0.0040316097
230,3.56,0.0040362827
231,3.58,0.004042367
232,3.6,0.004050049
233,3.62,0.0040595247
234,3.64,0.004070998
235,3.66,0.0040846844
236,3.68,0.004100798
237,3.7,0.004119545
238,3.72,0.0041411095
239,3.74,0.0041656382
240,3.76,0.0041931993
241,3.78,0.0042237686
242,3.8,0.0042571723
243,3.82,0.0042930604
244,3.84,0.0043308777
245,3.86,0.004369881
246,3.88,0.004409223
247,3.9,0.00444813
248,3.92,0.0044862046
249,3.94,0.004523721
250,3.96,0.004561599
251,3.98,0.0046004336
252,4.0,0.004639126
253,4.02,0.004676513
254,4.04,0.004714456
