,epochs,SY0
0,0,0.300202
1,1,0.3003556
2,2,0.30042
3,3,0.30047697
4,4,0.300557
5,5,0.30065295
6,6,0.3007607
7,7,0.30087796
8,8,0.3010027
9,9,0.30113
10,10,0.3012407
11,11,0.30130023
12,12,0.3013275
13,13,0.3013492
14,14,0.30137846
15,15,0.30142024
16,16,0.30147496
17,17,0.301541
18,18,0.30161616
19,19,0.30169758
20,20,0.30178115
21,21,0.30186033
22,22,0.3019275
23,23,0.30198163
24,24,0.30202898
25,25,0.30207598
26,26,0.30212617
27,27,0.30217993
28,28,0.3022349
29,29,0.30228493
30,30,0.3023216
31,31,0.30234104
32,32,0.30234835
33,33,0.3023515
34,34,0.3023554
35,35,0.30236095
36,36,0.30236563
37,37,0.30236396
38,38,0.3023509
39,39,0.3023271
40,40,0.30229846
41,41,0.30227065
42,42,0.30224642
43,43,0.3022253
44,44,0.30220452
45,45,0.30218053
46,46,0.30215123
47,47,0.30211747
48,48,0.30208123
49,49,0.30204338
50,50,0.30200312
51,51,0.30195865
52,52,0.30190784
53,53,0.30185
54,54,0.30178663
55,55,0.30172077
56,56,0.301655
57,57,0.3015908
58,58,0.3015284
59,59,0.30146718
60,60,0.30140653
61,61,0.30134654
62,62,0.30128798
63,63,0.30123147
64,64,0.30117702
65,65,0.30112377
66,66,0.30107048
67,67,0.30101606
68,68,0.30096042
69,69,0.3009041
70,70,0.30084777
71,71,0.3007918
72,72,0.30073592
73,73,0.30067948
74,74,0.300622
75,75,0.30056348
76,76,0.3005045
77,77,0.3004459
78,78,0.3003883
79,79,0.30033198
80,80,0.30027685
81,81,0.30022267
82,82,0.3001694
83,83,0.30011734
84,84,0.3000668
85,85,0.30001798
86,86,0.2999708
87,87,0.2999249
88,88,0.29987982
89,89,0.29983518
90,90,0.29979086
91,91,0.29974705
92,92,0.2997039
93,93,0.29966143
94,94,0.2996196
95,95,0.2995781
96,96,0.29953685
97,97,0.29949588
98,98,0.29945526
99,99,0.2994151
100,100,0.29937547
101,101,0.29933622
102,102,0.2992971
103,103,0.29925796
104,104,0.29921883
105,105,0.29917976
106,106,0.2991409
107,107,0.29910234
108,108,0.29906398
109,109,0.29902577
110,110,0.29898763
111,111,0.29894954
112,112,0.29891157
113,113,0.29887387
114,114,0.2988364
115,115,0.2987992
116,116,0.29876214
117,117,0.2987252
118,118,0.29868835
119,119,0.29865173
120,120,0.29861534
121,121,0.29857913
122,122,0.29854307
123,123,0.29850703
124,124,0.298471
125,125,0.29843497
126,126,0.29839894
127,127,0.29836294
128,128,0.29832703
129,129,0.29829112
130,130,0.2982552
131,131,0.29821923
132,132,0.29818326
133,133,0.29814732
134,134,0.29811138
135,135,0.29807547
136,136,0.2980395
137,137,0.2980035
138,138,0.29796743
139,139,0.2979314
140,140,0.29789537
141,141,0.29785943
142,142,0.29782352
143,143,0.29778764
144,144,0.29775178
145,145,0.29771596
146,146,0.2976802
147,147,0.29764447
148,148,0.2976088
149,149,0.29757318
150,150,0.29753757
151,151,0.297502
152,152,0.2974665
153,153,0.29743102
154,154,0.29739565
155,155,0.2973603
156,156,0.29732502
157,157,0.2972898
158,158,0.29725462
159,159,0.2972195
160,160,0.29718447
161,161,0.29714954
162,162,0.2971147
163,163,0.29707992
164,164,0.29704526
165,165,0.29701066
166,166,0.29697618
167,167,0.2969418
168,168,0.2969075
169,169,0.29687333
170,170,0.29683924
171,171,0.29680523
172,172,0.29677138
173,173,0.2967376
174,174,0.29670393
175,175,0.29667038
176,176,0.29663694
177,177,0.29660356
178,178,0.2965703
179,179,0.29653716
180,180,0.2965041
181,181,0.29647115
182,182,0.29643834
183,183,0.2964056
184,184,0.296373
185,185,0.2963405
186,186,0.29630813
187,187,0.29627585
188,188,0.2962437
189,189,0.29621166
190,190,0.2961797
191,191,0.2961479
192,192,0.2961162
193,193,0.29608464
194,194,0.2960532
195,195,0.29602185
196,196,0.29599062
197,197,0.2959595
198,198,0.2959285
199,199,0.29589763
200,200,0.2958669
201,201,0.29583627
202,202,0.29580575
203,203,0.29577535
204,204,0.29574507
205,205,0.29571494
206,206,0.29568493
207,207,0.29565504
208,208,0.29562527
209,209,0.29559565
210,210,0.29556614
211,211,0.29553676
212,212,0.29550755
213,213,0.29547843
214,214,0.29544947
215,215,0.29542065
216,216,0.29539195
217,217,0.29536337
218,218,0.29533496
219,219,0.29530665
220,220,0.29527852
221,221,0.29525048
222,222,0.2952226
223,223,0.2951949
224,224,0.2951673
225,225,0.29513988
226,226,0.29511258
227,227,0.29508546
228,228,0.29505846
229,229,0.29503164
230,230,0.29500493
231,231,0.29497838
232,232,0.29495198
233,233,0.2949257
234,234,0.29489955
235,235,0.29487357
236,236,0.2948477
237,237,0.29482195
238,238,0.29479638
239,239,0.2947709
240,240,0.29474556
241,241,0.29472038
242,242,0.29469532
243,243,0.2946704
244,244,0.2946456
245,245,0.29462093
246,246,0.29459637
247,247,0.29457194
248,248,0.29454765
249,249,0.29452345
250,250,0.29449937
251,251,0.29447544
252,252,0.29445162
253,253,0.29442793
254,254,0.29440436
255,255,0.29438096
256,256,0.29435766
257,257,0.2943345
258,258,0.2943115
259,259,0.29428858
260,260,0.2942658
261,261,0.29424316
262,262,0.29422063
263,263,0.2941982
264,264,0.2941759
265,265,0.29415372
266,266,0.29413167
267,267,0.2941097
268,268,0.2940879
269,269,0.29406616
270,270,0.29404458
271,271,0.29402313
272,272,0.29400176
273,273,0.2939805
274,274,0.29395935
275,275,0.2939383
276,276,0.2939174
277,277,0.2938966
278,278,0.29387587
279,279,0.29385525
280,280,0.29383472
281,281,0.2938143
282,282,0.29379398
283,283,0.29377374
284,284,0.2937536
285,285,0.29373357
286,286,0.2937136
287,287,0.29369372
288,288,0.2936739
289,289,0.29365417
290,290,0.2936345
291,291,0.2936149
292,292,0.29359537
293,293,0.2935759
294,294,0.29355654
295,295,0.29353726
296,296,0.29351807
297,297,0.29349893
298,298,0.29347992
299,299,0.293461
300,300,0.29344213
301,301,0.29342335
302,302,0.29340467
303,303,0.29338607
304,304,0.29336753
305,305,0.29334912
306,306,0.29333076
307,307,0.29331252
308,308,0.29329434
309,309,0.29327625
310,310,0.29325825
311,311,0.29324034
312,312,0.2932225
313,313,0.2932047
314,314,0.293187
315,315,0.29316932
316,316,0.29315177
317,317,0.29313424
318,318,0.29311678
319,319,0.2930994
320,320,0.29308212
321,321,0.29306486
322,322,0.29304767
323,323,0.2930306
324,324,0.29301357
325,325,0.29299664
326,326,0.29297978
327,327,0.29296297
328,328,0.29294628
329,329,0.29292965
330,330,0.2929131
331,331,0.29289663
332,332,0.2928802
333,333,0.29286388
334,334,0.29284763
335,335,0.29283142
336,336,0.29281533
337,337,0.29279926
338,338,0.2927833
339,339,0.29276738
340,340,0.29275155
341,341,0.29273576
342,342,0.29272005
343,343,0.2927044
344,344,0.29268885
345,345,0.29267332
346,346,0.29265788
347,347,0.29264253
348,348,0.29262722
349,349,0.292612
350,350,0.2925968
351,351,0.29258168
352,352,0.29256663
353,353,0.29255167
354,354,0.29253674
355,355,0.2925219
356,356,0.29250708
357,357,0.29249233
358,358,0.29247767
359,359,0.29246306
360,360,0.2924485
361,361,0.292434
362,362,0.29241955
363,363,0.2924052
364,364,0.29239085
365,365,0.29237658
366,366,0.29236233
367,367,0.29234812
368,368,0.2923339
369,369,0.2923197
370,370,0.2923055
371,371,0.2922913
372,372,0.29227713
373,373,0.2922629
374,374,0.29224873
375,375,0.29223457
376,376,0.29222038
377,377,0.2922063
378,378,0.29219222
379,379,0.29217818
380,380,0.29216424
381,381,0.29215032
382,382,0.2921365
383,383,0.29212275
384,384,0.29210913
385,385,0.29209557
386,386,0.2920821
387,387,0.29206872
388,388,0.29205543
389,389,0.29204223
390,390,0.29202908
391,391,0.29201603
392,392,0.29200304
393,393,0.29199013
394,394,0.29197726
395,395,0.29196447
396,396,0.29195178
397,397,0.29193914
398,398,0.29192653
399,399,0.29191405
400,400,0.2919016
401,401,0.29188922
402,402,0.2918769
403,403,0.2918647
404,404,0.29185253
405,405,0.29184043
406,406,0.2918284
407,407,0.29181644
408,408,0.29180452
409,409,0.2917927
410,410,0.29178092
411,411,0.2917692
412,412,0.29175755
413,413,0.291746
414,414,0.29173446
415,415,0.29172298
416,416,0.29171157
417,417,0.2917002
418,418,0.29168892
419,419,0.29167768
420,420,0.2916665
421,421,0.2916554
422,422,0.2916443
423,423,0.2916333
424,424,0.29162237
425,425,0.2916115
426,426,0.2916007
427,427,0.29158995
428,428,0.29157928
429,429,0.29156864
430,430,0.29155806
431,431,0.2915475
432,432,0.291537
433,433,0.2915265
434,434,0.29151604
435,435,0.29150563
436,436,0.29149523
437,437,0.29148486
438,438,0.29147452
439,439,0.29146424
440,440,0.29145396
441,441,0.29144374
442,442,0.29143354
443,443,0.29142338
444,444,0.29141325
445,445,0.29140317
446,446,0.29139313
447,447,0.29138312
448,448,0.29137316
449,449,0.29136324
450,450,0.29135334
451,451,0.29134345
452,452,0.29133362
453,453,0.2913238
454,454,0.29131404
455,455,0.2913043
456,456,0.29129454
457,457,0.29128486
458,458,0.2912752
459,459,0.29126555
