,epochs,SY0
0,0,0.7266263
1,1,0.72626185
2,2,0.72592026
3,3,0.7256818
4,4,0.7255094
5,5,0.72538644
6,6,0.7253176
7,7,0.7252592
8,8,0.72518915
9,9,0.72507936
10,10,0.72492534
11,11,0.72474444
12,12,0.72456044
13,13,0.72439253
14,14,0.7242506
15,15,0.7241377
16,16,0.7240526
17,17,0.7239913
18,18,0.72394866
19,19,0.72391945
20,20,0.7238988
21,21,0.7238818
22,22,0.72386223
23,23,0.72383285
24,24,0.72378707
25,25,0.7237229
26,26,0.72364324
27,27,0.723553
28,28,0.7234565
29,29,0.7233563
30,30,0.72325337
31,31,0.72314644
32,32,0.72303194
33,33,0.7229029
34,34,0.7227468
35,35,0.7225432
36,36,0.722275
37,37,0.7219566
38,38,0.72163206
39,39,0.72133
40,40,0.721038
41,41,0.7207472
42,42,0.72045213
43,43,0.7201455
44,44,0.71983135
45,45,0.71952903
46,46,0.7192564
47,47,0.7190235
48,48,0.7188313
49,49,0.7186768
50,50,0.7185557
51,51,0.71846205
52,52,0.7183869
53,53,0.71831673
54,54,0.71823764
55,55,0.7181389
56,56,0.718015
57,57,0.7178782
58,58,0.71774423
59,59,0.717616
60,60,0.71749425
61,61,0.71738076
62,62,0.7172792
63,63,0.71719253
64,64,0.7171217
65,65,0.71706563
66,66,0.7170217
67,67,0.7169871
68,68,0.7169579
69,69,0.716933
70,70,0.7169146
71,71,0.71690387
72,72,0.7168996
73,73,0.7168994
74,74,0.71690094
75,75,0.7169034
76,76,0.7169068
77,77,0.7169119
78,78,0.7169188
79,79,0.71692735
80,80,0.71693724
81,81,0.71694833
82,82,0.7169601
83,83,0.7169716
84,84,0.7169829
85,85,0.7169946
86,86,0.71700686
87,87,0.71701944
88,88,0.7170317
89,89,0.71704316
90,90,0.7170537
91,91,0.71706355
92,92,0.7170732
93,93,0.7170834
94,94,0.7170948
95,95,0.7171079
96,96,0.71712285
97,97,0.7171397
98,98,0.717158
99,99,0.71717703
100,100,0.71719605
101,101,0.717214
102,102,0.71723026
103,103,0.7172443
104,104,0.7172561
105,105,0.7172659
106,106,0.7172741
107,107,0.7172814
108,108,0.71728814
109,109,0.7172945
110,110,0.7173009
111,111,0.7173072
112,112,0.7173135
113,113,0.7173197
114,114,0.7173258
115,115,0.7173317
116,116,0.71733755
117,117,0.71734345
118,118,0.71734947
119,119,0.71735567
120,120,0.7173619
121,121,0.7173682
122,122,0.7173741
123,123,0.7173794
124,124,0.71738374
125,125,0.71738714
126,126,0.7173894
127,127,0.7173907
128,128,0.71739113
129,129,0.71739095
130,130,0.71739024
131,131,0.7173892
132,132,0.71738803
133,133,0.7173866
134,134,0.71738493
135,135,0.7173831
136,136,0.7173811
137,137,0.7173791
138,138,0.71737725
139,139,0.71737576
140,140,0.7173747
141,141,0.7173744
142,142,0.71737474
143,143,0.71737593
144,144,0.71737784
145,145,0.7173804
146,146,0.71738356
147,147,0.7173874
148,148,0.7173918
149,149,0.71739674
150,150,0.7174023
151,151,0.71740836
152,152,0.71741486
153,153,0.71742177
154,154,0.717429
155,155,0.7174364
156,156,0.717444
157,157,0.71745175
158,158,0.71745974
159,159,0.71746796
160,160,0.7174763
161,161,0.7174847
162,162,0.7174931
163,163,0.71750146
164,164,0.7175096
165,165,0.71751773
166,166,0.71752566
167,167,0.71753347
168,168,0.7175413
169,169,0.7175492
170,170,0.7175571
171,171,0.7175651
172,172,0.7175732
173,173,0.7175817
174,174,0.7175905
175,175,0.7176
176,176,0.7176099
177,177,0.7176199
178,178,0.71762955
179,179,0.7176386
180,180,0.7176472
181,181,0.7176557
182,182,0.7176647
183,183,0.7176745
184,184,0.717685
185,185,0.7176957
186,186,0.7177061
187,187,0.71771544
188,188,0.71772337
189,189,0.7177299
190,190,0.71773577
191,191,0.71774155
192,192,0.7177483
193,193,0.7177565
194,194,0.7177662
195,195,0.71777713
196,196,0.71778864
197,197,0.7177999
198,198,0.7178105
199,199,0.71782064
200,200,0.71783024
201,201,0.7178407
202,202,0.7178539
203,203,0.7178721
204,204,0.71789527
205,205,0.7179223
206,206,0.71795094
207,207,0.7179784
208,208,0.7180019
209,209,0.7180204
210,210,0.71803576
211,211,0.718052
212,212,0.7180719
213,213,0.71809626
214,214,0.7181241
215,215,0.7181534
216,216,0.71818185
217,217,0.7182073
218,218,0.71822876
219,219,0.718247
220,220,0.7182637
221,221,0.71828085
222,222,0.7182997
223,223,0.71832055
224,224,0.718343
225,225,0.7183663
226,226,0.7183893
227,227,0.71841115
228,228,0.7184315
229,229,0.7184504
230,230,0.7184688
231,231,0.7184874
232,232,0.7185068
233,233,0.7185273
234,234,0.71854883
235,235,0.71857107
236,236,0.71859354
237,237,0.71861583
238,238,0.71863776
239,239,0.71865916
240,240,0.71868026
241,241,0.7187011
242,242,0.71872157
243,243,0.7187414
244,244,0.71876025
245,245,0.7187776
246,246,0.71879315
247,247,0.718807
248,248,0.71881944
249,249,0.718831
250,250,0.7188421
251,251,0.71885294
252,252,0.71886367
253,253,0.7188743
254,254,0.7188848
255,255,0.7188953
256,256,0.7189059
257,257,0.71891683
258,258,0.7189282
259,259,0.71894
260,260,0.7189523
261,261,0.7189648
262,262,0.7189773
263,263,0.7189894
264,264,0.719001
265,265,0.719012
266,266,0.71902233
267,267,0.7190321
268,268,0.7190414
269,269,0.71905035
270,270,0.7190588
271,271,0.71906686
272,272,0.7190744
273,273,0.7190816
274,274,0.71908844
275,275,0.7190953
276,276,0.7191022
277,277,0.7191095
278,278,0.7191171
279,279,0.71912503
280,280,0.7191333
281,281,0.7191418
282,282,0.7191506
283,283,0.71915954
284,284,0.71916884
285,285,0.7191784
286,286,0.7191881
287,287,0.71919805
288,288,0.7192081
289,289,0.7192184
290,290,0.7192287
291,291,0.719239
292,292,0.7192493
293,293,0.7192596
294,294,0.7192698
295,295,0.71928
296,296,0.71929014
297,297,0.7193002
298,298,0.7193052
299,299,0.7193102
300,300,0.7193152
301,301,0.7193202
302,302,0.7193252
303,303,0.7193302
304,304,0.7193352
305,305,0.7193402
306,306,0.7193452
307,307,0.71935016
308,308,0.71935517
309,309,0.71936005
310,310,0.71936494
311,311,0.71936977
312,312,0.71937454
313,313,0.7193793
314,314,0.719384
315,315,0.7193886
316,316,0.7193932
317,317,0.71939766
318,318,0.719402
319,319,0.7194063
320,320,0.7194105
321,321,0.7194146
322,322,0.7194186
323,323,0.71942246
324,324,0.7194263
325,325,0.71942997
326,326,0.7194336
