,epochs,SY0
0,0,0.67796427
1,1,0.6783063
2,2,0.6786465
3,3,0.6789788
4,4,0.6793063
5,5,0.67962855
6,6,0.67994463
7,7,0.680254
8,8,0.68055534
9,9,0.68084735
10,10,0.6811296
11,11,0.6814027
12,12,0.6816666
13,13,0.6819207
14,14,0.6821654
15,15,0.6824035
16,16,0.6826391
17,17,0.68287456
18,18,0.68310946
19,19,0.6833421
20,20,0.68357104
21,21,0.6837952
22,22,0.6840134
23,23,0.68422544
24,24,0.6844314
25,25,0.68463135
26,26,0.68482476
27,27,0.6850105
28,28,0.68518746
29,29,0.68535495
30,30,0.68551207
31,31,0.6856573
32,32,0.6857879
33,33,0.68590003
34,34,0.6859899
35,35,0.68605584
36,36,0.6860991
37,37,0.686124
38,38,0.6861359
39,39,0.68613976
40,40,0.68613917
41,41,0.6861355
42,42,0.6861273
43,43,0.6861106
44,44,0.6860794
45,45,0.686028
46,46,0.6859532
47,47,0.68585485
48,48,0.6857362
49,49,0.6856025
50,50,0.6854592
51,51,0.6853102
52,52,0.68515676
53,53,0.684998
54,54,0.6848317
55,55,0.68465626
56,56,0.6844717
57,57,0.68427974
58,58,0.68408346
59,59,0.6838862
60,60,0.68369055
61,61,0.6834984
62,62,0.6833104
63,63,0.683127
64,64,0.6829486
65,65,0.6827757
66,66,0.682609
67,67,0.68244904
68,68,0.68229586
69,69,0.6821492
70,70,0.68200797
71,71,0.6818713
72,72,0.68173814
73,73,0.68160814
74,74,0.6814812
75,75,0.6813577
76,76,0.68123794
77,77,0.68112206
78,78,0.6810097
79,79,0.6809001
80,80,0.6807922
81,81,0.680685
82,82,0.6805779
83,83,0.6804705
84,84,0.6803631
85,85,0.68025607
86,86,0.68014985
87,87,0.68004465
88,88,0.6799406
89,89,0.67983735
90,90,0.67973477
91,91,0.6796326
92,92,0.6795308
93,93,0.6794293
94,94,0.6793282
95,95,0.6792276
96,96,0.6791275
97,97,0.6790281
98,98,0.67892957
99,99,0.6788322
100,100,0.67873615
101,101,0.67864174
102,102,0.67854905
103,103,0.6784582
104,104,0.6783691
105,105,0.67828155
106,106,0.6781953
107,107,0.67811036
108,108,0.6780267
109,109,0.67794436
110,110,0.67786366
111,111,0.67778474
112,112,0.67770773
113,113,0.67763275
114,114,0.6775598
115,115,0.67748886
116,116,0.67741984
117,117,0.6773527
118,118,0.67728746
119,119,0.6772241
120,120,0.6771626
121,121,0.67710304
122,122,0.67704546
123,123,0.67698985
124,124,0.67693615
125,125,0.67688435
