,epochs,Hp
0,0,0.023037216
1,1,0.023049073
2,2,0.023060145
3,3,0.023070687
4,4,0.023081152
5,5,0.023091983
6,6,0.023103219
7,7,0.02311463
8,8,0.02312562
9,9,0.023135249
10,10,0.02314265
11,11,0.023147266
12,12,0.023149014
13,13,0.02314834
14,14,0.023145625
15,15,0.023141379
16,16,0.023136003
17,17,0.023129892
18,18,0.023123434
19,19,0.02311688
20,20,0.023110347
21,21,0.023103917
22,22,0.023097599
23,23,0.023091355
24,24,0.023085134
25,25,0.023078881
26,26,0.023072526
27,27,0.023066064
28,28,0.023059562
29,29,0.02305312
30,30,0.02304685
31,31,0.023040831
32,32,0.023035148
33,33,0.02302987
34,34,0.023025015
35,35,0.023020545
36,36,0.023016384
37,37,0.023012498
38,38,0.02300888
39,39,0.023005508
40,40,0.023002377
41,41,0.02299949
42,42,0.022996834
43,43,0.022994371
44,44,0.022992088
45,45,0.022989986
46,46,0.022988044
47,47,0.022986246
48,48,0.022984575
49,49,0.022982966
50,50,0.022981372
51,51,0.022979753
52,52,0.022978075
53,53,0.022976356
54,54,0.022974586
55,55,0.022972783
56,56,0.02297094
57,57,0.022969034
58,58,0.022967061
59,59,0.022965018
60,60,0.022962932
61,61,0.022960834
62,62,0.022958748
63,63,0.02295671
64,64,0.022954721
65,65,0.022952797
66,66,0.02295094
67,67,0.022949157
68,68,0.02294746
69,69,0.022945845
70,70,0.022944318
71,71,0.02294287
72,72,0.022941513
73,73,0.022940246
74,74,0.022939086
75,75,0.022938028
76,76,0.022937076
77,77,0.022936216
78,78,0.022935439
79,79,0.022934731
80,80,0.022934092
81,81,0.022933507
82,82,0.02293299
83,83,0.02293251
84,84,0.022932084
85,85,0.02293168
86,86,0.022931308
87,87,0.02293094
88,88,0.02293058
89,89,0.022930218
90,90,0.022929855
91,91,0.022929495
92,92,0.02292915
93,93,0.022928819
94,94,0.022928528
95,95,0.022928268
96,96,0.02292807
97,97,0.022927906
98,98,0.022927761
99,99,0.022927633
100,100,0.022927497
101,101,0.022927413
102,102,0.022927376
103,103,0.02292739
104,104,0.022927599
105,105,0.022927914
106,106,0.022928417
107,107,0.022929236
108,108,0.022930332
109,109,0.022931555
110,110,0.022932662
111,111,0.022933533
112,112,0.022933962
113,113,0.022933766
114,114,0.02293298
115,115,0.022931745
116,116,0.022930123
117,117,0.022928152
118,118,0.022925919
119,119,0.022923522
120,120,0.022921033
121,121,0.022918498
122,122,0.022915974
123,123,0.02291351
124,124,0.022911178
125,125,0.022909097
126,126,0.022907335
127,127,0.02290591
128,128,0.022904849
129,129,0.022904145
130,130,0.022903765
131,131,0.022903658
132,132,0.022903768
133,133,0.022904038
134,134,0.022904437
135,135,0.022904942
136,136,0.022905536
137,137,0.022906207
138,138,0.022906942
139,139,0.022907717
140,140,0.02290849
141,141,0.022909226
142,142,0.0229099
143,143,0.02291051
144,144,0.022911074
145,145,0.022911608
146,146,0.02291212
147,147,0.022912612
148,148,0.022913087
149,149,0.022913553
150,150,0.022914011
151,151,0.022914467
152,152,0.022914939
153,153,0.022915443
