,epochs,mu
0,0,0.5252492
1,1,0.5250007
2,2,0.5247507
3,3,0.52451116
4,4,0.5242811
5,5,0.5240545
6,6,0.5238272
7,7,0.5235969
8,8,0.52336323
9,9,0.52312684
10,10,0.52289
11,11,0.52265626
12,12,0.52242786
13,13,0.5222035
14,14,0.5219805
15,15,0.5217576
16,16,0.521534
17,17,0.52130926
18,18,0.5210834
19,19,0.5208575
20,20,0.5206332
21,21,0.52041286
22,22,0.52019906
23,23,0.5199945
24,24,0.51980174
25,25,0.51962286
26,26,0.5194593
27,27,0.51931185
28,28,0.5191809
29,29,0.5190663
30,30,0.5189671
31,31,0.5188817
32,32,0.51880777
33,33,0.5187428
34,34,0.5186844
35,35,0.51863074
36,36,0.518581
37,37,0.5185352
38,38,0.51849407
39,39,0.5184589
40,40,0.51843077
41,41,0.5184107
42,42,0.51839906
43,43,0.5183961
44,44,0.5184017
45,45,0.518416
46,46,0.51843935
47,47,0.5184727
48,48,0.5185169
49,49,0.518573
50,50,0.51864153
51,51,0.51872265
52,52,0.51881564
53,53,0.51891905
54,54,0.51903105
55,55,0.5191495
56,56,0.5192722
57,57,0.51939744
58,58,0.5195235
59,59,0.51964915
60,60,0.5197736
61,61,0.51989615
62,62,0.5200164
63,63,0.52013385
64,64,0.5202485
65,65,0.5203599
66,66,0.5204678
67,67,0.520572
68,68,0.52067214
69,69,0.52076775
70,70,0.52085847
71,71,0.52094406
72,72,0.52102417
73,73,0.52109873
74,74,0.5211678
75,75,0.5212314
76,76,0.5212898
77,77,0.52134323
78,78,0.5213918
79,79,0.5214358
80,80,0.5214753
81,81,0.52151024
82,82,0.5215406
83,83,0.52156615
84,84,0.52158684
85,85,0.52160245
86,86,0.5216129
87,87,0.52161837
88,88,0.52161896
89,89,0.5216152
90,90,0.5216077
91,91,0.5215971
92,92,0.521584
93,93,0.5215692
94,94,0.5215533
95,95,0.5215367
96,96,0.5215199
97,97,0.5215031
98,98,0.52148664
99,99,0.5214707
100,100,0.5214556
101,101,0.5214415
102,102,0.5214287
103,103,0.52141714
104,104,0.5214071
105,105,0.5213986
106,106,0.5213917
107,107,0.5213864
108,108,0.5213827
109,109,0.5213807
110,110,0.52138054
111,111,0.5213821
112,112,0.52138543
113,113,0.5213906
114,114,0.52139765
115,115,0.5214064
116,116,0.5214169
117,117,0.52142894
118,118,0.5214425
119,119,0.5214573
120,120,0.5214732
121,121,0.52149004
122,122,0.52150756
123,123,0.5215256
124,124,0.52154416
125,125,0.52156293
126,126,0.521582
127,127,0.52160126
128,128,0.5216206
129,129,0.5216399
130,130,0.5216592
131,131,0.52167845
132,132,0.5216975
133,133,0.5217164
134,134,0.5217351
135,135,0.5217534
136,136,0.5217714
137,137,0.521789
138,138,0.52180636
139,139,0.5218234
140,140,0.52184004
141,141,0.52185625
142,142,0.5218721
143,143,0.52188754
144,144,0.5219025
145,145,0.521917
146,146,0.521931
147,147,0.5219446
148,148,0.5219578
149,149,0.52197075
150,150,0.5219834
151,151,0.52199584
152,152,0.5220081
153,153,0.5220203
154,154,0.5220324
155,155,0.52204436
156,156,0.52205634
157,157,0.52206826
158,158,0.5220801
159,159,0.5220919
160,160,0.5221036
161,161,0.5221153
162,162,0.5221269
163,163,0.5221385
164,164,0.5221499
165,165,0.52216136
166,166,0.52217275
167,167,0.522184
168,168,0.5221953
169,169,0.5222064
170,170,0.5222176
171,171,0.52222866
172,172,0.5222397
173,173,0.52225065
174,174,0.5222616
175,175,0.5222725
176,176,0.5222834
177,177,0.5222942
178,178,0.5223049
179,179,0.5223155
180,180,0.52232605
181,181,0.5223364
182,182,0.5223467
183,183,0.5223568
184,184,0.5223668
185,185,0.52237666
186,186,0.5223863
187,187,0.5223958
188,188,0.52240515
189,189,0.52241427
190,190,0.52242327
191,191,0.5224321
192,192,0.5224408
193,193,0.5224494
194,194,0.5224578
195,195,0.52246606
196,196,0.5224743
197,197,0.52248234
198,198,0.5224903
199,199,0.5224982
200,200,0.52250594
201,201,0.52251357
202,202,0.522521
203,203,0.52252835
204,204,0.52253544
205,205,0.52254236
206,206,0.5225491
207,207,0.52255565
208,208,0.5225619
209,209,0.522568
210,210,0.52257377
211,211,0.5225793
212,212,0.5225846
213,213,0.5225896
214,214,0.5225944
215,215,0.522599
216,216,0.5226034
217,217,0.5226076
218,218,0.52261174
219,219,0.52261573
220,220,0.52261955
221,221,0.5226233
222,222,0.52262694
223,223,0.5226306
224,224,0.52263415
225,225,0.5226377
226,226,0.5226413
227,227,0.5226448
228,228,0.52264833
229,229,0.52265185
230,230,0.52265537
231,231,0.5226589
232,232,0.52266234
233,233,0.5226658
234,234,0.52266926
235,235,0.5226727
236,236,0.52267617
237,237,0.5226796
238,238,0.5226831
239,239,0.52268654
240,240,0.52268994
241,241,0.5226934
242,242,0.52269673
243,243,0.5227001
244,244,0.5227033
245,245,0.52270645
246,246,0.5227095
247,247,0.52271247
248,248,0.52271533
249,249,0.522718
250,250,0.5227205
251,251,0.5227229
252,252,0.5227251
253,253,0.5227272
254,254,0.52272904
255,255,0.5227308
256,256,0.5227324
257,257,0.52273387
258,258,0.52273524
259,259,0.52273643
260,260,0.52273756
261,261,0.52273864
262,262,0.5227396
263,263,0.5227406
264,264,0.5227415
265,265,0.52274245
266,266,0.52274334
267,267,0.52274424
268,268,0.5227452
269,269,0.5227461
270,270,0.5227471
271,271,0.52274805
272,272,0.5227491
273,273,0.52275014
274,274,0.5227513
275,275,0.5227524
276,276,0.5227536
277,277,0.5227548
278,278,0.52275604
279,279,0.52275735
280,280,0.52275866
281,281,0.52276
282,282,0.5227613
283,283,0.52276266
284,284,0.522764
285,285,0.5227654
286,286,0.52276677
287,287,0.5227681
288,288,0.52276945
289,289,0.52277076
290,290,0.522772
291,291,0.52277327
292,292,0.5227745
293,293,0.5227757
294,294,0.5227768
295,295,0.52277786
296,296,0.52277887
297,297,0.5227798
298,298,0.52278066
299,299,0.52278143
300,300,0.5227822
301,301,0.52278286
302,302,0.5227834
303,303,0.52278394
304,304,0.5227844
305,305,0.5227848
306,306,0.5227852
307,307,0.52278554
308,308,0.5227858
309,309,0.522786
310,310,0.5227863
311,311,0.52278656
312,312,0.5227868
313,313,0.52278703
314,314,0.52278733
315,315,0.5227877
316,316,0.52278805
317,317,0.5227885
318,318,0.5227891
319,319,0.52278984
320,320,0.5227907
321,321,0.5227917
322,322,0.5227929
323,323,0.52279425
324,324,0.52279586
325,325,0.5227977
326,326,0.52279973
327,327,0.522802
328,328,0.5228044
329,329,0.5228068
330,330,0.5228092
331,331,0.5228116
332,332,0.5228138
333,333,0.52281576
334,334,0.52281743
335,335,0.52281874
336,336,0.5228196
337,337,0.52282006
338,338,0.5228201
339,339,0.52281976
340,340,0.52281916
341,341,0.52281827
342,342,0.52281713
343,343,0.5228159
344,344,0.5228146
345,345,0.5228132
346,346,0.5228119
347,347,0.5228106
348,348,0.52280927
349,349,0.52280813
350,350,0.522807
351,351,0.5228059
352,352,0.52280504
353,353,0.5228042
354,354,0.5228035
355,355,0.5228029
356,356,0.5228024
357,357,0.5228021
358,358,0.5228019
359,359,0.5228019
360,360,0.5228021
361,361,0.52280253
362,362,0.5228032
363,363,0.5228041
364,364,0.52280504
365,365,0.52280617
366,366,0.5228073
367,367,0.52280855
368,368,0.52280986
369,369,0.5228111
370,370,0.52281237
371,371,0.5228136
372,372,0.5228148
373,373,0.522816
374,374,0.52281713
375,375,0.52281827
376,376,0.5228194
377,377,0.5228204
378,378,0.52282137
379,379,0.52282226
380,380,0.5228231
381,381,0.5228238
382,382,0.52282447
383,383,0.52282506
384,384,0.52282554
385,385,0.5228259
386,386,0.5228262
387,387,0.5228263
388,388,0.5228264
389,389,0.5228263
390,390,0.52282614
391,391,0.52282584
392,392,0.5228255
393,393,0.52282494
394,394,0.5228244
395,395,0.52282375
396,396,0.52282304
397,397,0.52282226
398,398,0.5228215
399,399,0.5228207
400,400,0.5228199
401,401,0.5228191
402,402,0.5228183
403,403,0.5228176
404,404,0.52281696
405,405,0.5228163
406,406,0.5228157
407,407,0.5228151
408,408,0.5228146
409,409,0.5228141
410,410,0.5228136
411,411,0.5228132
412,412,0.5228128
413,413,0.5228123
414,414,0.5228119
415,415,0.52281153
416,416,0.52281106
417,417,0.52281064
418,418,0.52281016
419,419,0.5228097
420,420,0.52280915
421,421,0.52280855
422,422,0.52280796
423,423,0.52280736
424,424,0.5228067
425,425,0.522806
426,426,0.5228053
427,427,0.52280456
428,428,0.52280384
429,429,0.52280307
430,430,0.52280235
431,431,0.5228017
432,432,0.52280104
433,433,0.52280045
434,434,0.5227999
435,435,0.52279955
436,436,0.5227992
437,437,0.5227991
438,438,0.522799
439,439,0.5227992
440,440,0.5227995
441,441,0.5228
442,442,0.52280074
443,443,0.5228017
444,444,0.5228029
445,445,0.5228043
446,446,0.5228059
447,447,0.52280784
448,448,0.52280986
449,449,0.5228121
450,450,0.5228144
451,451,0.5228166
452,452,0.52281874
453,453,0.52282065
454,454,0.5228223
455,455,0.5228237
456,456,0.52282476
457,457,0.5228256
458,458,0.52282625
459,459,0.52282673
460,460,0.522827
461,461,0.5228273
462,462,0.52282745
463,463,0.52282757
464,464,0.5228277
465,465,0.52282774
466,466,0.52282774
467,467,0.52282774
468,468,0.5228277
469,469,0.5228275
470,470,0.52282715
471,471,0.5228265
472,472,0.5228256
473,473,0.5228244
474,474,0.522823
475,475,0.5228212
476,476,0.5228192
477,477,0.5228171
478,478,0.5228148
479,479,0.52281237
480,480,0.5228099
481,481,0.52280754
482,482,0.5228051
483,483,0.52280277
484,484,0.5228005
485,485,0.5227984
486,486,0.52279645
487,487,0.5227947
488,488,0.5227932
489,489,0.5227919
490,490,0.52279085
491,491,0.52279
492,492,0.5227895
493,493,0.5227892
494,494,0.5227891
495,495,0.5227893
496,496,0.5227897
497,497,0.5227904
498,498,0.5227912
499,499,0.5227922
500,500,0.52279323
501,501,0.52279437
502,502,0.5227955
503,503,0.5227966
504,504,0.5227976
505,505,0.52279854
506,506,0.52279943
507,507,0.52280015
508,508,0.5228007
509,509,0.52280104
510,510,0.5228012
511,511,0.5228012
512,512,0.522801
513,513,0.52280056
514,514,0.52279997
515,515,0.52279925
516,516,0.52279836
517,517,0.5227973
518,518,0.5227962
519,519,0.52279496
520,520,0.52279365
521,521,0.52279234
522,522,0.52279097
523,523,0.52278954
524,524,0.52278817
525,525,0.52278686
526,526,0.52278554
527,527,0.5227843
528,528,0.5227831
529,529,0.522782
530,530,0.522781
531,531,0.5227801
532,532,0.5227793
533,533,0.5227786
534,534,0.522778
535,535,0.52277744
536,536,0.52277696
537,537,0.52277654
538,538,0.52277625
539,539,0.5227759
540,540,0.52277565
541,541,0.5227754
542,542,0.5227752
543,543,0.522775
544,544,0.52277476
545,545,0.5227745
546,546,0.5227743
547,547,0.522774
548,548,0.5227737
549,549,0.5227733
550,550,0.52277297
551,551,0.52277255
552,552,0.52277213
553,553,0.52277166
554,554,0.5227712
555,555,0.52277064
556,556,0.52277005
557,557,0.52276945
558,558,0.52276886
559,559,0.52276826
560,560,0.52276766
561,561,0.522767
562,562,0.52276635
563,563,0.5227657
564,564,0.52276504
565,565,0.5227644
566,566,0.5227638
567,567,0.52276313
568,568,0.52276254
569,569,0.52276194
570,570,0.5227614
571,571,0.5227608
572,572,0.5227603
573,573,0.52275974
574,574,0.5227592
575,575,0.5227587
576,576,0.5227582
577,577,0.52275777
578,578,0.5227573
579,579,0.5227568
580,580,0.52275634
581,581,0.52275586
582,582,0.5227554
583,583,0.5227549
584,584,0.5227545
585,585,0.522754
586,586,0.52275354
587,587,0.52275306
588,588,0.5227526
589,589,0.52275205
590,590,0.5227515
591,591,0.52275103
592,592,0.52275044
593,593,0.52274984
594,594,0.5227492
595,595,0.52274853
596,596,0.5227478
597,597,0.52274704
598,598,0.5227462
599,599,0.5227453
600,600,0.5227444
601,601,0.5227434
602,602,0.5227424
603,603,0.5227413
604,604,0.52274024
605,605,0.5227391
606,606,0.522738
607,607,0.52273685
608,608,0.5227358
609,609,0.5227347
610,610,0.5227337
611,611,0.5227328
612,612,0.52273196
613,613,0.52273124
614,614,0.52273065
615,615,0.5227302
616,616,0.52272993
617,617,0.5227298
618,618,0.52272993
619,619,0.5227303
620,620,0.5227309
621,621,0.5227317
