,epochs,SY0
0,0,0.36883625
1,1,0.36902484
2,2,0.3692116
3,3,0.36938977
4,4,0.36956692
5,5,0.36974362
6,6,0.36991915
7,7,0.37009364
8,8,0.37026703
9,9,0.37043688
10,10,0.3705908
11,11,0.37070343
12,12,0.3707791
13,13,0.3708415
14,14,0.37090468
15,15,0.3709733
16,16,0.37104836
17,17,0.37112957
18,18,0.37121582
19,19,0.37130538
20,20,0.37139484
21,21,0.37147886
22,22,0.37155205
23,23,0.37161404
24,24,0.37166995
25,25,0.3717258
26,26,0.37178522
27,27,0.37184903
28,28,0.37191552
29,29,0.37198034
30,30,0.3720352
31,31,0.37206778
32,32,0.37207127
33,33,0.3720532
34,34,0.37202644
35,35,0.3720002
36,36,0.3719783
37,37,0.37196067
38,38,0.37194362
39,39,0.37192136
40,40,0.37188876
41,41,0.37184575
42,42,0.37179738
43,43,0.37174952
44,44,0.37170583
45,45,0.37166744
46,46,0.3716332
47,47,0.37159994
48,48,0.3715632
49,49,0.37151897
50,50,0.37146628
51,51,0.37140802
52,52,0.37134823
53,53,0.37128988
54,54,0.371234
55,55,0.37117976
56,56,0.3711251
57,57,0.37106773
58,58,0.37100658
59,59,0.37094274
60,60,0.3708786
61,61,0.37081647
62,62,0.3707575
63,63,0.37070143
64,64,0.37064704
65,65,0.37059253
66,66,0.37053683
67,67,0.37048015
68,68,0.37042382
69,69,0.37036946
70,70,0.37031788
71,71,0.3702689
72,72,0.37022135
73,73,0.37017363
74,74,0.37012446
75,75,0.37007338
76,76,0.37002096
77,77,0.3699681
78,78,0.36991522
79,79,0.369862
80,80,0.3698074
81,81,0.36975014
82,82,0.36968935
83,83,0.369625
84,84,0.3695579
85,85,0.36948884
86,86,0.3694184
87,87,0.36934656
88,88,0.36927283
89,89,0.3691968
90,90,0.3691185
91,91,0.36903846
92,92,0.36895737
93,93,0.36887592
94,94,0.36879438
95,95,0.36871263
96,96,0.3686304
97,97,0.36854753
98,98,0.36846423
99,99,0.36838087
100,100,0.36829793
101,101,0.36821565
102,102,0.36813405
103,103,0.36805287
104,104,0.36797193
105,105,0.3678911
106,106,0.36781067
107,107,0.36773092
108,108,0.3676521
109,109,0.3675743
110,110,0.36749735
111,111,0.36742106
112,112,0.36734524
113,113,0.3672699
114,114,0.36719513
115,115,0.367121
116,116,0.36704758
117,117,0.36697474
118,118,0.36690226
119,119,0.36683002
120,120,0.36675793
121,121,0.36668614
122,122,0.3666147
123,123,0.36654365
124,124,0.36647296
125,125,0.3664025
126,126,0.3663322
127,127,0.36626208
128,128,0.36619222
129,129,0.36612272
130,130,0.3660536
131,131,0.36598495
132,132,0.3659166
133,133,0.36584863
134,134,0.36578095
135,135,0.36571363
136,136,0.36564675
137,137,0.36558035
138,138,0.3655144
139,139,0.36544883
140,140,0.3653836
141,141,0.36531872
142,142,0.36525416
143,143,0.36519
144,144,0.3651262
145,145,0.36506274
146,146,0.36499956
147,147,0.3649367
148,148,0.36487412
149,149,0.36481187
150,150,0.36474994
151,151,0.36468843
152,152,0.36462724
153,153,0.3645664
154,154,0.36450592
155,155,0.3644458
156,156,0.36438608
157,157,0.3643268
158,158,0.36426798
159,159,0.36420956
160,160,0.3641516
161,161,0.36409402
162,162,0.36403692
163,163,0.36398026
164,164,0.3639241
165,165,0.36386836
166,166,0.36381307
167,167,0.36375827
168,168,0.36370388
169,169,0.36364993
170,170,0.36359644
171,171,0.36354345
172,172,0.36349085
173,173,0.36343873
174,174,0.36338702
175,175,0.36333573
176,176,0.3632849
177,177,0.36323443
178,178,0.3631844
179,179,0.36313477
180,180,0.36308557
181,181,0.36303672
182,182,0.3629883
183,183,0.36294025
184,184,0.36289263
185,185,0.36284536
186,186,0.36279848
187,187,0.362752
188,188,0.3627059
189,189,0.3626602
190,190,0.36261487
191,191,0.36256993
192,192,0.36252537
193,193,0.3624812
194,194,0.36243746
195,195,0.36239406
196,196,0.36235112
197,197,0.36230853
198,198,0.36226636
199,199,0.36222458
200,200,0.3621832
201,201,0.36214224
202,202,0.36210164
203,203,0.36206147
204,204,0.36202165
205,205,0.36198226
206,206,0.36194324
207,207,0.36190462
208,208,0.3618664
209,209,0.36182857
210,210,0.3617911
211,211,0.36175406
212,212,0.36171737
213,213,0.3616811
214,214,0.3616452
215,215,0.36160967
216,216,0.36157447
217,217,0.36153966
218,218,0.36150524
219,219,0.36147118
220,220,0.36143747
221,221,0.36140412
222,222,0.36137113
223,223,0.3613385
224,224,0.3613062
225,225,0.36127424
226,226,0.36124265
227,227,0.3612114
228,228,0.36118045
229,229,0.3611499
230,230,0.36111966
231,231,0.3610898
232,232,0.3610603
233,233,0.36103114
234,234,0.36100236
235,235,0.36097392
236,236,0.36094588
237,237,0.36091813
238,238,0.36089078
239,239,0.36086375
240,240,0.36083704
241,241,0.36081067
242,242,0.36078465
243,243,0.36075893
244,244,0.36073357
245,245,0.3607085
246,246,0.36068377
247,247,0.36065936
248,248,0.36063522
249,249,0.36061144
250,250,0.36058795
251,251,0.3605648
252,252,0.3605419
253,253,0.36051935
254,254,0.3604971
255,255,0.3604751
256,256,0.3604534
257,257,0.36043203
258,258,0.36041093
