,t,gamma
0,0.0,7.253029e-06
1,0.01,7.728733e-06
2,0.02,8.387365e-06
3,0.03,9.136893e-06
4,0.04,9.869136e-06
5,0.05,1.0475733e-05
6,0.06,1.0881402e-05
7,0.07,1.1071481e-05
8,0.08,1.1106529e-05
9,0.09,1.110486e-05
10,0.1,1.1198082e-05
11,0.11,1.1477747e-05
12,0.12,1.1967011e-05
13,0.13,1.26202785e-05
14,0.14,1.3352998e-05
15,0.15,1.40781785e-05
16,0.16,1.4731475e-05
17,0.17,1.5281566e-05
18,0.18,1.5726544e-05
19,0.19,1.6088703e-05
20,0.2,1.6400822e-05
21,0.21,1.669965e-05
22,0.22,1.7019607e-05
23,0.23,1.7390319e-05
24,0.24,1.7833987e-05
25,0.25,1.836715e-05
26,0.26,1.8998184e-05
27,0.27,1.973138e-05
28,0.28,2.056519e-05
29,0.29,2.1494665e-05
30,0.3,2.2513606e-05
31,0.31,2.361385e-05
32,0.32,2.478651e-05
33,0.33,2.6023694e-05
34,0.34,2.7316311e-05
35,0.35,2.8659531e-05
36,0.36,3.0046978e-05
37,0.37,3.1473945e-05
38,0.38,3.2939683e-05
39,0.39,3.444151e-05
40,0.4,3.598056e-05
41,0.41,3.7558326e-05
42,0.42,3.9177397e-05
43,0.43,4.084132e-05
44,0.44,4.255436e-05
45,0.45,4.4323246e-05
46,0.46,4.6152392e-05
47,0.47,4.8048685e-05
48,0.48,5.00196e-05
49,0.49,5.207316e-05
50,0.5,5.4216394e-05
51,0.51,5.6458273e-05
52,0.52,5.880804e-05
53,0.53,6.127534e-05
54,0.54,6.38694e-05
55,0.55,6.6601584e-05
56,0.56,6.948153e-05
57,0.57,7.252277e-05
58,0.58,7.573656e-05
59,0.59,7.913576e-05
60,0.6,8.273489e-05
61,0.61,8.654781e-05
62,0.62,9.0589805e-05
63,0.63,9.4877345e-05
64,0.64,9.942685e-05
65,0.65,0.000104256615
66,0.66,0.00010938431
67,0.67,0.00011482827
68,0.68,0.00012061022
69,0.69,0.00012674836
70,0.7,0.00013326341
71,0.71,0.00014017487
72,0.72,0.00014750243
73,0.73,0.00015526438
74,0.74,0.00016347785
75,0.75,0.00017215572
76,0.76,0.00018130965
77,0.77,0.00019094671
78,0.78,0.00020106841
79,0.79,0.00021167022
80,0.8,0.0002227412
81,0.81,0.00023426129
82,0.82,0.0002462018
83,0.83,0.00025852595
84,0.84,0.00027118745
85,0.85,0.00028413127
86,0.86,0.00029729577
87,0.87,0.00031060964
88,0.88,0.00032400203
89,0.89,0.0003374036
90,0.9,0.0003507518
91,0.91,0.0003640036
92,0.92,0.0003771421
93,0.93,0.0003901963
94,0.94,0.00040323797
95,0.95,0.00041638277
96,0.96,0.00042974626
97,0.97,0.0004433569
98,0.98,0.000457009
99,0.99,0.0004700113
100,1.0,0.00048073503
101,1.0,0.00048073503
102,1.02,0.0004868128
103,1.04,0.00048431408
104,1.06,0.00048522715
105,1.08,0.0004854497
106,1.1,0.00048441923
107,1.12,0.0004826725
108,1.14,0.00048066574
109,1.16,0.00047867346
110,1.18,0.00047683416
111,1.2,0.00047520315
112,1.22,0.0004737835
113,1.24,0.00047255377
114,1.26,0.00047147745
115,1.28,0.00047051633
116,1.3,0.000469632
117,1.32,0.00046878986
118,1.34,0.00046795927
119,1.36,0.00046711456
120,1.38,0.0004662351
121,1.4,0.00046530264
122,1.42,0.0004643058
123,1.44,0.00046323353
124,1.46,0.00046207933
125,1.48,0.00046084044
126,1.5,0.00045951718
127,1.52,0.00045811158
128,1.54,0.00045662987
129,1.56,0.00045508097
130,1.58,0.00045347886
131,1.6,0.00045183956
132,1.62,0.00045018268
133,1.64,0.00044853496
134,1.66,0.00044692264
135,1.68,0.00044537848
136,1.7,0.00044393545
137,1.72,0.00044262563
138,1.74,0.0004414784
