,epochs,mu
0,0,0.589717
1,1,0.5894575
2,2,0.5891889
3,3,0.5889112
4,4,0.58862925
5,5,0.58835006
6,6,0.5880822
7,7,0.58783054
8,8,0.58760047
9,9,0.5873988
10,10,0.5872307
11,11,0.58709645
12,12,0.5869937
13,13,0.5869188
14,14,0.5868694
15,15,0.58684355
16,16,0.5868383
17,17,0.58685184
18,18,0.58688223
19,19,0.5869279
20,20,0.5869874
21,21,0.5870597
22,22,0.58714354
23,23,0.58723724
24,24,0.58733827
25,25,0.5874432
26,26,0.5875481
27,27,0.5876489
28,28,0.5877415
29,29,0.58782196
30,30,0.5878877
31,31,0.58793736
32,32,0.5879714
33,33,0.5879921
34,34,0.5880025
35,35,0.58800596
36,36,0.58800507
37,37,0.5880015
38,38,0.5879963
39,39,0.58799034
40,40,0.58798414
41,41,0.5879777
42,42,0.58797044
43,43,0.58796227
44,44,0.5879546
45,45,0.5879488
46,46,0.5879456
47,47,0.58794487
48,48,0.5879463
49,49,0.58795
50,50,0.5879558
51,51,0.5879632
52,52,0.5879713
53,53,0.5879802
54,54,0.58799076
55,55,0.58800316
56,56,0.5880172
57,57,0.58803284
58,58,0.5880498
59,59,0.58806705
60,60,0.58808273
61,61,0.5880958
62,62,0.58810544
63,63,0.5881111
64,64,0.5881125
65,65,0.58811027
66,66,0.58810544
67,67,0.58809817
68,68,0.58808887
69,69,0.5880781
70,70,0.5880655
71,71,0.5880512
72,72,0.5880359
73,73,0.58801997
74,74,0.588004
75,75,0.587989
76,76,0.5879753
77,77,0.58796304
78,78,0.5879525
79,79,0.5879436
80,80,0.5879361
81,81,0.58793056
82,82,0.5879272
83,83,0.5879262
84,84,0.58792806
85,85,0.58793247
86,86,0.587939
87,87,0.58794737
88,88,0.5879566
89,89,0.58796644
90,90,0.58797634
91,91,0.587986
92,92,0.5879956
93,93,0.5880047
94,94,0.58801335
95,95,0.58802146
96,96,0.58802867
97,97,0.58803517
98,98,0.58804077
99,99,0.58804584
100,100,0.58805007
101,101,0.58805364
102,102,0.58805627
103,103,0.58805764
104,104,0.58805776
105,105,0.5880562
106,106,0.58805346
107,107,0.5880495
108,108,0.5880448
109,109,0.5880395
110,110,0.5880343
111,111,0.58802825
112,112,0.5880234
113,113,0.5880148
114,114,0.58800936
115,115,0.5880001
116,116,0.5879917
117,117,0.58798766
118,118,0.58797556
119,119,0.5879555
120,120,0.5879412
121,121,0.5879402
122,122,0.5879496
123,123,0.5879612
124,124,0.58796775
125,125,0.5879706
126,126,0.58797693
127,127,0.5879865
128,128,0.58799154
129,129,0.58799034
130,130,0.5879864
131,131,0.58797765
132,132,0.5879641
133,133,0.58795214
134,134,0.58794785
135,135,0.58795005
136,136,0.58795375
137,137,0.5879578
138,138,0.5879626
139,139,0.58796465
140,140,0.58796334
141,141,0.58796245
142,142,0.587963
143,143,0.58796185
144,144,0.5879574
145,145,0.58795124
146,146,0.5879438
147,147,0.587935
148,148,0.5879287
149,149,0.5879287
150,150,0.587933
151,151,0.5879409
152,152,0.5879527
153,153,0.5879656
154,154,0.5879782
155,155,0.5879919
156,156,0.5880057
157,157,0.58801836
158,158,0.5880301
159,159,0.5880402
160,160,0.5880472
161,161,0.58805263
162,162,0.5880571
163,163,0.5880599
164,164,0.5880616
165,165,0.5880621
166,166,0.58806
167,167,0.58805645
168,168,0.58805275
169,169,0.5880488
170,170,0.58804625
171,171,0.5880455
172,172,0.58804476
173,173,0.58804435
174,174,0.5880439
175,175,0.58804226
176,176,0.5880405
