,t,gamma
0,0.0,3.1923057e-06
1,0.01,3.0053259e-06
2,0.02,2.8834047e-06
3,0.03,2.8223396e-06
4,0.04,2.8175714e-06
5,0.05,2.8639438e-06
6,0.06,2.9550197e-06
7,0.07,3.0848385e-06
8,0.08,3.246993e-06
9,0.09,3.4347477e-06
10,0.1,3.6416056e-06
11,0.11,3.8623216e-06
12,0.12,4.090518e-06
13,0.13,4.322827e-06
14,0.14,4.553944e-06
15,0.15,4.7830345e-06
16,0.16,5.0081317e-06
17,0.17,5.2294436e-06
18,0.18,5.4487587e-06
19,0.19,5.6717995e-06
20,0.2,5.9047643e-06
21,0.21,6.1558785e-06
22,0.22,6.435514e-06
23,0.23,6.7574088e-06
24,0.24,7.133067e-06
25,0.25,7.5771813e-06
26,0.26,8.09902e-06
27,0.27,8.70505e-06
28,0.28,9.388835e-06
29,0.29,1.0131628e-05
30,0.3,1.0891259e-05
31,0.31,1.15975145e-05
32,0.32,1.2153358e-05
33,0.33,1.2446702e-05
34,0.34,1.2410433e-05
35,0.35,1.2145192e-05
36,0.36,1.2173326e-05
37,0.37,1.376319e-05
38,0.38,1.902944e-05
39,0.39,3.0055464e-05
40,0.4,4.6773974e-05
41,0.41,6.5999746e-05
42,0.42,8.46009e-05
43,0.43,0.00010258297
44,0.44,0.00012116722
45,0.45,0.00014043729
46,0.46,0.00015976117
47,0.47,0.00017872719
48,0.48,0.00019729839
49,0.49,0.00021562702
50,0.5,0.00023388134
51,0.51,0.00025218446
52,0.52,0.00027060581
53,0.53,0.000289173
54,0.54,0.00030788424
55,0.55,0.0003267251
56,0.56,0.00034567065
57,0.57,0.0003646945
58,0.58,0.00038377603
59,0.59,0.0004028913
60,0.6,0.00042202233
61,0.61,0.00044115447
62,0.62,0.00046027632
63,0.63,0.00047938054
64,0.64,0.00049845886
65,0.65,0.0005175096
66,0.66,0.0005365272
67,0.67,0.00055550906
68,0.68,0.00057445734
69,0.69,0.0005933687
70,0.7,0.0006122461
71,0.71,0.0006310859
72,0.72,0.0006498894
73,0.73,0.0006686579
74,0.74,0.0006873911
75,0.75,0.0007060905
76,0.76,0.0007247571
77,0.77,0.00074339204
78,0.78,0.00076199655
79,0.79,0.0007805745
80,0.8,0.0007991308
81,0.81,0.000817669
82,0.82,0.0008361998
83,0.83,0.00085472915
84,0.84,0.00087327283
85,0.85,0.0008918467
86,0.86,0.00091047294
87,0.87,0.0009291751
88,0.88,0.00094798225
89,0.89,0.00096692337
90,0.9,0.0009860281
91,0.91,0.0010053149
92,0.92,0.0010247872
93,0.93,0.0010444185
94,0.94,0.0010641358
95,0.95,0.0010837989
96,0.96,0.0011031831
97,0.97,0.0011219482
98,0.98,0.0011396088
99,0.99,0.0011554747
100,1.0,0.0011685365
101,1.0,0.0011685365
102,1.02,0.0011800108
103,1.04,0.0011767109
104,1.06,0.0011886893
105,1.08,0.001187449
106,1.1,0.0011869653
107,1.12,0.0011871427
108,1.14,0.0011875122
109,1.16,0.0011878054
110,1.18,0.0011879015
111,1.2,0.0011877969
112,1.22,0.0011875457
113,1.24,0.0011872131
114,1.26,0.0011868561
115,1.28,0.0011865131
116,1.3,0.0011862033
117,1.32,0.0011859324
118,1.34,0.0011856938
119,1.36,0.0011854733
120,1.38,0.0011852549
121,1.4,0.0011850198
122,1.42,0.0011847521
123,1.44,0.0011844365
124,1.46,0.0011840628
125,1.48,0.0011836227
126,1.5,0.0011831153
127,1.52,0.0011825409
128,1.54,0.0011819043
129,1.56,0.0011812184
130,1.58,0.0011804966
131,1.6,0.0011797579
132,1.62,0.0011790246
133,1.64,0.001178325
134,1.66,0.0011776853
135,1.68,0.0011771375
136,1.7,0.0011767016
137,1.72,0.001176382
138,1.74,0.0011761388
139,1.76,0.0011758569
140,1.78,0.0011753574
141,1.8,0.001174757
142,1.82,0.0011759866
143,1.84,0.0011853589
144,1.86,0.0012100349
145,1.88,0.0012457066
146,1.9,0.0012829239
147,1.92,0.0013203158
148,1.94,0.0013582803
149,1.96,0.0013962158
150,1.98,0.0014338
151,2.0,0.0014710701
152,2.02,0.00150817
