,epochs,mu
0,0,0.52606106
1,1,0.5258061
2,2,0.52555346
3,3,0.5253007
4,4,0.52504575
5,5,0.5247895
6,6,0.52453345
7,7,0.5242786
8,8,0.5240248
9,9,0.5237718
10,10,0.5235194
11,11,0.5232672
12,12,0.5230152
13,13,0.52276325
14,14,0.5225112
15,15,0.5222592
16,16,0.5220076
17,17,0.5217566
18,18,0.5215066
19,19,0.521258
20,20,0.52101105
21,21,0.52076626
22,22,0.5205236
23,23,0.52028316
24,24,0.5200446
25,25,0.5198079
26,26,0.51957244
27,27,0.5193383
28,28,0.51910543
29,29,0.51887393
30,30,0.51864433
31,31,0.5184177
32,32,0.51819795
33,33,0.5179946
34,34,0.5178157
35,35,0.51766384
36,36,0.5175376
37,37,0.51743424
38,38,0.5173507
39,39,0.51728344
40,40,0.5172294
41,41,0.5171856
42,42,0.5171502
43,43,0.517122
44,44,0.51710004
45,45,0.51708347
46,46,0.51707155
47,47,0.51706356
48,48,0.51705915
49,49,0.5170588
50,50,0.51706207
51,51,0.5170669
52,52,0.5170726
53,53,0.5170799
54,54,0.5170903
55,55,0.5171062
56,56,0.5171292
57,57,0.51715994
58,58,0.51719815
59,59,0.51724374
60,60,0.5172981
61,61,0.51736206
62,62,0.51743543
63,63,0.51751757
64,64,0.5176076
65,65,0.51770526
66,66,0.51780844
67,67,0.51791656
68,68,0.5180304
69,69,0.5181499
70,70,0.51827425
71,71,0.5184023
72,72,0.51853275
73,73,0.5186645
74,74,0.51879644
75,75,0.5189278
76,76,0.5190579
77,77,0.51918656
78,78,0.5193137
79,79,0.51943904
80,80,0.5195622
81,81,0.51968294
82,82,0.5198009
83,83,0.5199159
84,84,0.5200277
85,85,0.5201365
86,86,0.5202424
87,87,0.52034587
88,88,0.52044743
89,89,0.5205476
90,90,0.52064675
91,91,0.5207451
92,92,0.5208427
93,93,0.5209396
94,94,0.5210358
95,95,0.5211311
96,96,0.52122515
97,97,0.5213176
98,98,0.5214084
99,99,0.5214974
100,100,0.5215847
101,101,0.5216701
102,102,0.52175367
103,103,0.5218354
104,104,0.52191514
105,105,0.5219929
106,106,0.5220686
107,107,0.52214235
108,108,0.52221406
109,109,0.5222838
110,110,0.52235174
111,111,0.522418
112,112,0.5224827
113,113,0.52254564
114,114,0.52260697
115,115,0.5226665
116,116,0.5227244
117,117,0.5227805
118,118,0.52283484
119,119,0.5228876
120,120,0.52293867
121,121,0.52298814
122,122,0.5230361
123,123,0.5230825
124,124,0.5231273
125,125,0.52317053
126,126,0.5232121
127,127,0.52325195
128,128,0.5232902
129,129,0.5233269
130,130,0.52336204
131,131,0.52339566
132,132,0.5234278
133,133,0.5234584
134,134,0.52348745
135,135,0.52351505
136,136,0.5235411
137,137,0.5235656
138,138,0.52358854
139,139,0.52361006
140,140,0.52363
141,141,0.5236486
142,142,0.52366585
143,143,0.52368176
144,144,0.52369636
145,145,0.52370983
146,146,0.5237224
147,147,0.5237339
148,148,0.52374464
149,149,0.5237547
150,150,0.523764
151,151,0.52377266
152,152,0.5237807
153,153,0.5237882
154,154,0.5237953
155,155,0.5238019
156,156,0.5238081
157,157,0.523814
158,158,0.5238197
159,159,0.5238251
160,160,0.5238305
161,161,0.52383566
162,162,0.52384084
163,163,0.5238459
164,164,0.523851
165,165,0.523856
166,166,0.5238608
167,167,0.5238655
168,168,0.52387
169,169,0.523874
170,170,0.5238777
171,171,0.523881
172,172,0.52388394
173,173,0.52388656
174,174,0.5238888
175,175,0.52389103
176,176,0.52389324
177,177,0.5238952
178,178,0.52389723
179,179,0.52389926
180,180,0.5239011
181,181,0.52390236
182,182,0.5239036
183,183,0.52390474
184,184,0.5239057
185,185,0.5239066
186,186,0.52390695
187,187,0.5239074
188,188,0.52390814
189,189,0.5239093
190,190,0.5239103
191,191,0.52391124
192,192,0.52391225
193,193,0.52391344
194,194,0.52391464
195,195,0.5239155
196,196,0.523916
197,197,0.5239167
198,198,0.52391773
199,199,0.5239189
200,200,0.52392036
201,201,0.52392215
202,202,0.52392423
203,203,0.52392644
204,204,0.5239286
205,205,0.523931
206,206,0.5239336
207,207,0.5239363
208,208,0.52393913
209,209,0.5239422
210,210,0.52394533
211,211,0.5239485
212,212,0.5239517
213,213,0.52395505
214,214,0.52395827
215,215,0.52396137
216,216,0.52396435
217,217,0.52396697
218,218,0.5239692
219,219,0.5239709
220,220,0.52397215
221,221,0.5239729
222,222,0.5239733
223,223,0.5239733
224,224,0.52397305
225,225,0.5239726
226,226,0.5239721
227,227,0.52397156
228,228,0.523971
229,229,0.52397066
230,230,0.5239704
231,231,0.52397037
232,232,0.5239704
233,233,0.52397054
234,234,0.5239708
235,235,0.52397096
236,236,0.52397114
237,237,0.5239712
238,238,0.52397126
239,239,0.5239713
240,240,0.5239713
241,241,0.5239713
242,242,0.5239712
243,243,0.52397114
244,244,0.52397114
245,245,0.523971
246,246,0.52397096
247,247,0.52397096
248,248,0.52397066
249,249,0.5239705
250,250,0.5239704
251,251,0.5239701
252,252,0.5239698
253,253,0.5239696
254,254,0.5239693
255,255,0.5239689
256,256,0.52396876
257,257,0.52396876
258,258,0.52396864
259,259,0.523968
260,260,0.52396756
261,261,0.52396715
262,262,0.5239671
263,263,0.52396685
264,264,0.52396667
265,265,0.5239671
266,266,0.5239679
267,267,0.5239688
268,268,0.52396965
269,269,0.52397084
270,270,0.5239722
271,271,0.52397346
272,272,0.52397454
273,273,0.5239758
274,274,0.52397734
275,275,0.52397877
276,276,0.5239804
277,277,0.5239822
278,278,0.5239843
279,279,0.5239864
280,280,0.52398866
281,281,0.5239911
282,282,0.52399355
283,283,0.52399606
284,284,0.5239986
285,285,0.524001
286,286,0.52400315
287,287,0.52400506
288,288,0.52400666
