,epochs,mu
0,0,0.3852532
1,1,0.38506126
2,2,0.38486943
3,3,0.3846777
4,4,0.38448614
5,5,0.3842948
6,6,0.3841037
7,7,0.3839129
8,8,0.3837224
9,9,0.38353226
10,10,0.38334253
11,11,0.38315326
12,12,0.38296446
13,13,0.3827762
14,14,0.38258848
15,15,0.38240138
16,16,0.38221493
17,17,0.38202915
18,18,0.38184407
19,19,0.38165975
20,20,0.38147625
21,21,0.38129357
22,22,0.38111174
23,23,0.3809308
24,24,0.3807508
25,25,0.38057175
26,26,0.3803937
27,27,0.3802167
28,28,0.38004074
29,29,0.37986588
30,30,0.37969214
31,31,0.37951955
32,32,0.37934816
33,33,0.37917808
34,34,0.37900975
35,35,0.3788496
36,36,0.3786976
37,37,0.37855175
38,38,0.37841067
39,39,0.37827352
40,40,0.37814012
41,41,0.37801033
42,42,0.37788394
43,43,0.37776095
44,44,0.37764117
45,45,0.37752444
46,46,0.37741086
47,47,0.37730065
48,48,0.3771941
49,49,0.37709144
50,50,0.3769925
51,51,0.37689745
52,52,0.37680614
53,53,0.37671843
54,54,0.37663433
55,55,0.37655392
56,56,0.37647706
57,57,0.3764037
58,58,0.37633374
59,59,0.37626722
60,60,0.37620404
61,61,0.37614414
62,62,0.37608752
63,63,0.3760341
64,64,0.37598372
65,65,0.37593624
66,66,0.37589172
67,67,0.37585008
68,68,0.37581128
69,69,0.37577507
70,70,0.37574118
71,71,0.37570935
72,72,0.37567934
73,73,0.37565112
74,74,0.37562457
75,75,0.37559956
76,76,0.37557596
77,77,0.37555364
78,78,0.37553242
79,79,0.3755122
80,80,0.37549293
81,81,0.37547457
82,82,0.37545717
83,83,0.3754407
84,84,0.3754251
85,85,0.37541035
86,86,0.3753964
87,87,0.37538314
88,88,0.3753706
89,89,0.3753587
90,90,0.3753475
91,91,0.37533695
92,92,0.375327
93,93,0.3753175
94,94,0.37530848
95,95,0.37529987
96,96,0.3752917
97,97,0.375284
98,98,0.37527668
99,99,0.37526977
100,100,0.37526327
101,101,0.37525713
102,102,0.37525132
103,103,0.3752459
104,104,0.37524086
105,105,0.3752362
106,106,0.3752319
107,107,0.37522793
108,108,0.3752242
109,109,0.3752208
110,110,0.37521768
111,111,0.37521482
112,112,0.37521228
113,113,0.37521002
114,114,0.37520802
115,115,0.37520623
116,116,0.37520468
117,117,0.3752034
118,118,0.3752024
119,119,0.37520164
120,120,0.3752011
121,121,0.37520078
122,122,0.37520063
123,123,0.37520066
124,124,0.37520087
125,125,0.37520123
126,126,0.3752017
127,127,0.3752023
128,128,0.37520295
129,129,0.37520367
130,130,0.37520447
131,131,0.37520537
132,132,0.37520626
133,133,0.37520722
134,134,0.37520823
135,135,0.37520924
136,136,0.3752103
137,137,0.3752114
138,138,0.37521255
139,139,0.3752137
140,140,0.37521487
141,141,0.37521604
142,142,0.3752172
143,143,0.37521836
144,144,0.37521955
145,145,0.37522072
146,146,0.37522185
147,147,0.37522298
148,148,0.37522408
149,149,0.37522516
150,150,0.3752262
151,151,0.37522724
152,152,0.3752283
153,153,0.3752293
154,154,0.37523028
155,155,0.37523127
156,156,0.37523222
157,157,0.37523317
158,158,0.37523413
159,159,0.37523505
160,160,0.37523594
161,161,0.37523684
162,162,0.3752377
163,163,0.37523857
164,164,0.37523937
165,165,0.37524018
166,166,0.37524095
167,167,0.37524173
168,168,0.37524244
169,169,0.37524316
170,170,0.37524387
171,171,0.3752446
172,172,0.37524536
173,173,0.37524644
174,174,0.37524924
175,175,0.37526003
176,176,0.37528005
177,177,0.37530607
178,178,0.3753322
179,179,0.37536564
180,180,0.37540784
181,181,0.37545592
182,182,0.37550688
183,183,0.37556252
184,184,0.3756251
185,185,0.37569174
186,186,0.37575883
187,187,0.37582672
188,188,0.37589732
189,189,0.37597072
190,190,0.37604508
191,191,0.37612188
192,192,0.37620142
193,193,0.37628224
194,194,0.3763638
195,195,0.3764476
196,196,0.37653416
197,197,0.3766209
198,198,0.37670857
199,199,0.37679872
200,200,0.37688926
201,201,0.37697956
202,202,0.37707075
203,203,0.37716237
204,204,0.3772529
205,205,0.37734273
206,206,0.37743235
207,207,0.3775208
208,208,0.37760726
209,209,0.37769273
210,210,0.37777722
211,211,0.3778599
212,212,0.37794104
213,213,0.37802127
214,214,0.37810013
215,215,0.37817693
216,216,0.37825218
217,217,0.37832618
218,218,0.37839818
219,219,0.37846833
220,220,0.3785372
221,221,0.3786045
222,222,0.37866977
223,223,0.37873337
224,224,0.37879527
225,225,0.3788549
226,226,0.3789123
227,227,0.37896776
228,228,0.37902114
229,229,0.37907222
230,230,0.37912127
231,231,0.37916857
232,232,0.37921402
233,233,0.3792576
234,234,0.37929952
235,235,0.37934
236,236,0.379379
237,237,0.37941644
238,238,0.3794524
239,239,0.37948707
240,240,0.37952042
241,241,0.3795523
242,242,0.37958267
243,243,0.37961155
244,244,0.3796389
