,t,gamma
0,0.0,1.8697978e-07
1,0.01,2.244115e-08
2,0.02,-1.615286e-08
3,0.03,6.935001e-08
4,0.04,2.7802588e-07
5,0.05,6.107092e-07
6,0.06,1.0662675e-06
7,0.07,1.6458035e-06
8,0.08,2.3489e-06
9,0.09,3.175497e-06
10,0.1,4.1263106e-06
11,0.11,5.2083137e-06
12,0.12,6.448239e-06
13,0.13,7.9177025e-06
14,0.14,9.78467e-06
15,0.15,1.2393296e-05
16,0.16,1.636243e-05
17,0.17,2.263555e-05
18,0.18,3.229508e-05
19,0.19,4.5954825e-05
20,0.2,6.290728e-05
21,0.21,8.115712e-05
22,0.22,9.9012854e-05
23,0.23,0.00011643103
24,0.24,0.0001341357
25,0.25,0.0001522821
26,0.26,0.00017048205
27,0.27,0.0001884049
28,0.28,0.0002060035
29,0.29,0.0002233976
30,0.3,0.00024074428
31,0.31,0.00025816046
32,0.32,0.00027571063
33,0.33,0.0002934143
34,0.34,0.00031125723
35,0.35,0.00032921304
36,0.36,0.00034724525
37,0.37,0.00036531975
38,0.38,0.000383405
39,0.39,0.0004014778
40,0.4,0.00041952118
41,0.41,0.00043752464
42,0.42,0.0004554817
43,0.43,0.00047339205
44,0.44,0.00049125816
45,0.45,0.0005090846
46,0.46,0.0005268791
47,0.47,0.0005446451
48,0.48,0.0005623922
49,0.49,0.0005801286
50,0.5,0.00059785706
51,0.51,0.0006155851
52,0.52,0.00063331716
53,0.53,0.0006510555
54,0.54,0.0006688065
55,0.55,0.0006865678
56,0.56,0.0007043451
57,0.57,0.00072213594
58,0.58,0.0007399424
59,0.59,0.0007577645
60,0.6,0.00077560154
61,0.61,0.0007934523
62,0.62,0.0008113161
63,0.63,0.00082919316
64,0.64,0.00084708096
65,0.65,0.00086497836
66,0.66,0.0008828842
67,0.67,0.0009007979
68,0.68,0.0009187172
69,0.69,0.00093663996
70,0.7,0.0009545662
71,0.71,0.0009724921
72,0.72,0.0009904131
73,0.73,0.0010083292
74,0.74,0.0010262366
75,0.75,0.0010441295
76,0.76,0.0010620055
77,0.77,0.0010798599
78,0.78,0.001097687
79,0.79,0.0011154852
80,0.8,0.001133251
81,0.81,0.001150987
82,0.82,0.0011686917
83,0.83,0.0011863733
84,0.84,0.0012040443
85,0.85,0.0012217191
86,0.86,0.0012394224
87,0.87,0.0012571798
88,0.88,0.0012750224
89,0.89,0.0012929841
90,0.9,0.0013110915
