,t,gamma
0,0.0,-2.4521353e-07
1,0.01,5.397201e-07
2,0.02,1.2615919e-06
3,0.03,1.9170345e-06
4,0.04,2.5054217e-06
5,0.05,3.0272604e-06
6,0.06,3.4852328e-06
7,0.07,3.8839285e-06
8,0.08,4.2299034e-06
9,0.09,4.5313836e-06
10,0.1,4.799247e-06
11,0.11,5.0435665e-06
12,0.12,5.274922e-06
13,0.13,5.5010323e-06
14,0.14,5.7249968e-06
15,0.15,5.942315e-06
16,0.16,6.138027e-06
17,0.17,6.2839986e-06
18,0.18,6.3366e-06
19,0.19,6.2475206e-06
20,0.2,5.9856775e-06
21,0.21,5.587727e-06
22,0.22,5.265117e-06
23,0.23,5.5668656e-06
24,0.24,7.560671e-06
25,0.25,1.283741e-05
26,0.26,2.2937984e-05
27,0.27,3.8059356e-05
28,0.28,5.614394e-05
29,0.29,7.430044e-05
30,0.3,9.1474445e-05
31,0.31,0.00010856504
32,0.32,0.00012634025
33,0.33,0.00014461578
34,0.34,0.000162867
35,0.35,0.00018079129
36,0.36,0.00019836525
37,0.37,0.00021570304
38,0.38,0.00023294648
39,0.39,0.00025020196
40,0.4,0.00026753923
41,0.41,0.00028498645
42,0.42,0.00030254925
43,0.43,0.00032022232
44,0.44,0.0003379848
45,0.45,0.00035581953
46,0.46,0.000373709
47,0.47,0.00039163293
48,0.48,0.00040957882
49,0.49,0.00042753472
50,0.5,0.0004454934
51,0.51,0.00046344646
52,0.52,0.00048139074
53,0.53,0.00049932464
54,0.54,0.0005172459
55,0.55,0.00053515367
56,0.56,0.0005530489
57,0.57,0.00057092955
58,0.58,0.0005887988
59,0.59,0.0006066548
60,0.6,0.00062449626
61,0.61,0.0006423271
62,0.62,0.00066014414
63,0.63,0.0006779488
64,0.64,0.00069573947
65,0.65,0.00071351713
66,0.66,0.0007312799
67,0.67,0.0007490286
68,0.68,0.0007667611
69,0.69,0.00078447885
70,0.7,0.0008021807
71,0.71,0.00081986707
72,0.72,0.0008375369
73,0.73,0.00085519254
74,0.74,0.0008728334
75,0.75,0.00089046115
76,0.76,0.0009080765
77,0.77,0.0009256831
78,0.78,0.00094328227
79,0.79,0.00096087914
80,0.8,0.0009784787
81,0.81,0.0009960879
82,0.82,0.0010137155
83,0.83,0.0010313719
84,0.84,0.0010490731
85,0.85,0.001066834
86,0.86,0.0010846754
87,0.87,0.0011026149
88,0.88,0.0011206749
89,0.89,0.0011388693
90,0.9,0.0011572092
91,0.91,0.0011756858
92,0.92,0.0011942697
93,0.93,0.0012128964
94,0.94,0.0012314637
95,0.95,0.0012498134
96,0.96,0.0012677263
97,0.97,0.0012849267
98,0.98,0.0013010725
99,0.99,0.0013157729
100,1.0,0.0013285994
101,1.0,0.0013285994
102,1.02,0.0013468132
103,1.04,0.0013526089
104,1.06,0.0013493609
105,1.08,0.0013540647
106,1.1,0.0013580839
107,1.12,0.0013553328
108,1.14,0.0013561208
109,1.16,0.0013575954
110,1.18,0.001357644
111,1.2,0.0013564555
112,1.22,0.0013546059
113,1.24,0.0013525231
114,1.26,0.0013504686
115,1.28,0.0013485906
116,1.3,0.0013469731
117,1.32,0.0013456597
118,1.34,0.0013446648
119,1.36,0.001343993
120,1.38,0.0013436343
121,1.4,0.0013435731
122,1.42,0.0013437832
123,1.44,0.0013442296
124,1.46,0.0013448622
125,1.48,0.0013456086
126,1.5,0.0013463674
127,1.52,0.0013469884
128,1.54,0.0013472657
129,1.56,0.0013469335
130,1.58,0.001345718
131,1.6,0.0013435315
132,1.62,0.0013409858
133,1.64,0.0013403217
134,1.66,0.0013461169
135,1.68,0.0013635135
136,1.7,0.0013929898
137,1.72,0.0014285162
138,1.74,0.0014643689
139,1.76,0.0014995077
140,1.78,0.0015346438
141,1.8,0.0015699894
142,1.82,0.0016054078
143,1.84,0.0016407717
144,1.86,0.0016760309
145,1.88,0.0017111885
146,1.9,0.0017462783
147,1.92,0.0017813436
148,1.94,0.0018164282
149,1.96,0.0018515643
150,1.98,0.0018867747
151,2.0,0.001922064
152,2.02,0.0019574303
153,2.04,0.0019928648
154,2.06,0.002028356
155,2.08,0.002063895
156,2.1,0.0020994747
157,2.12,0.0021350922
158,2.14,0.002170746
159,2.16,0.0022064322
160,2.18,0.0022421512
161,2.2,0.0022778984
162,2.22,0.0023136698
163,2.24,0.002349455
164,2.26,0.0023852468
165,2.28,0.0024210336
166,2.3,0.0024568045
167,2.32,0.0024925515
168,2.34,0.0025282665
169,2.36,0.002563944
170,2.38,0.0025995837
171,2.4,0.0026351868
172,2.42,0.002670756
173,2.44,0.0027063014
174,2.46,0.0027418335
175,2.48,0.0027773625
176,2.5,0.002812905
177,2.52,0.002848475
178,2.54,0.0028840872
179,2.56,0.002919756
180,2.58,0.0029554935
181,2.6,0.0029913108
182,2.62,0.0030272123
183,2.64,0.0030631972
184,2.66,0.00309926
185,2.68,0.0031353857
186,2.7,0.0031715485
187,2.72,0.0032077162
188,2.74,0.003243847
189,2.76,0.0032799025
190,2.78,0.0033158548
191,2.8,0.0033517042
192,2.82,0.0033874915
193,2.84,0.0034233038
194,2.86,0.0034592536
195,2.88,0.003495426
196,2.9,0.003531787
197,2.92,0.0035681312
198,2.94,0.003604133
199,2.96,0.0036398084
200,2.98,0.0036761905
201,3.0,0.0037064224
202,3.0,0.0037064224
203,3.02,0.0037095614
204,3.04,0.0037108003
205,3.06,0.0037100664
206,3.08,0.0037092534
207,3.1,0.00370868
208,3.12,0.0037084
209,3.14,0.0037083542
210,3.16,0.0037083693
211,3.18,0.003708296
212,3.2,0.0037080548
213,3.22,0.0037076303
214,3.24,0.0037070434
215,3.26,0.0037063323
216,3.28,0.0037055423
217,3.3,0.0037047146
218,3.32,0.0037038834
219,3.34,0.0037030757
220,3.36,0.0037023136
221,3.38,0.0037016098
222,3.4,0.0037009723
223,3.42,0.003700405
224,3.44,0.003699907
225,3.46,0.003699475
226,3.48,0.0036991036
227,3.5,0.003698786
228,3.52,0.003698515
229,3.54,0.0036982843
230,3.56,0.0036980873
231,3.58,0.0036979176
232,3.6,0.0036977709
233,3.62,0.0036976421
234,3.64,0.003697523
235,3.66,0.003697405
236,3.68,0.003697274
237,3.7,0.0036971066
238,3.72,0.0036968733
239,3.74,0.0036965334
240,3.76,0.0036960412
241,3.78,0.0036953494
242,3.8,0.0036944335
243,3.82,0.0036933129
244,3.84,0.0036921017
245,3.86,0.0036910807
246,3.88,0.0036907876
247,3.9,0.0036921336
248,3.92,0.0036965176
249,3.94,0.003705844
250,3.96,0.003722265
251,3.98,0.0037472574
252,4.0,0.0037799145
253,4.02,0.0038160188
254,4.04,0.0038512952
255,4.06,0.003885996
256,4.08,0.0039217197
257,4.1,0.003957495
258,4.12,0.0039924947
259,4.14,0.0040273
260,4.16,0.004062541
261,4.18,0.004098272
262,4.2,0.004134233
263,4.22,0.004170154
264,4.24,0.0042058844
265,4.26,0.0042413883
266,4.28,0.0042767073
267,4.3,0.0043119215
268,4.32,0.004347116
269,4.34,0.0043823654
270,4.36,0.0044177175
271,4.38,0.0044531994
272,4.4,0.0044888128
273,4.42,0.004524543
274,4.44,0.00456036
275,4.46,0.004596232
276,4.48,0.0046321247
277,4.5,0.0046680095
278,4.52,0.0047038663
279,4.54,0.0047396873
280,4.56,0.0047754743
281,4.58,0.0048112418
282,4.6,0.004847009
283,4.62,0.004882801
284,4.64,0.004918639
285,4.66,0.0049545397
286,4.68,0.004990503
287,4.7,0.005026521
288,4.72,0.005062563
289,4.74,0.0050985888
290,4.76,0.0051345592
291,4.78,0.005170444
292,4.8,0.005206245
293,4.82,0.00524201
294,4.84,0.0052778283
295,4.86,0.0053138183
296,4.88,0.005350062
297,4.9,0.0053865346
298,4.92,0.005423051
299,4.94,0.005459349
300,4.96,0.0054954025
301,4.98,0.005531689
302,5.0,0.0055618645
303,5.0,0.0055618645
304,5.02,0.0055664843
305,5.04,0.005564279
306,5.06,0.0055649183
307,5.08,0.005564782
308,5.1,0.0055639474
309,5.12,0.0055633076
310,5.14,0.005562971
311,5.16,0.0055627916
312,5.18,0.005562626
313,5.2,0.0055623893
314,5.22,0.0055620507
315,5.24,0.005561605
316,5.26,0.005561068
317,5.28,0.00556046
318,5.3,0.0055598016
319,5.32,0.005559109
320,5.34,0.0055584023
321,5.36,0.005557693
322,5.38,0.00555699
323,5.4,0.0055563007
324,5.42,0.0055556335
325,5.44,0.005554988
326,5.46,0.0055543715
327,5.48,0.0055537825
328,5.5,0.005553223
329,5.52,0.005552697
330,5.54,0.0055522034
331,5.56,0.0055517415
332,5.58,0.0055513144
333,5.6,0.0055509214
334,5.62,0.005550564
335,5.64,0.005550241
336,5.66,0.0055499543
337,5.68,0.005549704
338,5.7,0.0055494905
339,5.72,0.005549312
340,5.74,0.0055491664
341,5.76,0.005549051
342,5.78,0.0055489624
343,5.8,0.005548893
344,5.82,0.0055488315
345,5.84,0.0055487677
346,5.86,0.005548682
347,5.88,0.005548555
348,5.9,0.00554836
349,5.92,0.005548069
350,5.94,0.0055476506
351,5.96,0.005547079
352,5.98,0.005546335
353,6.0,0.005545418
354,6.02,0.005544358
355,6.04,0.005543232
356,6.06,0.0055421893
357,6.08,0.005541478
358,6.1,0.005541503
359,6.12,0.0055428627
360,6.14,0.005546191
361,6.16,0.005551326
362,6.18,0.0055582672
363,6.2,0.005576159
364,6.22,0.0056095216
365,6.24,0.0056442623
366,6.26,0.005678525
367,6.28,0.0057140957
368,6.3,0.005750346
369,6.32,0.005786452
