,t,gamma
0,0.0,4.7363343e-07
1,0.01,7.947535e-07
2,0.02,1.1309833e-06
3,0.03,1.4769882e-06
4,0.04,1.8283279e-06
5,0.05,2.1797568e-06
6,0.06,2.5262684e-06
7,0.07,2.863303e-06
8,0.08,3.1842442e-06
9,0.09,3.4854265e-06
10,0.1,3.7618431e-06
11,0.11,4.008815e-06
12,0.12,4.2226166e-06
13,0.13,4.401401e-06
14,0.14,4.5410548e-06
15,0.15,4.6429486e-06
16,0.16,4.7057424e-06
17,0.17,4.7313424e-06
18,0.18,4.7229382e-06
19,0.19,4.686877e-06
20,0.2,4.6300743e-06
21,0.21,4.5619163e-06
22,0.22,4.4950993e-06
23,0.23,4.4447333e-06
24,0.24,4.427478e-06
25,0.25,4.464969e-06
26,0.26,4.57944e-06
27,0.27,4.7962817e-06
28,0.28,5.139545e-06
29,0.29,5.633906e-06
30,0.3,6.30118e-06
31,0.31,7.1536456e-06
32,0.32,8.191481e-06
33,0.33,9.395198e-06
34,0.34,1.0716931e-05
35,0.35,1.2074129e-05
36,0.36,1.3349668e-05
37,0.37,1.4411763e-05
38,0.38,1.51841205e-05
39,0.39,1.5788391e-05
40,0.4,1.6741917e-05
41,0.41,1.8999652e-05
42,0.42,2.3285882e-05
43,0.43,2.8642253e-05
44,0.44,3.2484964e-05
45,0.45,3.4393863e-05
46,0.46,3.8038746e-05
47,0.47,4.6784e-05
48,0.48,6.04101e-05
49,0.49,7.6785254e-05
50,0.5,9.412577e-05
51,0.51,0.00011157255
52,0.52,0.00012887572
53,0.53,0.00014604327
54,0.54,0.00016314657
55,0.55,0.00018024178
56,0.56,0.0001973652
57,0.57,0.00021452626
58,0.58,0.00023172435
59,0.59,0.0002489512
60,0.6,0.00026619353
61,0.61,0.0002834418
62,0.62,0.0003006865
63,0.63,0.0003179229
64,0.64,0.00033514592
65,0.65,0.00035235658
66,0.66,0.00036955328
67,0.67,0.0003867391
68,0.68,0.0004039162
69,0.69,0.00042108656
70,0.7,0.00043825508
71,0.71,0.00045542218
72,0.72,0.00047259236
73,0.73,0.0004897665
74,0.74,0.0005069462
75,0.75,0.00052413193
76,0.76,0.0005413243
77,0.77,0.00055852294
78,0.78,0.00057572615
79,0.79,0.0005929347
80,0.8,0.0006101449
81,0.81,0.0006273564
82,0.82,0.0006445676
83,0.83,0.00066177855
84,0.84,0.0006789892
85,0.85,0.0006962021
86,0.86,0.00071341824
87,0.87,0.0007306428
88,0.88,0.00074788596
89,0.89,0.00076515414
90,0.9,0.00078246027
91,0.91,0.00079981046
92,0.92,0.00081721117
93,0.93,0.0008346651
94,0.94,0.00085217506
95,0.95,0.0008697541
96,0.96,0.0008874399
97,0.97,0.00090528367
98,0.98,0.00092318887
99,0.99,0.00094022305
100,1.0,0.0009531044
101,1.0,0.0009531044
102,1.02,0.00095381594
103,1.04,0.0009554367
104,1.06,0.00095534255
105,1.08,0.00095464103
106,1.1,0.00095456594
107,1.12,0.0009553919
108,1.14,0.0009565144
109,1.16,0.000957419
110,1.18,0.00095790194
111,1.2,0.00095798017
112,1.22,0.00095777196
113,1.24,0.0009574099
114,1.26,0.00095700665
115,1.28,0.000956645
116,1.3,0.0009563688
117,1.32,0.000956199
118,1.34,0.00095613743
119,1.36,0.00095617055
120,1.38,0.00095627893
121,1.4,0.00095643883
122,1.42,0.00095662527
123,1.44,0.000956816
124,1.46,0.00095698854
125,1.48,0.0009571256
126,1.5,0.0009572118
127,1.52,0.00095723826
128,1.54,0.0009571974
129,1.56,0.00095708657
130,1.58,0.0009569066
131,1.6,0.0009566617
132,1.62,0.00095635967
133,1.64,0.00095600757
134,1.66,0.0009556184
135,1.68,0.000955201
136,1.7,0.0009547684
137,1.72,0.00095432956
138,1.74,0.0009538944
139,1.76,0.0009534695
140,1.78,0.00095306104
141,1.8,0.00095267297
142,1.82,0.00095231464
143,1.84,0.0009519959
144,1.86,0.00095173984
145,1.88,0.00095158076
146,1.9,0.0009515567
147,1.92,0.00095169485
148,1.94,0.0009519502
149,1.96,0.00095212914
150,1.98,0.0009519046
151,2.0,0.0009515417
152,2.02,0.00095419143
153,2.04,0.0009632865
154,2.06,0.0009701708
155,2.08,0.0009782357
156,2.1,0.0010004079
157,2.12,0.0010319552
158,2.14,0.001066232
159,2.16,0.0011007881
160,2.18,0.00113512
161,2.2,0.001169255
162,2.22,0.0012033095
163,2.24,0.0012373789
164,2.26,0.0012715213
165,2.28,0.0013057645
166,2.3,0.0013401117
167,2.32,0.0013745565
168,2.34,0.0014090814
169,2.36,0.0014436698
170,2.38,0.0014783042
171,2.4,0.0015129684
172,2.42,0.0015476486
173,2.44,0.0015823349
174,2.46,0.0016170215
175,2.48,0.0016517049
176,2.5,0.0016863863
177,2.52,0.0017210685
178,2.54,0.0017557571
179,2.56,0.00179046
180,2.58,0.0018251853
181,2.6,0.0018599431
182,2.62,0.0018947382
183,2.64,0.001929579
184,2.66,0.0019644648
185,2.68,0.001999393
186,2.7,0.0020343533
187,2.72,0.002069327
188,2.74,0.0021042898
189,2.76,0.002139213
190,2.78,0.0021740743
191,2.8,0.002208865
192,2.82,0.0022436066
193,2.84,0.0022783563
194,2.86,0.0023132015
195,2.88,0.0023482263
196,2.9,0.0023834438
197,2.92,0.0024187348
198,2.94,0.0024538361
199,2.96,0.0024886592
200,2.98,0.0025238858
201,3.0,0.002553202
202,3.0,0.002553202
203,3.02,0.0025560681
204,3.04,0.0025585515
205,3.06,0.0025594868
206,3.08,0.0025589368
207,3.1,0.0025584293
208,3.12,0.0025584982
209,3.14,0.002559013
210,3.16,0.0025596544
211,3.18,0.0025601804
212,3.2,0.002560477
213,3.22,0.0025605187
214,3.24,0.0025603322
215,3.26,0.0025599692
216,3.28,0.0025594851
217,3.3,0.00255893
218,3.32,0.0025583524
219,3.34,0.002557789
220,3.36,0.0025572695
221,3.38,0.002556817
222,3.4,0.0025564476
223,3.42,0.0025561736
224,3.44,0.0025559978
225,3.46,0.002555922
226,3.48,0.0025559417
227,3.5,0.0025560465
228,3.52,0.002556225
229,3.54,0.0025564593
230,3.56,0.0025567296
231,3.58,0.0025570136
232,3.6,0.0025572863
233,3.62,0.0025575238
234,3.64,0.0025577005
235,3.66,0.0025577974
236,3.68,0.0025577936
237,3.7,0.0025576786
238,3.72,0.002557446
239,3.74,0.0025570984
240,3.76,0.0025566474
241,3.78,0.0025561168
242,3.8,0.002555537
243,3.82,0.0025549505
244,3.84,0.0025544043
245,3.86,0.0025539503
246,3.88,0.0025536395
247,3.9,0.0025535189
248,3.92,0.0025536213
249,3.94,0.0025539612
250,3.96,0.0025545233
251,3.98,0.0025552574
252,4.0,0.0025560767
253,4.02,0.0025568549
254,4.04,0.00255744
255,4.06,0.0025576835
256,4.08,0.0025574828
257,4.1,0.0025568448
258,4.12,0.0025559522
259,4.14,0.0025552127
260,4.16,0.00255525
261,4.18,0.0025567529
262,4.2,0.0025599855
263,4.22,0.002563765
264,4.24,0.0025651609
265,4.26,0.0025639716
266,4.28,0.00256524
267,4.3,0.0025704238
268,4.32,0.0025799153
269,4.34,0.0025965911
270,4.36,0.0026209287
271,4.38,0.0026508009
272,4.4,0.0026837909
273,4.42,0.002718228
274,4.44,0.002753195
275,4.46,0.0027882617
276,4.48,0.0028232622
277,4.5,0.0028581517
278,4.52,0.002892934
279,4.54,0.002927624
280,4.56,0.0029622335
281,4.58,0.0029967667
282,4.6,0.0030312187
283,4.62,0.0030655854
284,4.64,0.0030998643
285,4.66,0.0031340634
286,4.68,0.0031682004
287,4.7,0.0032023084
288,4.72,0.0032364374
289,4.74,0.003270652
290,4.76,0.0033050277
291,4.78,0.003339647
292,4.8,0.0033745915
293,4.82,0.0034099293
294,4.84,0.0034457017
295,4.86,0.0034819006
296,4.88,0.0035184333
297,4.9,0.0035550867
298,4.92,0.0035914646
299,4.94,0.0036269056
300,4.96,0.0036603948
301,4.98,0.003690487
302,5.0,0.0037153403
303,5.0,0.0037153403
304,5.02,0.0037330452
305,5.04,0.0037423808
306,5.06,0.0037438695
307,5.08,0.0037416536
308,5.1,0.0037444723
309,5.12,0.0037395933
310,5.14,0.0037415212
311,5.16,0.0037419947
312,5.18,0.0037408269
313,5.2,0.003740064
314,5.22,0.0037398946
315,5.24,0.0037399724
316,5.26,0.0037400175
317,5.28,0.0037398941
318,5.3,0.0037395747
319,5.32,0.0037390797
320,5.34,0.0037384538
321,5.36,0.0037377444
322,5.38,0.0037369952
323,5.4,0.0037362364
324,5.42,0.003735495
325,5.44,0.0037347877
326,5.46,0.0037341265
327,5.48,0.0037335155
328,5.5,0.00373296
329,5.52,0.0037324582
330,5.54,0.0037320105
331,5.56,0.003731612
332,5.58,0.0037312612
333,5.6,0.0037309537
334,5.62,0.003730686
335,5.64,0.003730453
336,5.66,0.0037302529
337,5.68,0.0037300806
338,5.7,0.0037299327
339,5.72,0.0037298063
340,5.74,0.0037296978
341,5.76,0.003729605
342,5.78,0.0037295246
343,5.8,0.0037294535
344,5.82,0.0037293902
345,5.84,0.0037293315
346,5.86,0.0037292761
347,5.88,0.0037292193
348,5.9,0.0037291609
349,5.92,0.0037290966
350,5.94,0.003729025
351,5.96,0.00372894
352,5.98,0.0037288396
353,6.0,0.0037287164
354,6.02,0.0037285672
355,6.04,0.0037283814
356,6.06,0.0037281513
357,6.08,0.0037278652
358,6.1,0.0037275113
359,6.12,0.0037270766
360,6.14,0.0037265453
361,6.16,0.0037259057
362,6.18,0.0037251469
363,6.2,0.0037242677
364,6.22,0.0037232751
365,6.24,0.0037221992
366,6.26,0.0037210947
367,6.28,0.003720053
368,6.3,0.00371921
369,6.32,0.00371874
370,6.34,0.0037188544
371,6.36,0.003719751
372,6.38,0.0037215094
373,6.4,0.0037237813
374,6.42,0.003725135
375,6.44,0.0037238637
376,6.46,0.00372462
377,6.48,0.0037277546
378,6.5,0.003725423
379,6.52,0.00373206
380,6.54,0.0037529005
381,6.56,0.003782541
382,6.58,0.0038159885
383,6.6,0.0038506105
384,6.62,0.0038852936
385,6.64,0.003919677
386,6.66,0.003953724
387,6.68,0.0039875275
388,6.7,0.00402121
389,6.72,0.004054894
390,6.74,0.004088664
391,6.76,0.0041225827
392,6.78,0.0041566747
393,6.8,0.004190948
394,6.82,0.0042253807
395,6.84,0.0042599426
396,6.86,0.00429459
397,6.88,0.004329275
398,6.9,0.0043639373
399,6.92,0.0043985294
400,6.94,0.004433
401,6.96,0.004467301
402,6.98,0.004501392
403,7.0,0.004535237
