,epochs,SY0
0,0,1.1191068
1,1,1.1185386
2,2,1.1179763
3,3,1.1174204
4,4,1.1168714
5,5,1.1163288
6,6,1.1157925
7,7,1.1152624
8,8,1.1147386
9,9,1.1142212
10,10,1.1137103
11,11,1.113206
12,12,1.1127089
13,13,1.1122192
14,14,1.1117374
15,15,1.1112639
16,16,1.1107986
17,17,1.110342
18,18,1.1098943
19,19,1.1094558
20,20,1.1090267
21,21,1.1086066
22,22,1.1081957
23,23,1.1077937
24,24,1.1074004
25,25,1.1070156
26,26,1.106639
27,27,1.1062704
28,28,1.10591
29,29,1.105557
30,30,1.1052116
31,31,1.1048734
32,32,1.104542
33,33,1.1042174
34,34,1.1038992
35,35,1.1035872
36,36,1.103281
37,37,1.1029807
38,38,1.102686
39,39,1.1023967
40,40,1.1021125
41,41,1.1018335
42,42,1.1015589
43,43,1.101289
44,44,1.1010234
45,45,1.1007621
46,46,1.100505
47,47,1.1002518
48,48,1.1000025
49,49,1.0997568
50,50,1.0995147
51,51,1.0992761
52,52,1.0990407
53,53,1.0988086
54,54,1.0985798
55,55,1.098354
56,56,1.0981312
57,57,1.0979114
58,58,1.0976944
59,59,1.0974802
60,60,1.0972687
61,61,1.0970598
62,62,1.0968536
63,63,1.0966499
64,64,1.0964485
65,65,1.0962496
66,66,1.096053
67,67,1.0958586
68,68,1.0956664
69,69,1.0954763
70,70,1.0952883
71,71,1.0951022
72,72,1.0949183
73,73,1.0947361
74,74,1.0945559
75,75,1.0943775
76,76,1.0942008
77,77,1.0940261
78,78,1.093853
79,79,1.0936816
80,80,1.0935118
81,81,1.0933437
82,82,1.0931772
83,83,1.0930122
84,84,1.0928489
85,85,1.0926869
86,86,1.0925266
87,87,1.0923675
88,88,1.09221
89,89,1.092054
90,90,1.0918993
91,91,1.091746
92,92,1.0915939
93,93,1.0914433
94,94,1.0912939
95,95,1.0911459
96,96,1.0909991
97,97,1.0908537
98,98,1.0907094
99,99,1.0905665
100,100,1.0904247
101,101,1.0902841
102,102,1.0901446
103,103,1.0900064
104,104,1.0898691
105,105,1.089733
106,106,1.0895981
107,107,1.0894642
108,108,1.0893314
109,109,1.0891997
110,110,1.0890689
111,111,1.0889392
112,112,1.0888106
113,113,1.0886829
114,114,1.0885562
115,115,1.0884305
116,116,1.0883057
117,117,1.0881819
118,118,1.0880591
119,119,1.0879371
120,120,1.087816
121,121,1.087696
122,122,1.0875766
123,123,1.0874584
124,124,1.0873408
125,125,1.0872242
126,126,1.0871085
127,127,1.0869936
128,128,1.0868794
129,129,1.0867661
130,130,1.0866536
131,131,1.0865419
132,132,1.086431
133,133,1.086321
134,134,1.0862116
135,135,1.086103
136,136,1.0859952
137,137,1.085888
138,138,1.0857817
139,139,1.0856761
140,140,1.0855712
141,141,1.085467
142,142,1.0853634
143,143,1.0852605
144,144,1.0851583
145,145,1.0850569
146,146,1.084956
147,147,1.0848558
148,148,1.0847563
149,149,1.0846573
150,150,1.0845591
