,epochs,SY0
319,319,0.41972733
320,320,0.41972
321,321,0.41971043
322,322,0.4196996
323,323,0.4196901
324,324,0.4196829
325,325,0.41967714
326,326,0.41967082
327,327,0.41966173
328,328,0.41965055
329,329,0.4196395
330,330,0.41963002
331,331,0.41962212
332,332,0.41961437
333,333,0.41960537
334,334,0.4195952
335,335,0.41958505
336,336,0.41957614
337,337,0.41956845
338,338,0.41956106
339,339,0.41955292
340,340,0.4195439
341,341,0.41953498
342,342,0.419527
343,343,0.41951996
344,344,0.4195131
345,345,0.41950548
346,346,0.41949698
347,347,0.4194883
348,348,0.4194803
349,349,0.41947308
350,350,0.4194661
351,351,0.4194588
352,352,0.41945118
353,353,0.4194437
354,354,0.4194368
355,355,0.41943043
356,356,0.41942403
357,357,0.41941705
358,358,0.4194096
359,359,0.41940218
360,360,0.41939518
361,361,0.41938856
362,362,0.41938198
363,363,0.41937515
364,364,0.4193682
365,365,0.41936144
366,366,0.41935503
367,367,0.41934887
368,368,0.4193426
369,369,0.4193361
370,370,0.4193295
371,371,0.41932303
372,372,0.41931686
373,373,0.41931084
374,374,0.4193047
375,375,0.41929835
376,376,0.419292
377,377,0.4192858
378,378,0.41927975
379,379,0.41927373
380,380,0.41926762
381,381,0.4192614
382,382,0.4192552
383,383,0.41924915
384,384,0.41924316
385,385,0.41923714
386,386,0.41923097
387,387,0.4192247
388,388,0.41921845
389,389,0.41921228
390,390,0.41920617
391,391,0.4192
392,392,0.41919377
393,393,0.41918755
394,394,0.4191814
395,395,0.41917536
396,396,0.41916928
397,397,0.41916317
398,398,0.419157
399,399,0.41915083
400,400,0.41914472
401,401,0.41913864
402,402,0.4191326
403,403,0.4191265
404,404,0.41912043
405,405,0.4191144
406,406,0.41910845
407,407,0.41910255
408,408,0.41909662
409,409,0.4190907
410,410,0.4190848
411,411,0.41907895
412,412,0.41907316
413,413,0.41906738
414,414,0.41906163
415,415,0.41905588
416,416,0.41905016
417,417,0.4190445
418,418,0.4190389
419,419,0.41903326
420,420,0.41902763
421,421,0.41902205
422,422,0.4190165
423,423,0.419011
424,424,0.41900548
425,425,0.419
426,426,0.41899452
427,427,0.41898906
428,428,0.4189836
429,429,0.4189782
430,430,0.4189728
431,431,0.4189674
432,432,0.418962
433,433,0.41895667
434,434,0.41895133
435,435,0.418946
436,436,0.4189407
437,437,0.4189354
438,438,0.4189301
439,439,0.41892487
440,440,0.4189196
441,441,0.41891435
442,442,0.41890913
443,443,0.4189039
444,444,0.4188987
445,445,0.4188935
446,446,0.4188883
447,447,0.41888314
448,448,0.418878
449,449,0.41887283
450,450,0.4188677
451,451,0.41886258
452,452,0.41885746
453,453,0.41885236
454,454,0.41884726
455,455,0.4188422
456,456,0.41883713
457,457,0.41883206
458,458,0.41882703
459,459,0.41882196
460,460,0.41881695
461,461,0.41881195
462,462,0.4188069
463,463,0.41880193
464,464,0.41879693
465,465,0.41879195
466,466,0.418787
467,467,0.41878203
468,468,0.41877708
469,469,0.41877216
470,470,0.4187672
471,471,0.4187623
472,472,0.41875738
473,473,0.41875246
474,474,0.41874757
475,475,0.4187427
476,476,0.41873783
477,477,0.41873297
478,478,0.4187281
479,479,0.41872326
480,480,0.4187184
481,481,0.41871357
482,482,0.41870874
483,483,0.4187039
484,484,0.41869912
485,485,0.41869432
486,486,0.41868952
487,487,0.41868475
488,488,0.41867995
489,489,0.41867518
490,490,0.4186704
491,491,0.41866562
492,492,0.41866085
493,493,0.41865605
494,494,0.4186513
495,495,0.4186465
496,496,0.41864178
497,497,0.41863698
498,498,0.41863224
499,499,0.41862744
500,500,0.4186227
501,501,0.4186179
502,502,0.41861323
503,503,0.41860837
504,504,0.41860375
505,505,0.41859883
506,506,0.4185944
507,507,0.41858938
508,508,0.4185851
509,509,0.41858009
