,epochs,mu
0,0,0.5419477
1,1,0.5416793
2,2,0.5414134
3,3,0.54115075
4,4,0.54089075
5,5,0.54063344
6,6,0.54037833
7,7,0.54012644
8,8,0.5398795
9,9,0.53963894
10,10,0.5394065
11,11,0.5391841
12,12,0.53897554
13,13,0.5387844
14,14,0.53861207
15,15,0.53845906
16,16,0.5383257
17,17,0.5382124
18,18,0.53811985
19,19,0.53804857
20,20,0.5379987
21,21,0.53797007
22,22,0.53796214
23,23,0.5379742
24,24,0.53800493
25,25,0.5380529
26,26,0.5381163
27,27,0.53819305
28,28,0.538281
29,29,0.538378
30,30,0.5384821
31,31,0.5385915
32,32,0.5387049
33,33,0.5388212
34,34,0.5389399
35,35,0.53906065
36,36,0.5391833
37,37,0.53930795
38,38,0.5394345
39,39,0.53956276
40,40,0.53969216
41,41,0.5398234
42,42,0.539956
43,43,0.54008925
44,44,0.5402222
45,45,0.54035383
46,46,0.5404828
47,47,0.5406078
48,48,0.5407276
49,49,0.54084086
50,50,0.54094666
51,51,0.5410443
52,52,0.54113346
53,53,0.5412146
54,54,0.5412883
55,55,0.5413556
56,56,0.5414175
57,57,0.5414748
58,58,0.5415279
59,59,0.5415768
60,60,0.54162127
61,61,0.54166085
62,62,0.54169506
63,63,0.54172313
64,64,0.5417445
65,65,0.5417589
66,66,0.5417664
67,67,0.5417672
68,68,0.54176176
69,69,0.5417511
70,70,0.5417362
71,71,0.5417184
72,72,0.54169893
73,73,0.5416786
74,74,0.54165816
75,75,0.54163766
76,76,0.54161704
77,77,0.541596
78,78,0.5415741
79,79,0.541551
80,80,0.5415265
81,81,0.5415008
82,82,0.54147434
83,83,0.54144776
84,84,0.54142165
85,85,0.54139656
86,86,0.5413731
87,87,0.5413515
88,88,0.54133207
89,89,0.5413148
90,90,0.5412994
91,91,0.5412854
92,92,0.54127234
93,93,0.5412602
94,94,0.5412487
95,95,0.5412379
96,96,0.5412282
97,97,0.54121953
98,98,0.541212
99,99,0.54120564
100,100,0.5412003
101,101,0.5411958
102,102,0.54119194
103,103,0.54118866
104,104,0.54118574
105,105,0.54118323
106,106,0.54118127
107,107,0.54117966
108,108,0.5411784
109,109,0.5411776
110,110,0.541177
111,111,0.5411765
112,112,0.5411761
113,113,0.54117584
114,114,0.5411757
115,115,0.5411759
116,116,0.5411764
117,117,0.54117715
118,118,0.5411782
119,119,0.5411795
120,120,0.541181
121,121,0.54118264
122,122,0.5411845
123,123,0.5411863
124,124,0.5411881
125,125,0.5411901
126,126,0.541192
127,127,0.541194
128,128,0.5411955
129,129,0.54119724
130,130,0.5411984
131,131,0.54119885
132,132,0.5411993
133,133,0.5411994
134,134,0.5411983
135,135,0.54119813
136,136,0.54119885
137,137,0.5411989
138,138,0.5411959
139,139,0.5411917
140,140,0.54118735
141,141,0.5411834
142,142,0.5411793
143,143,0.54117674
144,144,0.5411756
145,145,0.5411745
146,146,0.54117113
147,147,0.54116726
148,148,0.5411637
149,149,0.54116
150,150,0.5411554
151,151,0.54115
152,152,0.5411454
153,153,0.54114205
154,154,0.5411392
155,155,0.5411353
156,156,0.54113036
157,157,0.54112625
158,158,0.5411236
159,159,0.541122
160,160,0.5411199
161,161,0.5411175
162,162,0.54111606
163,163,0.54111564
164,164,0.5411151
165,165,0.5411142
166,166,0.54111415
167,167,0.5411148
168,168,0.54111487
169,169,0.54111505
170,170,0.5411155
171,171,0.54111534
172,172,0.54111475
173,173,0.5411142
174,174,0.54111314
175,175,0.5411115
176,176,0.5411101
177,177,0.54110825
178,178,0.5411063
179,179,0.54110444
180,180,0.5411021
181,181,0.5411003
182,182,0.5410981
183,183,0.54109585
184,184,0.5410939
185,185,0.541091
186,186,0.541089
187,187,0.5410871
188,188,0.54108316
189,189,0.5410815
190,190,0.5410822
191,191,0.54108405
192,192,0.5410851
193,193,0.54108244
194,194,0.5410742
195,195,0.54106104
196,196,0.54104507
197,197,0.5410286
198,198,0.5410141
199,199,0.5410033
200,200,0.54099673
201,201,0.54099345
202,202,0.5409907
203,203,0.54098505
204,204,0.54097563
205,205,0.54096526
206,206,0.54095703
207,207,0.54095256
208,208,0.5409522
209,209,0.5409554
210,210,0.5409611
211,211,0.540968
212,212,0.54097563
213,213,0.5409838
214,214,0.5409922
215,215,0.54100037
216,216,0.5410084
217,217,0.54101694
218,218,0.5410256
219,219,0.5410335
220,220,0.5410402
221,221,0.54104525
222,222,0.5410481
223,223,0.54104865
224,224,0.54104763
225,225,0.5410446
226,226,0.5410411
227,227,0.54103625
228,228,0.54103005
229,229,0.5410235
230,230,0.5410161
231,231,0.5410079
232,232,0.54100037
233,233,0.5409927
234,234,0.54098547
235,235,0.54097885
236,236,0.5409713
237,237,0.5409653
238,238,0.54096085
239,239,0.54095536
240,240,0.54094505
241,241,0.54093915
242,242,0.54093754
243,243,0.5409384
244,244,0.5409399
245,245,0.54094094
246,246,0.5409407
247,247,0.54093796
248,248,0.5409306
249,249,0.5409158
250,250,0.54089427
251,251,0.5408708
252,252,0.54085
253,253,0.5408339
254,254,0.54082245
255,255,0.5408137
256,256,0.54080546
257,257,0.54079664
258,258,0.5407872
259,259,0.5407786
260,260,0.54077256
261,261,0.5407704
262,262,0.54077274
263,263,0.54077935
264,264,0.5407894
265,265,0.54080194
266,266,0.54081625
267,267,0.540832
268,268,0.540849
269,269,0.5408671
270,270,0.54088575
271,271,0.54090416
272,272,0.54092115
273,273,0.5409358
274,274,0.54094774
275,275,0.54095685
276,276,0.54096323
277,277,0.5409668
278,278,0.5409673
279,279,0.5409645
280,280,0.5409588
281,281,0.5409508
282,282,0.54094094
283,283,0.54092956
284,284,0.54091704
285,285,0.5409041
286,286,0.54089147
287,287,0.5408799
288,288,0.54086965
289,289,0.5408608
290,290,0.540853
291,291,0.54084647
292,292,0.54084134
293,293,0.5408379
294,294,0.5408364
295,295,0.5408368
296,296,0.54083866
297,297,0.5408414
298,298,0.54084414
299,299,0.5408465
300,300,0.5408484
301,301,0.5408497
302,302,0.5408505
303,303,0.540851
304,304,0.54085094
305,305,0.5408503
306,306,0.540849
307,307,0.5408472
308,308,0.5408451
309,309,0.540843
310,310,0.54084104
311,311,0.5408393
312,312,0.54083765
313,313,0.540836
314,314,0.54083425
315,315,0.54083234
316,316,0.5408304
317,317,0.5408283
318,318,0.5408262
319,319,0.5408239
320,320,0.5408214
321,321,0.54081863
322,322,0.54081583
323,323,0.54081297
324,324,0.54081017
325,325,0.54080737
326,326,0.54080474
327,327,0.5408022
328,328,0.54079974
329,329,0.5407975
330,330,0.54079545
331,331,0.5407938
332,332,0.54079247
333,333,0.54079133
334,334,0.54079044
335,335,0.5407896
336,336,0.5407889
337,337,0.54078823
338,338,0.54078764
339,339,0.54078704
340,340,0.54078645
341,341,0.5407858
342,342,0.540785
343,343,0.54078406
344,344,0.540783
345,345,0.5407818
346,346,0.54078066
347,347,0.5407794
348,348,0.54077816
349,349,0.5407767
350,350,0.54077524
351,351,0.5407737
352,352,0.5407721
353,353,0.5407705
354,354,0.54076886
355,355,0.5407672
356,356,0.5407655
357,357,0.54076385
358,358,0.5407621
359,359,0.5407604
360,360,0.54075867
361,361,0.540757
362,362,0.5407554
363,363,0.5407538
364,364,0.5407522
365,365,0.5407506
366,366,0.5407492
367,367,0.54074776
368,368,0.5407464
369,369,0.540745
370,370,0.54074377
371,371,0.5407425
372,372,0.5407414
373,373,0.54074025
374,374,0.5407392
375,375,0.5407381
376,376,0.54073703
377,377,0.540736
378,378,0.540735
379,379,0.540734
380,380,0.54073286
381,381,0.5407318
382,382,0.5407307
383,383,0.5407296
384,384,0.5407285
385,385,0.5407274
386,386,0.5407263
387,387,0.54072523
388,388,0.5407241
389,389,0.540723
390,390,0.54072195
391,391,0.5407208
392,392,0.54071975
393,393,0.5407186
394,394,0.54071754
395,395,0.54071647
396,396,0.5407153
397,397,0.54071414
398,398,0.54071295
399,399,0.5407118
400,400,0.5407107
401,401,0.5407095
402,402,0.54070836
403,403,0.5407072
404,404,0.54070604
405,405,0.54070485
406,406,0.5407037
407,407,0.5407026
408,408,0.5407015
409,409,0.5407005
410,410,0.54069954
411,411,0.54069865
412,412,0.5406977
413,413,0.54069686
414,414,0.5406961
415,415,0.54069537
416,416,0.5406947
417,417,0.540694
418,418,0.5406933
419,419,0.54069257
420,420,0.54069185
421,421,0.5406911
422,422,0.5406903
423,423,0.54068947
424,424,0.5406886
425,425,0.5406877
426,426,0.5406867
427,427,0.54068565
428,428,0.54068464
429,429,0.54068357
430,430,0.54068244
431,431,0.54068136
432,432,0.5406802
433,433,0.54067904
434,434,0.5406779
435,435,0.5406767
436,436,0.54067564
437,437,0.5406745
438,438,0.54067343
439,439,0.54067236
440,440,0.5406712
441,441,0.54067016
442,442,0.5406691
443,443,0.54066795
444,444,0.5406669
445,445,0.5406657
446,446,0.54066455
447,447,0.5406635
448,448,0.54066235
449,449,0.5406613
450,450,0.5406602
451,451,0.5406591
452,452,0.5406582
453,453,0.5406572
454,454,0.5406563
455,455,0.5406555
456,456,0.5406547
457,457,0.540654
458,458,0.5406533
459,459,0.54065263
460,460,0.540652
461,461,0.5406514
462,462,0.5406507
463,463,0.54065007
464,464,0.54064935
465,465,0.54064864
466,466,0.54064786
467,467,0.5406471
468,468,0.54064626
469,469,0.5406454
470,470,0.5406446
471,471,0.5406437
472,472,0.5406428
473,473,0.54064196
474,474,0.5406411
475,475,0.5406403
476,476,0.54063946
477,477,0.5406387
478,478,0.5406379
479,479,0.54063714
480,480,0.5406364
481,481,0.5406357
482,482,0.540635
483,483,0.5406343
484,484,0.54063356
485,485,0.5406328
486,486,0.540632
487,487,0.54063123
488,488,0.5406305
489,489,0.5406298
490,490,0.5406291
491,491,0.54062843
492,492,0.5406278
493,493,0.5406272
494,494,0.54062665
495,495,0.5406261
496,496,0.5406256
497,497,0.54062515
498,498,0.5406247
499,499,0.54062426
500,500,0.5406238
501,501,0.5406233
502,502,0.5406228
503,503,0.5406222
504,504,0.5406216
505,505,0.540621
506,506,0.54062027
507,507,0.54061955
508,508,0.5406188
509,509,0.540618
510,510,0.54061717
511,511,0.54061633
512,512,0.5406155
513,513,0.5406147
514,514,0.54061395
515,515,0.5406132
516,516,0.54061246
517,517,0.54061174
518,518,0.540611
519,519,0.5406104
520,520,0.5406098
521,521,0.5406092
522,522,0.5406086
523,523,0.5406081
524,524,0.5406076
525,525,0.54060704
526,526,0.5406065
527,527,0.5406059
528,528,0.54060525
529,529,0.54060453
530,530,0.54060376
531,531,0.54060286
532,532,0.5406019
533,533,0.54060096
534,534,0.5405999
535,535,0.54059887
536,536,0.54059786
537,537,0.5405969
538,538,0.54059595
539,539,0.5405952
540,540,0.5405945
541,541,0.5405939
542,542,0.5405934
543,543,0.54059297
544,544,0.5405926
545,545,0.5405923
546,546,0.5405921
547,547,0.54059184
548,548,0.54059166
549,549,0.5405915
550,550,0.5405913
551,551,0.540591
552,552,0.54059076
553,553,0.54059047
554,554,0.54059005
555,555,0.5405897
556,556,0.5405892
557,557,0.54058874
558,558,0.54058826
559,559,0.5405877
560,560,0.54058725
561,561,0.54058665
562,562,0.54058605
563,563,0.54058546
564,564,0.540585
565,565,0.54058444
566,566,0.5405839
567,567,0.5405835
568,568,0.540583
569,569,0.54058266
570,570,0.54058224
571,571,0.54058194
572,572,0.54058164
573,573,0.5405813
574,574,0.540581
575,575,0.54058063
576,576,0.54058033
577,577,0.5405799
578,578,0.54057956
579,579,0.5405791
580,580,0.5405786
581,581,0.54057807
582,582,0.5405775
583,583,0.5405769
584,584,0.54057616
585,585,0.54057544
586,586,0.54057467
587,587,0.5405739
588,588,0.5405732
589,589,0.54057246
590,590,0.5405718
591,591,0.5405713
592,592,0.54057074
593,593,0.54057026
594,594,0.54056984
595,595,0.5405694
596,596,0.54056907
597,597,0.54056865
598,598,0.54056835
599,599,0.54056805
600,600,0.5405677
601,601,0.5405674
602,602,0.54056704
603,603,0.54056674
604,604,0.54056644
605,605,0.54056615
606,606,0.5405659
607,607,0.54056567
608,608,0.5405654
609,609,0.54056513
610,610,0.5405649
611,611,0.5405646
612,612,0.54056436
613,613,0.5405641
614,614,0.5405638
615,615,0.5405636
616,616,0.5405634
617,617,0.5405632
618,618,0.540563
619,619,0.5405628
620,620,0.5405626
621,621,0.54056245
622,622,0.54056215
623,623,0.5405619
624,624,0.5405616
625,625,0.5405612
626,626,0.5405608
627,627,0.54056025
628,628,0.54055965
629,629,0.540559
630,630,0.5405583
631,631,0.5405575
632,632,0.54055667
633,633,0.54055583
634,634,0.540555
635,635,0.54055417
636,636,0.54055333
637,637,0.5405525
638,638,0.5405517
639,639,0.54055107
640,640,0.54055053
641,641,0.54055005
642,642,0.5405497
643,643,0.5405494
644,644,0.5405493
645,645,0.5405492
646,646,0.5405492
647,647,0.5405492
648,648,0.5405493
649,649,0.54054934
650,650,0.5405494
651,651,0.54054946
652,652,0.54054946
653,653,0.54054946
654,654,0.5405494
655,655,0.5405493
656,656,0.5405491
657,657,0.5405489
658,658,0.5405486
659,659,0.5405484
660,660,0.54054815
661,661,0.54054785
662,662,0.5405476
663,663,0.5405474
664,664,0.5405472
665,665,0.54054695
666,666,0.5405468
667,667,0.5405466
668,668,0.5405464
669,669,0.5405462
670,670,0.540546
671,671,0.54054576
672,672,0.54054546
673,673,0.5405452
674,674,0.540545
675,675,0.5405447
676,676,0.5405444
677,677,0.5405441
678,678,0.54054374
679,679,0.54054344
680,680,0.5405431
681,681,0.5405428
682,682,0.5405425
683,683,0.5405421
684,684,0.5405418
685,685,0.54054147
686,686,0.5405412
687,687,0.5405409
688,688,0.5405405
689,689,0.5405403
690,690,0.54054004
691,691,0.5405397
692,692,0.5405394
693,693,0.540539
694,694,0.5405388
695,695,0.54053855
696,696,0.54053825
697,697,0.540538
698,698,0.5405378
699,699,0.54053754
700,700,0.54053724
701,701,0.540537
702,702,0.54053676
703,703,0.5405365
704,704,0.54053634
705,705,0.54053617
706,706,0.540536
707,707,0.5405358
708,708,0.5405357
709,709,0.54053557
710,710,0.54053545
711,711,0.5405354
712,712,0.54053533
713,713,0.5405353
714,714,0.5405352
715,715,0.54053515
716,716,0.54053503
717,717,0.540535
718,718,0.5405349
719,719,0.5405349
720,720,0.5405349
721,721,0.5405349
722,722,0.5405349
723,723,0.5405349
724,724,0.5405349
725,725,0.54053485
726,726,0.5405348
727,727,0.54053473
728,728,0.5405347
729,729,0.5405346
730,730,0.54053456
731,731,0.5405345
732,732,0.5405345
733,733,0.5405345
734,734,0.5405345
735,735,0.5405345
736,736,0.5405345
737,737,0.5405345
738,738,0.5405345
739,739,0.5405345
740,740,0.5405345
741,741,0.5405345
742,742,0.54053444
743,743,0.5405344
744,744,0.5405344
745,745,0.5405344
746,746,0.5405344
747,747,0.5405344
748,748,0.5405344
749,749,0.5405344
750,750,0.5405344
751,751,0.5405344
752,752,0.5405344
753,753,0.54053426
754,754,0.5405342
755,755,0.54053414
756,756,0.5405341
757,757,0.54053396
758,758,0.54053384
759,759,0.5405337
760,760,0.5405336
761,761,0.5405334
762,762,0.5405333
763,763,0.5405332
764,764,0.54053307
765,765,0.54053295
766,766,0.5405328
767,767,0.54053277
768,768,0.54053265
769,769,0.54053265
770,770,0.54053265
771,771,0.54053265
772,772,0.54053277
773,773,0.5405328
774,774,0.54053295
775,775,0.54053307
776,776,0.5405332
777,777,0.5405333
778,778,0.5405334
779,779,0.54053366
780,780,0.54053384
781,781,0.540534
782,782,0.5405342
783,783,0.54053444
784,784,0.5405346
785,785,0.5405348
786,786,0.540535
787,787,0.5405352
788,788,0.5405354
789,789,0.5405355
790,790,0.5405356
791,791,0.54053575
792,792,0.54053587
793,793,0.540536
794,794,0.54053605
795,795,0.540536
796,796,0.54053575
797,797,0.54053545
798,798,0.5405349
799,799,0.5405342
800,800,0.54053336
801,801,0.54053247
802,802,0.54053146
803,803,0.5405304
