,epochs,Hp
0,0,0.14639786
1,1,0.14633758
2,2,0.14629158
3,3,0.14625613
4,4,0.14622843
5,5,0.14620663
6,6,0.14618947
7,7,0.14617634
8,8,0.14616689
9,9,0.14616042
10,10,0.14615642
11,11,0.14615434
12,12,0.14615372
13,13,0.1461542
14,14,0.14615566
15,15,0.14615816
16,16,0.14616163
17,17,0.14616625
18,18,0.14617227
19,19,0.1461798
20,20,0.14618874
21,21,0.14619881
22,22,0.14620966
23,23,0.14622073
24,24,0.14623156
25,25,0.14624172
26,26,0.14625089
27,27,0.14625874
28,28,0.1462652
29,29,0.14627033
30,30,0.14627425
31,31,0.14627716
32,32,0.14627947
33,33,0.1462817
34,34,0.14628427
35,35,0.1462874
36,36,0.14629118
37,37,0.14629568
38,38,0.1463008
39,39,0.14630641
40,40,0.14631236
41,41,0.14631842
42,42,0.1463243
43,43,0.14632975
44,44,0.14633459
45,45,0.14633884
46,46,0.14634253
47,47,0.14634578
48,48,0.14634876
49,49,0.14635158
50,50,0.14635433
51,51,0.1463572
52,52,0.14636028
53,53,0.1463637
54,54,0.14636755
55,55,0.14637183
56,56,0.14637655
57,57,0.14638168
58,58,0.14638722
59,59,0.1463931
60,60,0.1463993
61,61,0.14640574
62,62,0.1464123
63,63,0.14641897
64,64,0.14642575
65,65,0.14643265
66,66,0.1464397
67,67,0.14644691
68,68,0.14645427
69,69,0.14646184
70,70,0.1464696
71,71,0.14647754
72,72,0.14648561
73,73,0.14649375
74,74,0.14650193
75,75,0.14651011
76,76,0.14651829
77,77,0.14652643
78,78,0.1465345
79,79,0.14654249
80,80,0.1465504
81,81,0.14655824
82,82,0.14656599
83,83,0.14657363
84,84,0.14658117
85,85,0.14658865
86,86,0.14659612
87,87,0.1466036
88,88,0.14661111
89,89,0.14661871
90,90,0.1466264
91,91,0.14663422
92,92,0.1466421
93,93,0.14665017
94,94,0.14665826
95,95,0.14666669
96,96,0.14667523
97,97,0.14668405
98,98,0.14669305
99,99,0.14670198
100,100,0.14671132
101,101,0.1467211
102,102,0.1467307
103,103,0.14673994
104,104,0.14674902
105,105,0.14675798
106,106,0.14676747
107,107,0.146778
108,108,0.14678921
109,109,0.14679965
110,110,0.1468087
111,111,0.14681685
112,112,0.14682415
113,113,0.14683096
114,114,0.1468378
115,115,0.1468447
116,116,0.14685181
117,117,0.14685969
118,118,0.14686868
119,119,0.14687851
120,120,0.14688861
121,121,0.14689837
122,122,0.1469076
123,123,0.14691646
124,124,0.1469253
125,125,0.14693439
126,126,0.14694382
127,127,0.14695323
128,128,0.14696231
129,129,0.14697133
130,130,0.14698042
131,131,0.14698948
132,132,0.14699845
133,133,0.1470072
134,134,0.14701584
135,135,0.14702469
136,136,0.14703393
137,137,0.14704357
138,138,0.1470534
139,139,0.14706314
140,140,0.14707278
141,141,0.14708248
142,142,0.14709236
143,143,0.14710249
144,144,0.1471128
145,145,0.14712319
146,146,0.14713362
147,147,0.14714405
148,148,0.14715448
149,149,0.14716479
150,150,0.1471749
151,151,0.1471849
152,152,0.14719485
153,153,0.14720498
154,154,0.14721528
155,155,0.14722562
156,156,0.14723593
157,157,0.14724615
158,158,0.14725636
159,159,0.1472666
160,160,0.14727683
161,161,0.1472871
162,162,0.14729735
163,163,0.14730772
164,164,0.14731814
165,165,0.14732873
166,166,0.14733933
167,167,0.14735
168,168,0.14736067
169,169,0.1473715
170,170,0.14738241
