,epochs,mu
0,0,0.72584337
1,1,0.72548485
2,2,0.72512937
3,3,0.7247806
4,4,0.7244374
5,5,0.7240993
6,6,0.7237655
7,7,0.7234359
8,8,0.72311014
9,9,0.72278833
10,10,0.72247064
11,11,0.72215736
12,12,0.7218483
13,13,0.7215437
14,14,0.72124463
15,15,0.7209526
16,16,0.7206697
17,17,0.7203984
18,18,0.7201411
19,19,0.7198997
20,20,0.7196757
21,21,0.71946996
22,22,0.71928245
23,23,0.71911293
24,24,0.7189605
25,25,0.71882415
26,26,0.71870273
27,27,0.71859527
28,28,0.71850103
29,29,0.71841943
30,30,0.7183503
31,31,0.7182935
32,32,0.71824896
33,33,0.7182164
34,34,0.7181957
35,35,0.7181863
36,36,0.71818745
37,37,0.71819806
38,38,0.7182171
39,39,0.7182436
40,40,0.7182768
41,41,0.7183161
42,42,0.71836096
43,43,0.7184112
44,44,0.7184667
45,45,0.7185274
46,46,0.71859294
47,47,0.7186629
48,48,0.71873677
49,49,0.71881366
50,50,0.7188929
51,51,0.7189738
52,52,0.71905583
53,53,0.71913856
54,54,0.7192218
55,55,0.71930546
56,56,0.7193898
57,57,0.71947473
58,58,0.7195602
59,59,0.7196459
60,60,0.7197316
61,61,0.7198169
62,62,0.71990156
63,63,0.71998525
64,64,0.7200679
65,65,0.7201494
66,66,0.72022957
67,67,0.7203083
68,68,0.7203857
69,69,0.7204614
70,70,0.7205357
71,71,0.72060835
72,72,0.7206793
73,73,0.72074836
74,74,0.7208155
75,75,0.72088045
76,76,0.72094315
77,77,0.7210038
78,78,0.72106236
79,79,0.72111917
80,80,0.7211743
81,81,0.72122794
82,82,0.7212801
83,83,0.7213306
84,84,0.7213796
85,85,0.72142684
86,86,0.7214726
87,87,0.72151697
88,88,0.72156
89,89,0.72160184
90,90,0.7216426
91,91,0.72168237
92,92,0.721721
93,93,0.72175854
94,94,0.72179514
95,95,0.7218307
96,96,0.7218656
97,97,0.72189975
98,98,0.7219334
99,99,0.72196656
100,100,0.7219992
101,101,0.72203135
102,102,0.72206295
103,103,0.72209394
104,104,0.7221244
105,105,0.72215426
106,106,0.72218364
107,107,0.72221255
108,108,0.72224104
109,109,0.7222692
110,110,0.7222971
111,111,0.72232467
112,112,0.72235215
113,113,0.72237927
114,114,0.72240627
115,115,0.7224329
116,116,0.7224594
117,117,0.7224856
118,118,0.7225116
119,119,0.7225374
120,120,0.72256297
121,121,0.72258836
122,122,0.7226135
123,123,0.7226384
124,124,0.722663
125,125,0.7226873
126,126,0.7227114
127,127,0.7227352
128,128,0.7227588
129,129,0.7227822
130,130,0.72280526
131,131,0.7228281
132,132,0.72285056
133,133,0.7228727
134,134,0.7228945
135,135,0.7229158
136,136,0.72293675
137,137,0.7229573
138,138,0.72297746
139,139,0.7229972
140,140,0.7230165
141,141,0.7230354
142,142,0.7230539
143,143,0.723072
144,144,0.72308975
145,145,0.72310716
146,146,0.72312415
147,147,0.72314084
148,148,0.7231572
149,149,0.72317314
150,150,0.72318876
151,151,0.723204
152,152,0.72321886
153,153,0.72323334
154,154,0.7232475
155,155,0.7232613
156,156,0.72327477
157,157,0.7232878
158,158,0.7233005
159,159,0.7233129
160,160,0.72332495
161,161,0.7233367
162,162,0.7233481
163,163,0.7233592
164,164,0.7233701
165,165,0.7233806
166,166,0.72339094
167,167,0.72340095
168,168,0.7234108
169,169,0.72342026
170,170,0.72342956
171,171,0.72343856
172,172,0.72344726
173,173,0.7234558
174,174,0.723464
175,175,0.72347194
176,176,0.7234797
177,177,0.7234872
178,178,0.72349447
179,179,0.72350144
180,180,0.7235082
181,181,0.7235146
182,182,0.7235209
183,183,0.7235268
184,184,0.72353256
185,185,0.7235381
186,186,0.72354335
187,187,0.72354835
188,188,0.7235532
189,189,0.72355783
190,190,0.72356224
191,191,0.7235665
192,192,0.7235705
193,193,0.7235744
194,194,0.7235782
195,195,0.72358185
196,196,0.72358525
197,197,0.72358865
198,198,0.7235918
199,199,0.7235949
200,200,0.7235979
201,201,0.7236007
202,202,0.7236035
203,203,0.72360617
204,204,0.7236087
205,205,0.72361106
206,206,0.7236134
207,207,0.7236157
208,208,0.723618
209,209,0.7236201
210,210,0.72362226
211,211,0.7236244
212,212,0.72362655
213,213,0.72362876
214,214,0.7236309
215,215,0.7236331
216,216,0.7236355
217,217,0.7236379
218,218,0.7236404
219,219,0.72364306
220,220,0.7236458
221,221,0.7236487
222,222,0.7236518
223,223,0.72365505
224,224,0.7236584
225,225,0.72366184
226,226,0.7236654
227,227,0.723669
228,228,0.7236726
229,229,0.72367626
230,230,0.7236799
231,231,0.72368336
232,232,0.7236867
233,233,0.72369
234,234,0.7236931
235,235,0.7236961
236,236,0.7236989
237,237,0.7237017
238,238,0.7237043
239,239,0.7237067
240,240,0.72370905
241,241,0.7237112
242,242,0.72371316
243,243,0.723715
244,244,0.72371674
245,245,0.7237183
246,246,0.7237197
247,247,0.7237211
248,248,0.72372234
249,249,0.7237234
250,250,0.7237245
251,251,0.72372544
252,252,0.7237263
253,253,0.72372705
254,254,0.72372776
255,255,0.7237284
256,256,0.72372913
257,257,0.7237298
258,258,0.7237305
259,259,0.7237313
260,260,0.72373205
261,261,0.72373295
262,262,0.72373384
263,263,0.7237348
264,264,0.72373587
265,265,0.723737
266,266,0.7237382
267,267,0.7237394
268,268,0.7237407
269,269,0.72374195
270,270,0.7237434
271,271,0.72374475
272,272,0.7237461
273,273,0.7237475
274,274,0.72374886
275,275,0.72375023
276,276,0.72375166
277,277,0.72375304
278,278,0.7237543
279,279,0.7237556
280,280,0.7237569
281,281,0.7237582
282,282,0.7237595
283,283,0.72376066
284,284,0.7237619
285,285,0.72376305
286,286,0.7237641
287,287,0.72376525
288,288,0.7237663
289,289,0.72376734
290,290,0.7237683
291,291,0.72376925
292,292,0.7237701
293,293,0.723771
294,294,0.7237718
295,295,0.7237727
296,296,0.7237735
297,297,0.72377425
298,298,0.723775
299,299,0.7237758
300,300,0.7237766
301,301,0.72377735
302,302,0.7237781
303,303,0.7237788
304,304,0.7237795
305,305,0.7237803
306,306,0.72378105
307,307,0.7237818
308,308,0.7237826
309,309,0.7237834
310,310,0.72378415
311,311,0.7237849
312,312,0.7237857
313,313,0.7237865
314,314,0.72378725
315,315,0.723788
316,316,0.7237888
317,317,0.7237896
318,318,0.72379035
319,319,0.7237911
320,320,0.7237919
321,321,0.7237927
322,322,0.72379357
323,323,0.7237944
324,324,0.7237953
325,325,0.7237961
326,326,0.723797
327,327,0.7237978
328,328,0.7237986
329,329,0.72379935
330,330,0.7238001
331,331,0.7238009
332,332,0.7238017
333,333,0.72380245
334,334,0.7238032
335,335,0.723804
336,336,0.7238048
337,337,0.7238054
338,338,0.72380614
339,339,0.72380686
340,340,0.72380745
341,341,0.72380805
342,342,0.72380865
343,343,0.72380924
344,344,0.72380984
345,345,0.72381043
346,346,0.72381103
347,347,0.72381175
348,348,0.72381246
349,349,0.72381324
350,350,0.723814
351,351,0.72381485
352,352,0.72381574
353,353,0.7238167
354,354,0.7238176
355,355,0.72381866
356,356,0.7238198
357,357,0.72382087
358,358,0.7238221
359,359,0.7238233
360,360,0.7238245
361,361,0.7238258
362,362,0.7238271
363,363,0.7238284
364,364,0.7238297
365,365,0.723831
366,366,0.72383237
367,367,0.72383374
368,368,0.7238351
369,369,0.7238364
370,370,0.72383773
371,371,0.723839
372,372,0.7238403
373,373,0.7238416
374,374,0.72384286
375,375,0.7238441
376,376,0.7238453
377,377,0.7238465
378,378,0.7238477
379,379,0.7238488
380,380,0.72384995
381,381,0.7238511
382,382,0.7238521
383,383,0.7238532
384,384,0.7238542
385,385,0.7238552
386,386,0.72385615
387,387,0.7238571
388,388,0.72385806
389,389,0.72385895
390,390,0.7238598
391,391,0.7238606
392,392,0.7238615
393,393,0.7238623
394,394,0.72386307
395,395,0.72386384
396,396,0.7238646
397,397,0.7238654
398,398,0.72386616
399,399,0.72386694
400,400,0.7238677
401,401,0.7238685
402,402,0.72386926
403,403,0.72387004
404,404,0.72387093
405,405,0.72387177
406,406,0.72387266
407,407,0.72387356
408,408,0.7238746
409,409,0.72387564
410,410,0.7238768
411,411,0.72387797
412,412,0.7238793
413,413,0.72388065
414,414,0.72388214
415,415,0.7238837
416,416,0.7238854
417,417,0.7238872
418,418,0.7238891
419,419,0.7238912
420,420,0.72389334
421,421,0.72389555
422,422,0.72389793
423,423,0.72390026
424,424,0.72390264
425,425,0.7239051
426,426,0.7239075
427,427,0.7239099
428,428,0.7239123
429,429,0.7239146
430,430,0.72391695
431,431,0.7239192
432,432,0.72392136
433,433,0.72392344
434,434,0.7239254
435,435,0.7239272
436,436,0.7239289
437,437,0.7239305
438,438,0.72393197
439,439,0.7239333
440,440,0.7239345
441,441,0.7239356
442,442,0.72393656
443,443,0.7239374
444,444,0.72393817
445,445,0.7239389
446,446,0.7239395
447,447,0.7239401
448,448,0.7239406
449,449,0.723941
450,450,0.72394145
451,451,0.7239418
452,452,0.72394216
453,453,0.7239425
454,454,0.72394276
455,455,0.723943
456,456,0.7239433
457,457,0.72394353
458,458,0.72394377
459,459,0.72394395
460,460,0.7239441
461,461,0.7239443
462,462,0.7239445
463,463,0.72394466
464,464,0.72394484
465,465,0.723945
466,466,0.72394514
467,467,0.72394526
468,468,0.7239453
469,469,0.72394544
470,470,0.7239455
471,471,0.7239456
472,472,0.7239457
473,473,0.7239458
474,474,0.72394586
475,475,0.72394586
476,476,0.72394586
477,477,0.72394586
478,478,0.72394586
479,479,0.72394586
480,480,0.7239458
481,481,0.7239457
482,482,0.7239456
483,483,0.7239455
484,484,0.72394544
485,485,0.7239453
486,486,0.72394526
487,487,0.72394514
488,488,0.723945
489,489,0.72394484
490,490,0.72394466
491,491,0.7239445
492,492,0.7239443
493,493,0.7239441
494,494,0.72394395
495,495,0.72394377
496,496,0.7239436
497,497,0.7239435
498,498,0.7239433
499,499,0.7239431
500,500,0.72394294
501,501,0.72394276
502,502,0.7239426
503,503,0.7239424
504,504,0.72394216
505,505,0.7239418
506,506,0.7239414
507,507,0.7239408
508,508,0.7239401
509,509,0.7239393
510,510,0.7239385
511,511,0.7239377
512,512,0.72393674
513,513,0.72393566
514,514,0.72393453
515,515,0.72393346
516,516,0.7239322
517,517,0.723931
518,518,0.7239298
519,519,0.72392863
520,520,0.7239274
521,521,0.7239262
522,522,0.72392505
523,523,0.72392404
524,524,0.7239231
525,525,0.72392225
526,526,0.7239215
527,527,0.7239208
528,528,0.72392035
529,529,0.72391987
530,530,0.7239196
531,531,0.7239194
532,532,0.7239193
533,533,0.7239193
534,534,0.7239193
535,535,0.7239194
536,536,0.72391945
537,537,0.7239196
538,538,0.72391963
539,539,0.72391975
540,540,0.7239198
541,541,0.7239198
542,542,0.72391975
543,543,0.7239196
544,544,0.7239193
545,545,0.723919
546,546,0.7239185
547,547,0.723918
548,548,0.7239174
549,549,0.7239167
550,550,0.72391593
551,551,0.72391504
552,552,0.7239142
553,553,0.72391325
554,554,0.7239123
555,555,0.72391135
556,556,0.7239104
557,557,0.72390944
558,558,0.7239085
559,559,0.7239076
560,560,0.72390664
561,561,0.7239057
562,562,0.7239047
563,563,0.72390383
564,564,0.723903
565,565,0.7239021
566,566,0.72390133
567,567,0.72390056
568,568,0.7238999
569,569,0.7238993
570,570,0.72389877
571,571,0.72389823
572,572,0.7238978
573,573,0.72389746
574,574,0.7238973
575,575,0.72389716
576,576,0.72389704
577,577,0.72389704
578,578,0.72389716
579,579,0.7238972
580,580,0.7238974
581,581,0.7238976
582,582,0.72389776
583,583,0.72389793
584,584,0.723898
585,585,0.72389805
586,586,0.72389805
587,587,0.723898
588,588,0.72389793
589,589,0.72389776
590,590,0.72389746
591,591,0.72389716
592,592,0.7238968
593,593,0.7238963
594,594,0.72389585
595,595,0.72389525
596,596,0.72389466
597,597,0.72389394
598,598,0.7238932
599,599,0.72389245
600,600,0.7238917
601,601,0.72389084
602,602,0.72388995
603,603,0.7238891
604,604,0.72388816
605,605,0.7238872
606,606,0.72388625
607,607,0.7238853
608,608,0.72388434
609,609,0.7238834
610,610,0.7238825
611,611,0.72388154
612,612,0.7238806
613,613,0.72387964
614,614,0.7238787
615,615,0.7238777
616,616,0.7238768
617,617,0.7238758
618,618,0.72387487
619,619,0.7238739
620,620,0.7238731
621,621,0.7238722
622,622,0.72387135
623,623,0.72387046
624,624,0.7238697
625,625,0.7238689
626,626,0.72386825
627,627,0.72386754
628,628,0.72386694
629,629,0.72386634
630,630,0.7238658
631,631,0.7238654
632,632,0.72386503
633,633,0.7238648
634,634,0.7238646
635,635,0.72386456
636,636,0.72386456
637,637,0.7238647
638,638,0.723865
639,639,0.7238654
640,640,0.7238659
641,641,0.7238666
642,642,0.72386736
643,643,0.72386825
644,644,0.7238691
645,645,0.72387004
646,646,0.723871
647,647,0.72387195
648,648,0.7238729
649,649,0.72387385
650,650,0.7238748
651,651,0.72387564
652,652,0.72387654
653,653,0.7238773
654,654,0.7238781
655,655,0.72387874
656,656,0.72387934
657,657,0.7238799
658,658,0.7238803
659,659,0.72388065
660,660,0.723881
661,661,0.72388124
662,662,0.7238814
663,663,0.7238816
664,664,0.7238817
665,665,0.7238818
666,666,0.7238818
667,667,0.7238818
668,668,0.7238818
669,669,0.7238818
670,670,0.7238818
671,671,0.7238818
672,672,0.7238818
673,673,0.72388184
674,674,0.72388196
675,675,0.72388214
676,676,0.7238823
677,677,0.72388256
678,678,0.7238828
679,679,0.72388315
680,680,0.7238835
681,681,0.7238839
682,682,0.72388434
683,683,0.7238849
684,684,0.7238854
685,685,0.7238859
686,686,0.72388655
687,687,0.72388715
688,688,0.72388774
689,689,0.72388834
690,690,0.72388893
691,691,0.7238895
692,692,0.7238901
693,693,0.72389066
694,694,0.7238912
695,695,0.7238917
696,696,0.7238922
697,697,0.72389275
698,698,0.7238932
699,699,0.7238937
700,700,0.7238941
701,701,0.72389454
702,702,0.72389495
703,703,0.72389543
704,704,0.72389585
705,705,0.72389627
706,706,0.7238966
707,707,0.723897
708,708,0.7238973
709,709,0.72389764
710,710,0.723898
711,711,0.72389835
712,712,0.7238987
713,713,0.723899
714,714,0.72389936
715,715,0.7238997
716,716,0.7239001
717,717,0.7239004
718,718,0.72390074
719,719,0.7239011
720,720,0.72390145
721,721,0.7239018
722,722,0.7239021
723,723,0.72390246
724,724,0.7239028
725,725,0.7239032
726,726,0.72390354
727,727,0.72390383
728,728,0.7239042
729,729,0.72390455
730,730,0.7239049
731,731,0.72390527
732,732,0.72390556
733,733,0.72390586
734,734,0.7239061
735,735,0.72390634
736,736,0.72390664
737,737,0.7239069
738,738,0.7239071
739,739,0.7239074
740,740,0.72390765
741,741,0.7239079
742,742,0.7239082
743,743,0.72390836
744,744,0.7239085
745,745,0.72390866
746,746,0.72390884
747,747,0.723909
748,748,0.7239092
749,749,0.7239094
750,750,0.72390956
751,751,0.72390974
752,752,0.7239099
753,753,0.7239101
754,754,0.7239102
755,755,0.7239104
756,756,0.72391057
757,757,0.72391075
758,758,0.72391087
759,759,0.7239109
760,760,0.723911
761,761,0.7239111
762,762,0.72391117
763,763,0.7239113
764,764,0.72391135
765,765,0.72391146
766,766,0.7239115
767,767,0.72391164
768,768,0.7239117
769,769,0.72391176
770,770,0.72391176
771,771,0.7239119
772,772,0.7239119
773,773,0.72391194
774,774,0.72391194
775,775,0.72391206
776,776,0.72391206
777,777,0.7239121
778,778,0.7239121
779,779,0.7239123
780,780,0.72391224
781,781,0.7239125
782,782,0.72391206
783,783,0.7239123
784,784,0.72391176
785,785,0.7239124
786,786,0.72391325
787,787,0.72391516
788,788,0.72391766
789,789,0.72391975
790,790,0.7239216
791,791,0.7239216
792,792,0.72392154
793,793,0.72392076
794,794,0.7239211
795,795,0.7239225
796,796,0.7239236
797,797,0.7239246
798,798,0.72392327
799,799,0.72392154
800,800,0.72391963
801,801,0.7239192
802,802,0.72391945
803,803,0.7239194
804,804,0.7239181
805,805,0.72391516
806,806,0.7239123
807,807,0.7239098
808,808,0.7239092
809,809,0.7239082
810,810,0.72390765
811,811,0.72390616
812,812,0.7239051
813,813,0.7239048
814,814,0.7239054
815,815,0.7239071
816,816,0.7239077
817,817,0.72390825
818,818,0.7239074
819,819,0.7239076
820,820,0.723909
821,821,0.7239111
822,822,0.7239138
823,823,0.72391456
824,824,0.72391474
825,825,0.72391397
826,826,0.72391444
827,827,0.72391534
828,828,0.7239161
829,829,0.72391593
830,830,0.7239144
831,831,0.7239129
832,832,0.72391164
833,833,0.7239119
834,834,0.7239113
835,835,0.72391117
836,836,0.72391033
837,837,0.72390974
838,838,0.72390956
839,839,0.7239096
840,840,0.72391057
841,841,0.72391015
842,842,0.7239101
843,843,0.72390914
844,844,0.72390884
845,845,0.7239101
846,846,0.7239105
847,847,0.7239124
848,848,0.72391444
849,849,0.72391284
850,850,0.7239047
851,851,0.72388387
852,852,0.723848
853,853,0.7238187
854,854,0.7238017
855,855,0.7238048
856,856,0.72381675
857,857,0.7238388
858,858,0.72387046
859,859,0.72390354
860,860,0.7239274
861,861,0.72394335
862,862,0.7239609
863,863,0.7239852
864,864,0.7240149
865,865,0.7240464
866,866,0.7240728
867,867,0.72409075
868,868,0.72410387
869,869,0.7241145
870,870,0.72412187
871,871,0.72411686
872,872,0.7240914
873,873,0.7240456
874,874,0.7239868
875,875,0.72393024
876,876,0.7238864
877,877,0.72385114
878,878,0.7238185
879,879,0.7237828
880,880,0.72373974
881,881,0.7237025
882,882,0.72368306
883,883,0.7236909
884,884,0.72371435
885,885,0.7237265
886,886,0.7237465
887,887,0.72377175
888,888,0.7238086
889,889,0.7238505
890,890,0.72389644
891,891,0.7239331
892,892,0.72395766
893,893,0.7239752
894,894,0.7239954
895,895,0.7240246
896,896,0.7240614
897,897,0.7240905
898,898,0.7241073
899,899,0.7241085
900,900,0.72410333
901,901,0.72409713
902,902,0.7240892
903,903,0.7240754
904,904,0.7240523
905,905,0.7240239
906,906,0.723993
907,907,0.72396225
908,908,0.7239305
909,909,0.7238988
910,910,0.7238681
911,911,0.72384125
912,912,0.7238197
913,913,0.7238032
914,914,0.723789
915,915,0.7237782
916,916,0.7237727
917,917,0.72377396
918,918,0.7237818
919,919,0.72379166
920,920,0.7237998
921,921,0.7238058
922,922,0.723811
923,923,0.72382176
924,924,0.7238409
925,925,0.7238652
926,926,0.7238901
927,927,0.7239102
928,928,0.7239267
929,929,0.7239432
930,930,0.7239624
931,931,0.7239846
932,932,0.7240074
933,933,0.7240255
934,934,0.7240356
935,935,0.7240387
936,936,0.7240369
937,937,0.7240328
938,938,0.7240279
939,939,0.72402453
940,940,0.72402036
941,941,0.7240153
942,942,0.72400916
943,943,0.724002
944,944,0.72399414
945,945,0.72398585
946,946,0.7239777
947,947,0.7239698
948,948,0.7239626
949,949,0.7239561
950,950,0.72395027
951,951,0.7239447
952,952,0.7239395
953,953,0.72393453
954,954,0.7239299
955,955,0.7239256
956,956,0.7239217
957,957,0.7239185
958,958,0.723916
959,959,0.7239142
960,960,0.723913
961,961,0.72391224
962,962,0.7239117
963,963,0.7239113
964,964,0.7239109
965,965,0.72391075
966,966,0.72391087
967,967,0.7239111
968,968,0.7239115
969,969,0.72391206
970,970,0.72391266
971,971,0.72391343
972,972,0.7239144
973,973,0.7239155
974,974,0.72391677
975,975,0.7239181
976,976,0.7239194
977,977,0.7239206
978,978,0.7239216
979,979,0.72392255
980,980,0.72392344
981,981,0.7239243
982,982,0.72392523
983,983,0.7239263
984,984,0.7239273
985,985,0.72392833
986,986,0.7239292
987,987,0.7239299
988,988,0.72393036
989,989,0.72393066
990,990,0.72393095
991,991,0.7239312
992,992,0.72393155
993,993,0.7239319
994,994,0.7239322
995,995,0.7239325
996,996,0.7239327
997,997,0.72393274
998,998,0.72393274
999,999,0.7239327
