,epochs,Hp
0,0,0.25301206
1,1,0.25287688
2,2,0.2527589
3,3,0.25264165
4,4,0.25257185
5,5,0.25254592
6,6,0.2525381
7,7,0.2525158
8,8,0.2524948
9,9,0.25249514
10,10,0.25251356
11,11,0.25254515
12,12,0.2525769
13,13,0.25259066
14,14,0.2525735
15,15,0.25253025
16,16,0.25247616
17,17,0.25242794
18,18,0.25239208
19,19,0.25236735
20,20,0.25235087
21,21,0.25233892
22,22,0.2523256
23,23,0.25230423
24,24,0.2522729
25,25,0.25223634
26,26,0.25219992
27,27,0.25216645
28,28,0.2521368
29,29,0.25211123
30,30,0.25208977
31,31,0.25207236
32,32,0.2520586
33,33,0.25204748
34,34,0.25203717
35,35,0.25202543
36,36,0.2520107
37,37,0.25199333
38,38,0.25197527
39,39,0.25195825
40,40,0.2519432
41,41,0.25193036
42,42,0.2519195
43,43,0.25191015
44,44,0.25190163
45,45,0.2518932
46,46,0.25188437
47,47,0.25187516
48,48,0.25186595
49,49,0.25185722
50,50,0.25184926
51,51,0.25184217
52,52,0.25183576
53,53,0.25182953
54,54,0.2518229
55,55,0.2518154
56,56,0.25180712
57,57,0.25179854
58,58,0.25179034
59,59,0.25178313
60,60,0.25177732
61,61,0.25177294
62,62,0.25176978
63,63,0.25176728
64,64,0.25176477
65,65,0.25176156
66,66,0.25175714
67,67,0.2517515
68,68,0.25174507
69,69,0.25173843
70,70,0.2517321
71,71,0.2517265
72,72,0.25172165
73,73,0.25171745
74,74,0.25171366
75,75,0.25170997
76,76,0.2517062
77,77,0.25170237
78,78,0.25169858
79,79,0.251695
80,80,0.25169182
81,81,0.25168905
82,82,0.25168663
83,83,0.25168437
84,84,0.25168213
85,85,0.2516799
86,86,0.2516777
87,87,0.25167567
88,88,0.2516739
89,89,0.2516725
90,90,0.25167146
91,91,0.25167072
92,92,0.25167003
93,93,0.25166932
94,94,0.25166842
95,95,0.2516674
96,96,0.25166637
97,97,0.25166544
98,98,0.25166473
99,99,0.2516642
100,100,0.25166374
101,101,0.25166324
102,102,0.25166258
103,103,0.2516618
104,104,0.251661
105,105,0.25166035
106,106,0.25165993
107,107,0.25165984
108,108,0.25166005
109,109,0.25166047
110,110,0.251661
111,111,0.25166157
112,112,0.2516621
113,113,0.25166264
114,114,0.2516632
115,115,0.25166377
116,116,0.25166437
117,117,0.25166503
118,118,0.25166574
119,119,0.25166655
120,120,0.25166756
121,121,0.25166872
122,122,0.25167006
123,123,0.25167155
124,124,0.25167307
125,125,0.25167462
126,126,0.25167617
127,127,0.25167775
128,128,0.25167936
129,129,0.251681
