,epochs,Hp
319,319,0.19047195
320,320,0.19048734
321,321,0.19050278
322,322,0.19051823
323,323,0.19053376
324,324,0.19054936
325,325,0.19056508
326,326,0.1905809
327,327,0.19059688
328,328,0.190613
329,329,0.19062927
330,330,0.19064566
331,331,0.19066216
332,332,0.19067879
333,333,0.19069552
334,334,0.1907124
335,335,0.19072942
336,336,0.19074655
337,337,0.19076373
338,338,0.1907809
339,339,0.19079803
340,340,0.19081509
341,341,0.19083208
342,342,0.19084896
343,343,0.19086571
344,344,0.19088233
345,345,0.19089882
346,346,0.19091521
347,347,0.19093151
348,348,0.19094776
349,349,0.19096392
350,350,0.19098005
351,351,0.19099611
352,352,0.19101216
353,353,0.19102818
354,354,0.19104421
355,355,0.19106025
356,356,0.19107631
357,357,0.19109239
358,358,0.19110851
359,359,0.19112466
360,360,0.19114086
361,361,0.19115712
362,362,0.1911734
363,363,0.19118975
364,364,0.19120611
365,365,0.1912225
366,366,0.19123892
367,367,0.19125538
368,368,0.19127183
369,369,0.19128829
370,370,0.19130474
371,371,0.19132118
372,372,0.19133759
373,373,0.19135395
374,374,0.19137028
375,375,0.19138657
376,376,0.1914028
377,377,0.19141899
378,378,0.19143514
379,379,0.19145127
380,380,0.19146739
381,381,0.19148351
382,382,0.19149964
383,383,0.19151579
384,384,0.19153196
385,385,0.19154815
386,386,0.19156438
387,387,0.19158064
388,388,0.19159693
389,389,0.19161321
390,390,0.19162953
391,391,0.19164586
392,392,0.19166219
393,393,0.19167854
394,394,0.19169487
395,395,0.19171122
396,396,0.19172755
397,397,0.19174387
398,398,0.19176015
399,399,0.19177642
400,400,0.19179268
401,401,0.1918089
402,402,0.19182506
403,403,0.19184119
404,404,0.19185728
405,405,0.19187331
406,406,0.19188932
407,407,0.19190527
408,408,0.19192119
409,409,0.19193707
410,410,0.19195293
411,411,0.19196874
412,412,0.19198453
413,413,0.19200028
414,414,0.192016
415,415,0.1920317
416,416,0.19204736
417,417,0.19206299
418,418,0.19207859
419,419,0.19209413
420,420,0.19210964
421,421,0.19212511
422,422,0.19214052
423,423,0.1921559
424,424,0.19217122
425,425,0.19218646
426,426,0.19220164
427,427,0.19221677
428,428,0.19223183
429,429,0.19224681
430,430,0.19226173
431,431,0.19227658
432,432,0.19229138
433,433,0.1923061
434,434,0.19232078
435,435,0.19233543
436,436,0.19235002
437,437,0.19236456
438,438,0.1923791
439,439,0.19239365
440,440,0.1924082
441,441,0.19242278
442,442,0.19243741
443,443,0.19245212
444,444,0.19246693
445,445,0.19248188
446,446,0.19249697
447,447,0.19251221
448,448,0.1925276
449,449,0.19254313
450,450,0.19255878
451,451,0.19257456
452,452,0.19259046
453,453,0.19260646
454,454,0.19262253
455,455,0.19263862
456,456,0.19265471
457,457,0.19267079
458,458,0.19268683
459,459,0.19270283
460,460,0.19271883
461,461,0.19273484
462,462,0.19275086
463,463,0.19276688
464,464,0.19278291
465,465,0.19279894
466,466,0.19281499
467,467,0.19283105
468,468,0.19284713
469,469,0.19286323
470,470,0.1928794
471,471,0.19289568
472,472,0.19291212
473,473,0.19292867
474,474,0.1929453
475,475,0.19296193
476,476,0.19297855
477,477,0.19299513
478,478,0.19301167
479,479,0.19302815
480,480,0.19304457
481,481,0.19306096
482,482,0.19307734
483,483,0.19309369
484,484,0.19311002
485,485,0.1931263
486,486,0.19314255
487,487,0.19315875
488,488,0.19317491
489,489,0.19319102
490,490,0.1932071
491,491,0.19322318
492,492,0.19323926
493,493,0.19325532
494,494,0.19327137
495,495,0.19328739
496,496,0.1933034
497,497,0.1933194
498,498,0.19333537
499,499,0.1933513
500,500,0.1933672
501,501,0.19338304
502,502,0.19339883
503,503,0.19341457
504,504,0.19343023
505,505,0.19344583
506,506,0.19346136
507,507,0.19347684
508,508,0.19349226
509,509,0.19350761
510,510,0.19352292
511,511,0.19353817
512,512,0.19355339
513,513,0.19356853
514,514,0.19358364
515,515,0.19359869
516,516,0.1936137
517,517,0.19362867
518,518,0.19364361
519,519,0.19365852
520,520,0.19367337
521,521,0.19368818
522,522,0.19370295
523,523,0.19371764
524,524,0.19373229
525,525,0.1937469
526,526,0.19376145
527,527,0.19377594
528,528,0.19379039
529,529,0.19380479
530,530,0.19381917
531,531,0.19383349
532,532,0.19384775
533,533,0.19386198
534,534,0.19387616
535,535,0.19389029
536,536,0.19390438
537,537,0.19391844
538,538,0.19393244
539,539,0.19394644
540,540,0.19396038
541,541,0.19397427
542,542,0.19398814
543,543,0.19400197
544,544,0.19401574
545,545,0.1940295
546,546,0.19404319
547,547,0.19405685
548,548,0.19407047
549,549,0.19408406
550,550,0.19409761
551,551,0.19411111
552,552,0.19412458
553,553,0.19413799
554,554,0.19415137
555,555,0.19416472
556,556,0.194178
557,557,0.19419126
558,558,0.19420448
559,559,0.19421765
560,560,0.1942308
561,561,0.1942439
562,562,0.19425696
563,563,0.19426998
564,564,0.19428295
565,565,0.1942959
566,566,0.19430879
567,567,0.19432165
568,568,0.19433446
569,569,0.19434723
570,570,0.19435997
571,571,0.19437267
572,572,0.19438532
573,573,0.19439796
574,574,0.19441053
575,575,0.19442306
576,576,0.19443558
577,577,0.19444804
578,578,0.19446047
579,579,0.19447285
580,580,0.19448522
581,581,0.19449753
582,582,0.1945098
583,583,0.19452204
584,584,0.19453424
585,585,0.1945464
586,586,0.19455853
587,587,0.19457062
588,588,0.19458266
589,589,0.19459465
590,590,0.19460663
591,591,0.19461855
592,592,0.19463043
593,593,0.19464228
594,594,0.19465406
595,595,0.1946658
596,596,0.19467749
597,597,0.19468912
598,598,0.19470069
599,599,0.19471219
600,600,0.19472364
601,601,0.19473502
602,602,0.19474633
603,603,0.19475758
604,604,0.19476877
605,605,0.19477989
606,606,0.19479094
607,607,0.19480194
608,608,0.1948129
609,609,0.19482382
610,610,0.19483471
611,611,0.19484559
612,612,0.19485648
613,613,0.1948674
614,614,0.19487837
615,615,0.19488941
616,616,0.19490056
617,617,0.19491182
618,618,0.19492324
619,619,0.1949348
620,620,0.19494656
621,621,0.19495848
622,622,0.19497058
623,623,0.19498286
624,624,0.19499528
625,625,0.19500783
626,626,0.19502047
627,627,0.1950332
628,628,0.19504596
629,629,0.19505878
630,630,0.19507161
631,631,0.19508442
632,632,0.19509725
633,633,0.19511007
634,634,0.19512291
635,635,0.19513576
636,636,0.19514862
637,637,0.19516149
638,638,0.19517438
639,639,0.19518729
640,640,0.19520019
641,641,0.1952131
642,642,0.19522604
643,643,0.19523902
644,644,0.19525203
645,645,0.19526505
646,646,0.19527806
647,647,0.19529107
648,648,0.19530408
649,649,0.19531706
650,650,0.19533004
651,651,0.195343
652,652,0.19535595
653,653,0.1953689
654,654,0.1953818
655,655,0.1953947
656,656,0.19540754
657,657,0.19542037
658,658,0.19543317
659,659,0.19544594
660,660,0.19545868
661,661,0.19547139
662,662,0.19548409
663,663,0.19549672
664,664,0.19550936
665,665,0.19552195
666,666,0.19553454
667,667,0.19554712
668,668,0.1955597
669,669,0.19557226
670,670,0.1955848
671,671,0.19559732
672,672,0.19560982
673,673,0.1956223
674,674,0.19563475
675,675,0.19564721
676,676,0.19565964
677,677,0.19567207
678,678,0.19568448
679,679,0.19569689
680,680,0.19570927
681,681,0.19572164
682,682,0.195734
683,683,0.19574635
684,684,0.19575866
685,685,0.19577096
686,686,0.19578326
687,687,0.19579552
688,688,0.19580774
689,689,0.19581994
690,690,0.19583213
691,691,0.19584428
692,692,0.19585642
693,693,0.19586852
694,694,0.19588062
695,695,0.19589268
696,696,0.19590472
697,697,0.19591673
698,698,0.19592872
699,699,0.1959407
700,700,0.19595267
701,701,0.1959646
702,702,0.19597651
703,703,0.1959884
704,704,0.19600026
705,705,0.1960121
706,706,0.1960239
707,707,0.19603568
708,708,0.19604743
709,709,0.19605915
710,710,0.19607085
711,711,0.1960825
712,712,0.19609413
713,713,0.19610572
714,714,0.19611728
715,715,0.19612885
716,716,0.19614044
717,717,0.19615209
718,718,0.19616376
719,719,0.19617541
720,720,0.19618703
721,721,0.19619861
722,722,0.19621012
723,723,0.19622156
724,724,0.19623294
725,725,0.19624428
726,726,0.19625561
727,727,0.19626687
728,728,0.1962781
729,729,0.19628927
730,730,0.19630037
731,731,0.19631146
732,732,0.19632249
733,733,0.1963335
734,734,0.1963445
735,735,0.19635546
736,736,0.19636637
737,737,0.19637725
738,738,0.1963881
739,739,0.1963989
740,740,0.19640964
741,741,0.19642036
742,742,0.19643101
743,743,0.19644162
744,744,0.19645217
745,745,0.19646266
746,746,0.19647312
747,747,0.19648352
748,748,0.19649391
749,749,0.19650424
750,750,0.19651452
751,751,0.19652475
752,752,0.19653498
753,753,0.19654515
754,754,0.19655527
755,755,0.19656537
756,756,0.19657545
757,757,0.19658548
758,758,0.19659548
759,759,0.19660544
760,760,0.19661535
761,761,0.19662522
762,762,0.19663504
763,763,0.19664481
764,764,0.19665456
765,765,0.19666426
766,766,0.19667391
767,767,0.19668354
768,768,0.19669314
769,769,0.19670269
770,770,0.19671221
771,771,0.1967217
772,772,0.19673115
773,773,0.19674054
774,774,0.19674993
775,775,0.19675925
776,776,0.19676855
777,777,0.1967778
778,778,0.19678701
779,779,0.19679618
780,780,0.19680533
781,781,0.19681442
782,782,0.19682346
783,783,0.19683246
784,784,0.19684145
785,785,0.19685037
786,786,0.19685926
787,787,0.19686812
788,788,0.19687693
789,789,0.19688572
790,790,0.19689447
791,791,0.19690318
792,792,0.19691189
793,793,0.19692053
794,794,0.19692916
795,795,0.19693777
796,796,0.19694632
797,797,0.19695486
798,798,0.19696334
799,799,0.1969718
800,800,0.19698022
801,801,0.19698861
802,802,0.19699696
803,803,0.19700529
804,804,0.19701356
805,805,0.19702181
806,806,0.19703004
807,807,0.19703822
808,808,0.19704638
