,epochs,SY0
0,0,0.62441367
1,1,0.624123
2,2,0.62391967
3,3,0.6237726
4,4,0.62367094
5,5,0.62360275
6,6,0.6235488
7,7,0.623514
8,8,0.62349576
9,9,0.62341094
10,10,0.62325805
11,11,0.62310714
12,12,0.6229809
13,13,0.6228833
14,14,0.6228125
15,15,0.62276393
16,16,0.622728
17,17,0.6226912
18,18,0.6226144
19,19,0.6224948
20,20,0.62237304
21,21,0.6222645
22,22,0.62217504
23,23,0.6221058
24,24,0.622054
25,25,0.6220134
26,26,0.6219734
27,27,0.6219185
28,28,0.6218407
29,29,0.6217519
30,30,0.6216665
31,31,0.62159204
32,32,0.621531
33,33,0.6214819
34,34,0.62144053
35,35,0.62140006
36,36,0.62135017
37,37,0.62128276
38,38,0.62120336
39,39,0.6211233
40,40,0.6210498
41,41,0.6209857
42,42,0.62093085
43,43,0.62088287
44,44,0.62083745
45,45,0.6207892
46,46,0.6207342
47,47,0.6206737
48,48,0.6206124
49,49,0.6205547
50,50,0.6205033
51,51,0.6204584
52,52,0.6204184
53,53,0.6203798
54,54,0.6203383
55,55,0.62029064
56,56,0.6202372
57,57,0.62018144
58,58,0.62012744
59,59,0.62007755
60,60,0.6200322
61,61,0.61999005
62,62,0.61994886
63,63,0.61990625
64,64,0.6198611
65,65,0.6198146
66,66,0.6197689
67,67,0.61972624
68,68,0.6196875
69,69,0.6196523
70,70,0.61961913
71,71,0.619586
72,72,0.61955094
73,73,0.6195136
74,74,0.6194749
75,75,0.6194366
76,76,0.6194001
77,77,0.6193658
78,78,0.61933327
79,79,0.61930114
80,80,0.6192681
81,81,0.61923367
82,82,0.61919814
83,83,0.61916256
84,84,0.6191281
85,85,0.6190953
86,86,0.619064
87,87,0.61903316
88,88,0.61900204
89,89,0.61896986
90,90,0.61893696
91,91,0.618904
92,92,0.61887187
93,93,0.618841
94,94,0.61881125
95,95,0.61878204
96,96,0.6187527
97,97,0.61872274
98,98,0.61869234
99,99,0.6186619
100,100,0.61863196
101,101,0.61860293
102,102,0.6185747
103,103,0.61854666
104,104,0.61851835
105,105,0.6184895
106,106,0.61846024
107,107,0.6184309
108,108,0.61840194
109,109,0.61837345
110,110,0.6183451
111,111,0.6183166
112,112,0.6182877
113,113,0.6182583
114,114,0.6182286
115,115,0.6181989
116,116,0.61816925
117,117,0.6181396
118,118,0.61810976
119,119,0.61807936
120,120,0.61804813
121,121,0.618016
122,122,0.61798304
123,123,0.61794883
124,124,0.6179116
125,125,0.6178674
126,126,0.6178045
127,127,0.6176653
128,128,0.61743444
129,129,0.6173792
130,130,0.6174664
131,131,0.61761475
132,132,0.6175051
133,133,0.6173158
134,134,0.61717284
135,135,0.6170909
136,136,0.6170664
137,137,0.6170769
138,138,0.6170914
139,139,0.6170535
140,140,0.6169465
141,141,0.61683863
142,142,0.61683095
143,143,0.6169
144,144,0.6169159
145,145,0.6168313
146,146,0.61674327
147,147,0.61671156
148,148,0.6167267
149,149,0.61674464
150,150,0.6167133
151,151,0.61663824
152,152,0.6165745
153,153,0.6165378
154,154,0.6165193
155,155,0.61650246
156,156,0.61646825
157,157,0.6164101
158,158,0.6163413
159,159,0.61627764
160,160,0.6162282
161,161,0.6161956
162,162,0.61617637
163,163,0.6161616
164,164,0.6161388
165,165,0.6161
166,166,0.61605245
167,167,0.61600834
168,168,0.61597455
169,169,0.6159518
170,170,0.6159374
171,171,0.6159274
172,172,0.61591756
173,173,0.6159046
174,174,0.6158879
175,175,0.6158697
176,176,0.61585325
177,177,0.61584085
178,178,0.6158331
179,179,0.6158289
180,180,0.61582506
181,181,0.61581796
182,182,0.6158049
183,183,0.61578614
184,184,0.61576474
185,185,0.6157445
186,186,0.6157277
187,187,0.6157154
188,188,0.6157067
189,189,0.6156997
190,190,0.6156925
191,191,0.6156837
192,192,0.6156733
193,193,0.6156625
194,194,0.6156526
195,195,0.6156444
196,196,0.61563754
197,197,0.6156311
198,198,0.6156237
199,199,0.61561465
200,200,0.61560434
201,201,0.61559385
202,202,0.6155845
203,203,0.615577
204,204,0.6155713
205,205,0.61556673
206,206,0.6155621
207,207,0.6155565
208,208,0.61554956
209,209,0.61554164
210,210,0.61553353
211,211,0.6155257
212,212,0.61551833
213,213,0.6155111
214,214,0.6155035
215,215,0.615495
216,216,0.6154858
217,217,0.61547625
218,218,0.6154669
219,219,0.6154582
220,220,0.6154502
221,221,0.6154424
222,222,0.61543447
223,223,0.6154259
224,224,0.61541665
225,225,0.61540705
226,226,0.6153974
227,227,0.6153881
228,228,0.6153791
229,229,0.61537045
230,230,0.6153618
231,231,0.61535305
232,232,0.61534435
233,233,0.61533576
234,234,0.6153274
235,235,0.6153195
236,236,0.61531174
237,237,0.61530393
238,238,0.615296
239,239,0.6152879
240,240,0.6152796
241,241,0.61527145
242,242,0.6152635
243,243,0.6152559
244,244,0.6152485
245,245,0.6152412
246,246,0.61523396
247,247,0.6152267
248,248,0.6152194
249,249,0.6152124
250,250,0.6152055
251,251,0.6151988
252,252,0.61519223
253,253,0.6151857
254,254,0.6151791
255,255,0.61517256
256,256,0.61516607
257,257,0.6151597
258,258,0.6151534
259,259,0.61514705
260,260,0.61514074
261,261,0.61513436
262,262,0.61512786
263,263,0.61512136
264,264,0.61511487
265,265,0.6151084
266,266,0.6151018
267,267,0.6150952
268,268,0.61508846
269,269,0.6150816
270,270,0.61507463
271,271,0.6150676
272,272,0.61506057
273,273,0.61505353
274,274,0.61504644
275,275,0.61503935
276,276,0.61503226
277,277,0.61502516
278,278,0.6150181
279,279,0.6150111
280,280,0.61500406
281,281,0.61499697
282,282,0.6149898
283,283,0.61498255
284,284,0.6149753
285,285,0.614968
286,286,0.6149606
287,287,0.6149532
288,288,0.6149458
289,289,0.6149384
290,290,0.6149308
291,291,0.6149232
292,292,0.6149155
293,293,0.6149076
294,294,0.61489964
295,295,0.61489165
296,296,0.6148835
297,297,0.6148753
298,298,0.6148671
299,299,0.61485875
300,300,0.6148503
301,301,0.6148417
302,302,0.6148329
303,303,0.6148238
304,304,0.61481446
305,305,0.6148048
306,306,0.6147949
307,307,0.6147847
308,308,0.6147742
309,309,0.6147635
310,310,0.6147523
311,311,0.6147407
312,312,0.6147286
313,313,0.6147159
314,314,0.61470234
315,315,0.6146878
316,316,0.614672
317,317,0.61465454
318,318,0.6146349
319,319,0.61461204
320,320,0.61458427
321,321,0.6145482
322,322,0.6144945
323,323,0.6143882
324,324,0.614191
325,325,0.6139913
326,326,0.61384416
327,327,0.61376595
328,328,0.6137609
329,329,0.61379546
330,330,0.6138555
331,331,0.6139247
332,332,0.61385924
333,333,0.6137345
334,334,0.6136171
335,335,0.6135267
336,336,0.61346143
337,337,0.6134256
338,338,0.61342037
339,339,0.61344
340,340,0.61347157
341,341,0.6135024
342,342,0.6135342
343,343,0.6135822
344,344,0.6136343
345,345,0.61365396
346,346,0.61361957
347,347,0.61356807
348,348,0.61351997
349,349,0.6134809
350,350,0.6134538
351,351,0.61344
352,352,0.61344
353,353,0.6134536
354,354,0.6134821
355,355,0.613518
356,356,0.6135429
357,357,0.61355895
358,358,0.613562
359,359,0.6135501
360,360,0.61352843
361,361,0.61350423
362,362,0.61348283
363,363,0.61346674
364,364,0.61345637
365,365,0.61345166
366,366,0.613451
367,367,0.61345154
368,368,0.6134486
369,369,0.61343503
370,370,0.613404
371,371,0.6133555
372,372,0.6132971
373,373,0.6132371
374,374,0.613181
375,375,0.6131312
376,376,0.6130882
377,377,0.6130511
378,378,0.6130184
379,379,0.61298764
380,380,0.6129554
381,381,0.612918
382,382,0.6128745
383,383,0.6128284
384,384,0.6127841
385,385,0.6127438
386,386,0.61270744
387,387,0.61267334
388,388,0.6126391
389,389,0.6126023
390,390,0.61256087
391,391,0.6125142
392,392,0.61246336
393,393,0.61241096
394,394,0.61236
395,395,0.6123123
396,396,0.61226827
397,397,0.6122265
398,398,0.612185
399,399,0.6121423
400,400,0.6120996
401,401,0.61205924
402,402,0.6120231
403,403,0.61199236
404,404,0.61196727
405,405,0.61194736
406,406,0.61193115
407,407,0.6119166
408,408,0.6119026
409,409,0.6118893
410,410,0.6118785
411,411,0.6118719
412,412,0.6118705
413,413,0.6118747
414,414,0.6118834
415,415,0.6118951
416,416,0.6119081
417,417,0.6119202
418,418,0.6119201
419,419,0.6119186
420,420,0.61192274
421,421,0.61194015
422,422,0.6119592
423,423,0.61197275
424,424,0.6119821
425,425,0.61199754
426,426,0.61202145
427,427,0.6120456
428,428,0.6120663
429,429,0.612078
430,430,0.6120843
431,431,0.6120861
432,432,0.6120846
433,433,0.6120842
434,434,0.6120831
435,435,0.6120804
436,436,0.612081
437,437,0.6120879
438,438,0.61210126
439,439,0.61211777
440,440,0.6121329
441,441,0.6121425
442,442,0.6121436
443,443,0.6121362
444,444,0.6121223
445,445,0.61210424
446,446,0.6120868
447,447,0.61207426
448,448,0.6120685
449,449,0.6120685
450,450,0.61207205
451,451,0.6120765
452,452,0.6120779
453,453,0.61207336
454,454,0.612062
455,455,0.612045
456,456,0.6120264
457,457,0.61201006
458,458,0.6119984
459,459,0.6119914
460,460,0.6119884
461,461,0.6119888
462,462,0.61199075
463,463,0.61199284
464,464,0.611994
465,465,0.6119949
466,466,0.61199677
467,467,0.612001
468,468,0.612008
469,469,0.61201715
470,470,0.61202717
471,471,0.612036
472,472,0.6120424
473,473,0.612046
474,474,0.61204696
475,475,0.6120461
476,476,0.6120445
477,477,0.61204296
478,478,0.6120419
479,479,0.61204135
480,480,0.61204094
481,481,0.6120395
482,482,0.61203665
483,483,0.6120326
484,484,0.61202747
485,485,0.6120222
486,486,0.6120179
487,487,0.6120149
488,488,0.6120124
489,489,0.61200976
490,490,0.61200786
491,491,0.6120066
492,492,0.6120057
493,493,0.61200434
494,494,0.6120027
495,495,0.6120017
496,496,0.61200213
497,497,0.61200404
498,498,0.61200696
499,499,0.6120103
500,500,0.6120137
501,501,0.6120176
502,502,0.612022
503,503,0.6120266
504,504,0.61203
505,505,0.6120322
506,506,0.6120338
507,507,0.612035
508,508,0.6120354
509,509,0.61203474
510,510,0.61203367
511,511,0.61203223
512,512,0.61203116
513,513,0.6120307
514,514,0.61203
515,515,0.61202866
516,516,0.6120269
517,517,0.61202455
518,518,0.61202127
519,519,0.61201733
520,520,0.6120139
521,521,0.61201143
522,522,0.6120101
523,523,0.6120098
524,524,0.6120108
525,525,0.6120127
526,526,0.6120149
527,527,0.6120172
528,528,0.61201924
529,529,0.61202127
530,530,0.6120236
531,531,0.6120262
532,532,0.61202896
533,533,0.6120319
534,534,0.6120349
535,535,0.61203784
536,536,0.61204064
537,537,0.6120436
538,538,0.6120468
539,539,0.6120497
540,540,0.6120527
541,541,0.61205596
542,542,0.61205924
543,543,0.61206245
544,544,0.61206573
545,545,0.61206895
546,546,0.6120719
547,547,0.6120746
548,548,0.61207736
549,549,0.61207974
550,550,0.6120816
551,551,0.612083
552,552,0.6120844
553,553,0.6120859
554,554,0.61208737
555,555,0.612089
556,556,0.61209065
557,557,0.61209244
558,558,0.6120943
