,t,gamma
0,0.0,1.312405e-06
1,0.01,1.0914505e-06
2,0.02,9.156764e-07
3,0.03,7.830263e-07
4,0.04,6.936491e-07
5,0.05,6.412566e-07
6,0.06,6.2137843e-07
7,0.07,6.3136224e-07
8,0.08,6.7660216e-07
9,0.09,7.875264e-07
10,0.1,1.0327101e-06
11,0.11,1.5588702e-06
12,0.12,2.6344062e-06
13,0.13,4.6956543e-06
14,0.14,8.394212e-06
15,0.15,1.4560134e-05
16,0.16,2.4030538e-05
17,0.17,3.728685e-05
18,0.18,5.4004464e-05
19,0.19,7.292042e-05
20,0.2,9.241549e-05
21,0.21,0.00011149428
22,0.22,0.00013018302
23,0.23,0.00014894793
24,0.24,0.00016799758
25,0.25,0.00018718634
26,0.26,0.0002062969
27,0.27,0.00022523812
28,0.28,0.00024404381
29,0.29,0.00026280014
30,0.3,0.000281583
31,0.31,0.000300444
32,0.32,0.00031939935
33,0.33,0.00033844303
34,0.34,0.00035756093
35,0.35,0.00037673008
36,0.36,0.00039592653
37,0.37,0.00041513113
38,0.38,0.0004343298
39,0.39,0.00045350767
40,0.4,0.00047265898
41,0.41,0.00049177563
42,0.42,0.00051085703
43,0.43,0.0005299038
44,0.44,0.0005489172
45,0.45,0.0005678994
46,0.46,0.000586856
47,0.47,0.0006057892
48,0.48,0.00062470546
49,0.49,0.00064361043
50,0.5,0.00066250894
51,0.51,0.0006814046
52,0.52,0.0007003013
53,0.53,0.00071920484
54,0.54,0.000738117
55,0.55,0.0007570436
56,0.56,0.00077598396
57,0.57,0.00079494383
58,0.58,0.00081392337
59,0.59,0.00083292567
60,0.6,0.0008519501
61,0.61,0.0008709991
62,0.62,0.00089007034
63,0.63,0.00090916577
64,0.64,0.00092828384
65,0.65,0.0009474228
66,0.66,0.00096657866
67,0.67,0.0009857493
68,0.68,0.0010049323
69,0.69,0.0010241207
70,0.7,0.001043309
71,0.71,0.0010624918
72,0.72,0.0010816625
73,0.73,0.0011008135
74,0.74,0.001119938
75,0.75,0.0011390308
76,0.76,0.0011580875
77,0.77,0.0011771043
78,0.78,0.0011960835
79,0.79,0.0012150288
80,0.8,0.0012339486
81,0.81,0.0012528568
82,0.82,0.0012717672
83,0.83,0.0012906989
84,0.84,0.0013096699
85,0.85,0.0013286939
86,0.86,0.0013477812
87,0.87,0.0013669308
88,0.88,0.001386127
89,0.89,0.0014053442
90,0.9,0.0014245441
91,0.91,0.0014436845
92,0.92,0.0014627329
93,0.93,0.0014816851
94,0.94,0.001500596
95,0.95,0.0015195794
96,0.96,0.0015388082
97,0.97,0.001558398
98,0.98,0.0015781224
99,0.99,0.0015968676
100,1.0,0.0016121541
101,1.0,0.0016121541
102,1.02,0.0016233698
103,1.04,0.0016219189
104,1.06,0.001625414
105,1.08,0.0016304556
106,1.1,0.0016323562
107,1.12,0.0016310497
108,1.14,0.0016284083
109,1.16,0.0016261974
110,1.18,0.0016256154
111,1.2,0.0016273719
112,1.22,0.0016318455
113,1.24,0.0016392127
114,1.26,0.0016495257
115,1.28,0.0016627619
116,1.3,0.0016788607
117,1.32,0.0016977373
118,1.34,0.0017192954
