,epochs,SY0
0,0,0.6044096
1,1,0.6047119
2,2,0.6050174
3,3,0.6053106
4,4,0.605599
5,5,0.6058839
6,6,0.606166
7,7,0.606445
8,8,0.60672003
9,9,0.6069895
10,10,0.6072516
11,11,0.60750526
12,12,0.6077495
13,13,0.6079814
14,14,0.6081967
15,15,0.6083931
16,16,0.6085722
17,17,0.6087395
18,18,0.60890216
19,19,0.6090659
20,20,0.60923415
21,21,0.6094077
22,22,0.6095852
23,23,0.6097644
24,24,0.60994244
25,25,0.61011636
26,26,0.6102826
27,27,0.61043656
28,28,0.610573
29,29,0.61068755
30,30,0.6107794
31,31,0.6108515
32,32,0.6109097
33,33,0.61096025
34,34,0.6110077
35,35,0.61105293
36,36,0.611094
37,37,0.6111276
38,38,0.61115056
39,39,0.61116016
40,40,0.6111549
41,41,0.6111343
42,42,0.6110993
43,43,0.61105186
44,44,0.61099434
45,45,0.6109288
46,46,0.61085594
47,47,0.61077553
48,48,0.61068696
49,49,0.6105898
50,50,0.61048454
51,51,0.6103721
52,52,0.61025405
53,53,0.61013156
54,54,0.61000586
55,55,0.60987747
56,56,0.6097465
57,57,0.6096122
58,58,0.60947347
59,59,0.6093298
60,60,0.6091819
61,61,0.60903126
62,62,0.60888016
63,63,0.60873073
64,64,0.60858434
65,65,0.60844123
66,66,0.6083008
67,67,0.60816175
68,68,0.6080228
69,69,0.60788316
70,70,0.6077428
71,71,0.60760224
72,72,0.6074621
73,73,0.607323
74,74,0.6071847
75,75,0.60704696
76,76,0.6069091
77,77,0.60677063
78,78,0.6066316
79,79,0.6064921
80,80,0.60635275
81,81,0.606214
82,82,0.6060761
83,83,0.60593927
84,84,0.6058033
85,85,0.60566825
86,86,0.6055342
87,87,0.6054015
88,88,0.6052705
89,89,0.60514146
90,90,0.6050147
91,91,0.6048903
92,92,0.60476834
93,93,0.60464877
94,94,0.6045316
95,95,0.6044168
96,96,0.6043043
97,97,0.604194
98,98,0.6040858
99,99,0.60397947
100,100,0.60387504
101,101,0.6037725
102,102,0.603672
103,103,0.60357356
104,104,0.6034772
105,105,0.6033826
106,106,0.6032896
107,107,0.60319775
108,108,0.6031068
109,109,0.6030167
110,110,0.6029274
111,111,0.60283905
112,112,0.602752
113,113,0.6026662
114,114,0.60258186
115,115,0.6024988
116,116,0.6024171
117,117,0.6023366
118,118,0.6022572
119,119,0.6021789
120,120,0.6021018
121,121,0.602026
122,122,0.60195154
123,123,0.60187864
124,124,0.6018073
125,125,0.60173756
126,126,0.6016694
127,127,0.60160273
128,128,0.6015376
129,129,0.60147387
130,130,0.60141164
131,131,0.6013509
132,132,0.60129166
133,133,0.6012341
134,134,0.60117805
135,135,0.6011237
136,136,0.6010709
137,137,0.6010196
138,138,0.6009699
139,139,0.60092163
140,140,0.6008749
141,141,0.60082966
142,142,0.60078585
143,143,0.60074353
144,144,0.6007027
145,145,0.6006633
146,146,0.60062534
147,147,0.6005887
148,148,0.60055333
149,149,0.6005193
150,150,0.6004866
151,151,0.600455
152,152,0.60042465
153,153,0.6003955
154,154,0.6003675
155,155,0.60034066
156,156,0.600315
157,157,0.60029036
158,158,0.6002669
159,159,0.6002444
160,160,0.600223
161,161,0.6002025
162,162,0.60018295
163,163,0.60016435
164,164,0.60014653
165,165,0.6001296
166,166,0.60011345
167,167,0.600098
168,168,0.6000833
169,169,0.60006917
170,170,0.60005563
171,171,0.6000427
172,172,0.60003024
173,173,0.6000182
174,174,0.60000664
175,175,0.59999543
176,176,0.5999846
177,177,0.59997404
178,178,0.59996384
179,179,0.59995383
180,180,0.59994406
181,181,0.5999345
182,182,0.5999252
183,183,0.599916
184,184,0.5999069
185,185,0.599898
186,186,0.5998891
187,187,0.5998803
188,188,0.5998716
189,189,0.5998629
190,190,0.59985423
191,191,0.5998456
192,192,0.599837
193,193,0.5998285
194,194,0.59981996
195,195,0.5998115
196,196,0.59980303
197,197,0.59979457
198,198,0.5997861
199,199,0.59977764
200,200,0.5997692
201,201,0.5997607
202,202,0.59975225
203,203,0.5997437
204,204,0.59973526
205,205,0.5997268
206,206,0.59971833
207,207,0.59970987
208,208,0.59970146
209,209,0.599693
210,210,0.5996846
211,211,0.5996763
212,212,0.599668
213,213,0.5996599
214,214,0.59965193
215,215,0.59964406
216,216,0.59963644
217,217,0.59962904
218,218,0.5996219
219,219,0.5996151
220,220,0.5996086
221,221,0.5996025
222,222,0.5995968
223,223,0.5995915
224,224,0.5995866
225,225,0.59958214
226,226,0.59957814
227,227,0.5995745
228,228,0.59957135
229,229,0.59956867
230,230,0.59956646
231,231,0.59956473
232,232,0.59956354
233,233,0.5995629
234,234,0.5995626
235,235,0.59956264
236,236,0.59956306
237,237,0.5995637
238,238,0.5995646
239,239,0.5995658
240,240,0.5995671
241,241,0.59956867
242,242,0.59957033
243,243,0.59957206
244,244,0.59957385
245,245,0.5995757
246,246,0.59957755
247,247,0.5995794
248,248,0.59958124
249,249,0.5995831
250,250,0.59958494
251,251,0.5995868
252,252,0.59958863
253,253,0.59959054
254,254,0.59959245
255,255,0.59959435
256,256,0.59959626
257,257,0.59959817
258,258,0.5996001
259,259,0.59960204
260,260,0.599604
261,261,0.599606
262,262,0.5996079
263,263,0.59960985
264,264,0.59961176
265,265,0.59961367
266,266,0.5996156
267,267,0.5996174
268,268,0.59961927
269,269,0.59962106
270,270,0.59962285
271,271,0.5996246
272,272,0.5996263
273,273,0.599628
274,274,0.59962964
275,275,0.59963125
276,276,0.59963286
277,277,0.59963447
278,278,0.599636
279,279,0.5996376
280,280,0.5996392
281,281,0.5996407
282,282,0.5996422
283,283,0.5996437
284,284,0.5996452
285,285,0.5996467
286,286,0.5996482
287,287,0.5996496
288,288,0.59965104
289,289,0.5996525
290,290,0.59965396
291,291,0.5996554
292,292,0.5996568
293,293,0.59965825
294,294,0.5996597
295,295,0.5996611
296,296,0.5996626
297,297,0.5996641
298,298,0.5996655
299,299,0.599667
300,300,0.5996685
301,301,0.59967005
302,302,0.59967154
303,303,0.59967303
304,304,0.5996746
305,305,0.5996761
306,306,0.59967756
307,307,0.5996791
308,308,0.5996806
309,309,0.5996821
310,310,0.59968364
311,311,0.5996851
312,312,0.59968656
313,313,0.59968805
314,314,0.5996895
315,315,0.599691
316,316,0.59969246
317,317,0.59969395
318,318,0.5996954
319,319,0.5996968
320,320,0.59969825
321,321,0.5996997
322,322,0.59970105
323,323,0.5997025
324,324,0.59970385
325,325,0.5997053
326,326,0.59970665
327,327,0.599708
328,328,0.59970933
329,329,0.59971064
330,330,0.59971195
331,331,0.59971327
332,332,0.5997145
333,333,0.59971577
334,334,0.59971696
335,335,0.59971815
336,336,0.5997193
337,337,0.5997204
338,338,0.59972143
339,339,0.59972245
340,340,0.59972334
341,341,0.5997241
342,342,0.5997248
343,343,0.5997254
344,344,0.5997259
345,345,0.59972626
346,346,0.5997265
347,347,0.5997267
348,348,0.5997267
