,epochs,lmbd
0,0,0.5767067
1,1,0.5769806
2,2,0.5772508
3,3,0.5775128
4,4,0.5777618
5,5,0.577993
6,6,0.57820195
7,7,0.57838583
8,8,0.57854426
9,9,0.57867897
10,10,0.57879394
11,11,0.5788944
12,12,0.57898617
13,13,0.57907546
14,14,0.57916766
15,15,0.57926744
16,16,0.5793778
17,17,0.57950044
18,18,0.5796353
19,19,0.5797814
20,20,0.5799365
21,21,0.5800979
22,22,0.5802626
23,23,0.5804272
24,24,0.5805886
25,25,0.580744
26,26,0.5808914
27,27,0.5810294
28,28,0.581158
29,29,0.5812778
30,30,0.5813905
31,31,0.5814982
32,32,0.58160365
33,33,0.581709
34,34,0.5818165
35,35,0.5819275
36,36,0.58204275
37,37,0.5821622
38,38,0.58228517
39,39,0.58241034
40,40,0.582536
41,41,0.5826604
42,42,0.5827815
43,43,0.58289784
44,44,0.5830084
45,45,0.5831128
46,46,0.583211
47,47,0.5833039
48,48,0.5833926
49,49,0.58347857
50,50,0.583563
51,51,0.58364683
52,52,0.5837298
53,53,0.5838096
54,54,0.5838824
55,55,0.5839429
56,56,0.5839859
57,57,0.5840073
58,58,0.5840051
59,59,0.58397996
60,60,0.5839349
61,61,0.5838752
62,62,0.58380693
63,63,0.5837369
64,64,0.5836714
65,65,0.5836158
66,66,0.58357316
67,67,0.5835444
68,68,0.5835275
69,69,0.5835189
70,70,0.5835133
71,71,0.58350545
72,72,0.5834907
73,73,0.5834658
74,74,0.5834297
75,75,0.58338326
76,76,0.58332926
77,77,0.58327174
78,78,0.583215
79,79,0.5831631
80,80,0.5831191
81,81,0.5830845
82,82,0.58305913
83,83,0.58304113
84,84,0.5830274
85,85,0.5830143
86,86,0.58299804
87,87,0.5829754
88,88,0.58294404
89,89,0.58290285
90,90,0.58285207
91,91,0.58279276
92,92,0.58272696
93,93,0.5826569
94,94,0.5825851
95,95,0.58251345
96,96,0.5824434
97,97,0.5823754
98,98,0.582309
99,99,0.58224344
100,100,0.58217734
101,101,0.58210933
102,102,0.5820383
103,103,0.5819638
104,104,0.58188576
105,105,0.58180475
106,106,0.58172184
107,107,0.58163816
108,108,0.58155507
109,109,0.58147377
110,110,0.581395
111,111,0.58131915
112,112,0.5812464
113,113,0.5811764
114,114,0.5811088
115,115,0.5810432
116,116,0.58097893
117,117,0.58091575
118,118,0.58085334
119,119,0.5807916
120,120,0.5807305
121,121,0.58067024
122,122,0.5806108
123,123,0.5805524
124,124,0.5804951
125,125,0.58043903
126,126,0.5803841
127,127,0.58033025
128,128,0.58027756
129,129,0.580226
130,130,0.58017564
131,131,0.5801264
132,132,0.58007836
133,133,0.5800316
134,134,0.57998586
135,135,0.57994115
136,136,0.57989746
137,137,0.5798546
138,138,0.5798124
139,139,0.57977086
140,140,0.57973
141,141,0.5796898
142,142,0.5796504
143,143,0.579612
144,144,0.57957464
145,145,0.57953835
146,146,0.5795031
147,147,0.57946885
148,148,0.57943547
149,149,0.5794029
150,150,0.5793711
151,151,0.57933986
152,152,0.5793092
153,153,0.57927907
154,154,0.5792496
155,155,0.579221
156,156,0.5791934
157,157,0.5791668
158,158,0.57914156
159,159,0.57911736
160,160,0.5790943
161,161,0.57907206
162,162,0.57905066
163,163,0.5790299
164,164,0.57900965
165,165,0.5789899
166,166,0.5789707
167,167,0.578952
168,168,0.5789339
169,169,0.57891643
170,170,0.5788997
171,171,0.5788837
172,172,0.5788683
173,173,0.57885355
174,174,0.5788393
175,175,0.5788254
176,176,0.578812
177,177,0.5787989
178,178,0.5787862
179,179,0.5787739
180,180,0.57876223
181,181,0.578751
182,182,0.57874054
183,183,0.5787306
184,184,0.5787212
185,185,0.5787124
186,186,0.57870406
187,187,0.57869613
188,188,0.57868856
189,189,0.5786812
190,190,0.5786741
191,191,0.5786672
192,192,0.57866067
193,193,0.5786544
194,194,0.57864857
195,195,0.57864296
196,196,0.5786377
197,197,0.57863283
198,198,0.57862824
199,199,0.5786237
200,200,0.5786194
201,201,0.5786152
202,202,0.57861114
203,203,0.57860714
204,204,0.5786032
205,205,0.5785994
206,206,0.5785957
207,207,0.5785921
208,208,0.5785886
209,209,0.57858515
210,210,0.57858175
211,211,0.57857853
212,212,0.57857525
213,213,0.57857203
214,214,0.5785688
215,215,0.57856554
216,216,0.5785623
217,217,0.57855916
218,218,0.5785561
219,219,0.57855314
220,220,0.5785503
221,221,0.5785474
222,222,0.5785447
223,223,0.57854193
224,224,0.57853925
225,225,0.5785365
226,226,0.5785338
227,227,0.5785312
228,228,0.5785286
229,229,0.5785261
230,230,0.5785236
231,231,0.5785212
232,232,0.5785188
233,233,0.57851654
234,234,0.57851434
235,235,0.5785122
236,236,0.57851017
237,237,0.5785081
238,238,0.57850593
239,239,0.5785038
240,240,0.5785016
241,241,0.5784994
242,242,0.5784972
243,243,0.57849497
244,244,0.5784928
245,245,0.5784907
246,246,0.5784886
247,247,0.57848644
248,248,0.5784843
