,epochs,lmbd
0,0,0.8349565
1,1,0.8353541
2,2,0.8357471
3,3,0.8361303
4,4,0.8364977
5,5,0.836843
6,6,0.8371594
7,7,0.83744115
8,8,0.83768374
9,9,0.83788556
10,10,0.83804744
11,11,0.8381731
12,12,0.838268
13,13,0.8383393
14,14,0.83839476
15,15,0.83844227
16,16,0.8384895
17,17,0.83854276
18,18,0.8386073
19,19,0.8386865
20,20,0.83878225
21,21,0.83889425
22,22,0.83902097
23,23,0.8391596
24,24,0.8393064
25,25,0.83945704
26,26,0.8396065
27,27,0.8397501
28,28,0.8398831
29,29,0.8400014
30,30,0.8401019
31,31,0.84018284
32,32,0.84024364
33,33,0.84028494
34,34,0.8403086
35,35,0.8403173
36,36,0.8403143
37,37,0.84030324
38,38,0.84028745
39,39,0.8402701
40,40,0.84025353
41,41,0.8402395
42,42,0.8402288
43,43,0.8402211
44,44,0.8402158
45,45,0.8402115
46,46,0.8402065
47,47,0.84019876
48,48,0.8401862
49,49,0.84016687
50,50,0.8401393
51,51,0.8401025
52,52,0.8400561
53,53,0.84000045
54,54,0.83993644
55,55,0.8398657
56,56,0.83979005
57,57,0.8397115
58,58,0.83963215
59,59,0.83955383
60,60,0.8394779
61,61,0.8394054
62,62,0.83933717
63,63,0.83927315
64,64,0.8392133
65,65,0.8391568
66,66,0.8391028
67,67,0.8390501
68,68,0.8389977
69,69,0.8389446
70,70,0.83889
71,71,0.83883345
72,72,0.838775
73,73,0.8387149
74,74,0.8386539
75,75,0.8385928
76,76,0.83853275
77,77,0.8384747
78,78,0.83841926
79,79,0.8383671
80,80,0.83831847
81,81,0.8382733
82,82,0.83823115
83,83,0.83819157
84,84,0.8381536
85,85,0.8381167
86,86,0.83808005
87,87,0.8380432
88,88,0.83800614
89,89,0.8379687
90,90,0.83793133
91,91,0.83789474
92,92,0.8378595
93,93,0.83782625
94,94,0.8377956
95,95,0.8377679
96,96,0.8377432
97,97,0.8377216
98,98,0.83770263
99,99,0.83768594
100,100,0.8376711
101,101,0.8376575
102,102,0.8376448
103,103,0.8376328
104,104,0.837621
105,105,0.8376095
106,106,0.8375983
107,107,0.83758754
108,108,0.83757746
109,109,0.8375683
110,110,0.8375601
111,111,0.83755314
112,112,0.83754724
113,113,0.83754236
114,114,0.83753824
115,115,0.8375347
116,116,0.8375317
117,117,0.83752877
118,118,0.83752596
119,119,0.837523
120,120,0.8375199
121,121,0.8375168
122,122,0.8375136
123,123,0.8375105
124,124,0.8375075
125,125,0.8375047
126,126,0.8375021
127,127,0.83749974
128,128,0.83749753
129,129,0.8374953
130,130,0.83749324
131,131,0.83749104
132,132,0.83748883
133,133,0.8374866
134,134,0.83748436
135,135,0.83748204
136,136,0.83747965
137,137,0.8374774
138,138,0.83747506
139,139,0.83747286
140,140,0.83747077
141,141,0.8374688
142,142,0.837467
143,143,0.8374654
144,144,0.837464
145,145,0.8374627
146,146,0.8374615
147,147,0.8374604
148,148,0.8374593
149,149,0.8374582
150,150,0.837457
151,151,0.8374557
152,152,0.8374542
153,153,0.83745253
154,154,0.8374506
155,155,0.8374486
156,156,0.8374465
157,157,0.8374443
158,158,0.83744216
159,159,0.83744
160,160,0.8374379
161,161,0.83743596
162,162,0.83743405
163,163,0.8374324
164,164,0.83743066
165,165,0.837429
166,166,0.83742726
167,167,0.8374255
168,168,0.83742356
169,169,0.83742166
170,170,0.8374198
171,171,0.83741796
172,172,0.8374163
173,173,0.8374147
174,174,0.8374132
175,175,0.8374118
176,176,0.8374104
177,177,0.8374091
178,178,0.8374077
179,179,0.8374062
180,180,0.8374047
181,181,0.837403
182,182,0.8374011
183,183,0.8373991
184,184,0.83739716
185,185,0.837395
186,186,0.83739287
187,187,0.83739066
188,188,0.8373886
189,189,0.8373864
190,190,0.83738434
191,191,0.8373824
192,192,0.83738035
193,193,0.83737844
194,194,0.8373768
195,195,0.8373753
196,196,0.8373741
197,197,0.83737326
198,198,0.8373728
199,199,0.83737266
200,200,0.8373729
201,201,0.8373734
202,202,0.8373741
203,203,0.83737487
204,204,0.8373759
205,205,0.8373769
206,206,0.83737797
207,207,0.83737916
208,208,0.83738047
209,209,0.83738196
210,210,0.83738357
211,211,0.8373855
212,212,0.83738756
213,213,0.83738977
214,214,0.83739215
215,215,0.83739465
216,216,0.83739716
217,217,0.83739954
218,218,0.8374018
219,219,0.837404
220,220,0.8374061
221,221,0.837408
222,222,0.8374099
223,223,0.8374117
224,224,0.8374134
225,225,0.8374151
226,226,0.83741677
227,227,0.8374184
228,228,0.83742
229,229,0.83742136
230,230,0.83742255
231,231,0.83742356
232,232,0.8374244
233,233,0.8374249
234,234,0.8374253
235,235,0.8374255
236,236,0.83742565
237,237,0.83742577
238,238,0.8374259
239,239,0.8374259
240,240,0.83742577
241,241,0.83742565
242,242,0.8374256
243,243,0.83742535
244,244,0.8374252
245,245,0.837425
246,246,0.8374249
247,247,0.83742476
248,248,0.83742476
249,249,0.8374249
250,250,0.837425
251,251,0.83742505
252,252,0.8374252
253,253,0.8374252
254,254,0.8374252
255,255,0.8374252
256,256,0.8374252
257,257,0.8374253
258,258,0.8374255
259,259,0.83742565
260,260,0.83742595
261,261,0.83742625
262,262,0.83742654
263,263,0.8374268
264,264,0.83742696
265,265,0.8374271
266,266,0.8374272
267,267,0.83742726
268,268,0.8374275
269,269,0.8374277
270,270,0.83742785
271,271,0.83742815
272,272,0.8374284
273,273,0.83742857
274,274,0.83742875
275,275,0.837429
276,276,0.83742905
277,277,0.83742917
278,278,0.8374293
279,279,0.8374293
280,280,0.83742934
281,281,0.83742946
282,282,0.8374296
283,283,0.83742964
284,284,0.8374299
285,285,0.83743006
286,286,0.83743036
287,287,0.83743066
288,288,0.83743095
289,289,0.83743125
290,290,0.83743155
291,291,0.8374318
292,292,0.8374321
293,293,0.8374324
294,294,0.8374327
295,295,0.83743304
296,296,0.8374336
297,297,0.83743405
298,298,0.83743453
299,299,0.83743507
300,300,0.83743554
301,301,0.8374361
302,302,0.83743644
303,303,0.83743685
304,304,0.8374373
305,305,0.83743775
306,306,0.8374382
307,307,0.8374388
308,308,0.83743936
309,309,0.83743984
310,310,0.83744025
311,311,0.83744067
312,312,0.83744115
313,313,0.8374416
314,314,0.83744216
315,315,0.8374425
316,316,0.83744293
317,317,0.83744323
318,318,0.8374434
319,319,0.83744353
320,320,0.83744365
321,321,0.8374437
322,322,0.8374438
323,323,0.83744395
324,324,0.837444
325,325,0.8374441
326,326,0.83744425
327,327,0.8374443
328,328,0.8374443
329,329,0.8374443
330,330,0.83744425
331,331,0.8374441
332,332,0.837444
333,333,0.83744395
334,334,0.8374438
335,335,0.8374438
336,336,0.83744395
337,337,0.8374441
338,338,0.8374444
339,339,0.8374447
340,340,0.83744496
341,341,0.83744514
342,342,0.8374453
343,343,0.8374456
344,344,0.8374459
345,345,0.8374462
346,346,0.83744663
347,347,0.83744705
348,348,0.8374474
349,349,0.8374477
350,350,0.83744794
351,351,0.837448
352,352,0.8374481
353,353,0.8374481
354,354,0.837448
355,355,0.8374478
356,356,0.8374475
357,357,0.8374471
358,358,0.83744675
359,359,0.8374462
360,360,0.8374456
361,361,0.83744496
362,362,0.8374441
363,363,0.83744323
364,364,0.83744216
365,365,0.83744097
366,366,0.8374397
367,367,0.83743846
368,368,0.83743715
369,369,0.83743584
370,370,0.8374345
371,371,0.83743304
372,372,0.83743155
373,373,0.83743006
374,374,0.83742845
375,375,0.83742684
376,376,0.8374253
377,377,0.8374238
378,378,0.83742225
379,379,0.83742076
380,380,0.8374193
381,381,0.8374179
382,382,0.83741647
383,383,0.8374151
384,384,0.83741367
385,385,0.8374124
386,386,0.8374112
387,387,0.83741003
388,388,0.8374088
389,389,0.8374077
390,390,0.83740664
391,391,0.8374056
392,392,0.8374047
393,393,0.83740383
394,394,0.837403
395,395,0.8374022
396,396,0.83740145
397,397,0.83740073
398,398,0.8374
399,399,0.8373993
400,400,0.8373987
401,401,0.8373981
402,402,0.83739763
403,403,0.83739716
404,404,0.8373966
405,405,0.83739614
406,406,0.8373956
407,407,0.83739525
408,408,0.83739483
409,409,0.8373944
410,410,0.83739406
411,411,0.83739364
412,412,0.8373932
413,413,0.83739287
414,414,0.83739233
415,415,0.8373919
416,416,0.8373916
417,417,0.8373913
418,418,0.83739096
419,419,0.83739054
420,420,0.8373901
421,421,0.83738977
422,422,0.83738935
423,423,0.83738893
424,424,0.8373886
425,425,0.8373882
426,426,0.8373879
427,427,0.83738774
428,428,0.83738774
429,429,0.8373879
430,430,0.83738834
431,431,0.8373889
432,432,0.8373895
433,433,0.8373904
434,434,0.83739144
435,435,0.8373925
436,436,0.83739364
437,437,0.83739465
438,438,0.8373959
439,439,0.8373978
440,440,0.8374002
441,441,0.83740294
442,442,0.837405
443,443,0.8374058
444,444,0.8374052
445,445,0.8374037
446,446,0.8374024
447,447,0.8374021
448,448,0.83740324
449,449,0.83740574
450,450,0.837409
451,451,0.8374123
452,452,0.8374147
453,453,0.8374156
454,454,0.8374147
455,455,0.8374122
456,456,0.8374086
457,457,0.8374048
458,458,0.83740175
459,459,0.8373997
460,460,0.83739895
461,461,0.83739895
462,462,0.83739924
463,463,0.8373994
464,464,0.8373993
465,465,0.8373987
466,466,0.83739763
467,467,0.8373962
468,468,0.83739483
469,469,0.83739406
470,470,0.83739406
471,471,0.83739465
472,472,0.8373954
473,473,0.83739614
474,474,0.8373965
475,475,0.8373965
476,476,0.83739644
477,477,0.8373962
478,478,0.8373962
479,479,0.8373966
480,480,0.83739746
481,481,0.8373984
482,482,0.83739954
483,483,0.83740044
484,484,0.8374012
485,485,0.83740205
486,486,0.8374027
487,487,0.8374034
488,488,0.837404
489,489,0.8374047
490,490,0.8374056
491,491,0.8374065
492,492,0.8374076
493,493,0.8374087
494,494,0.8374097
495,495,0.8374105
496,496,0.8374112
497,497,0.8374118
498,498,0.8374123
499,499,0.8374128
500,500,0.8374131
501,501,0.8374131
502,502,0.8374127
503,503,0.8374117
504,504,0.83741033
505,505,0.8374088
506,506,0.8374075
507,507,0.8374067
508,508,0.83740634
509,509,0.8374062
510,510,0.8374064
511,511,0.83740664
512,512,0.8374067
513,513,0.83740664
514,514,0.83740634
515,515,0.83740604
516,516,0.8374059
517,517,0.8374059
518,518,0.83740634
519,519,0.837407
520,520,0.837408
521,521,0.8374092
522,522,0.8374105
523,523,0.8374119
524,524,0.8374133
525,525,0.8374149
526,526,0.83741647
527,527,0.8374181
528,528,0.83741957
529,529,0.83742076
530,530,0.83742166
531,531,0.8374224
532,532,0.8374228
533,533,0.8374232
534,534,0.8374237
535,535,0.8374244
536,536,0.8374252
537,537,0.83742595
538,538,0.8374265
539,539,0.83742666
540,540,0.83742654
541,541,0.83742625
542,542,0.83742595
543,543,0.8374259
544,544,0.83742607
545,545,0.8374265
546,546,0.8374271
547,547,0.83742756
548,548,0.83742785
549,549,0.837428
550,550,0.8374281
551,551,0.83742887
552,552,0.83743083
553,553,0.8374339
554,554,0.83743733
555,555,0.83744055
556,556,0.83744335
557,557,0.8374459
558,558,0.8374483
559,559,0.83745074
560,560,0.8374533
561,561,0.8374563
562,562,0.8374601
563,563,0.83746576
564,564,0.8374733
565,565,0.83748066
566,566,0.8374854
567,567,0.83748597
568,568,0.83748305
569,569,0.83747965
570,570,0.8374799
571,571,0.8374863
572,572,0.8374977
573,573,0.8375088
574,574,0.837514
575,575,0.8375104
576,576,0.8374992
577,577,0.83748513
578,578,0.837474
579,579,0.8374699
580,580,0.83747387
581,581,0.8374842
582,582,0.83749634
583,583,0.8375048
584,584,0.83750504
585,585,0.83749545
586,586,0.8374783
587,587,0.8374589
588,588,0.8374443
589,589,0.8374391
590,590,0.8374437
591,591,0.8374543
592,592,0.8374651
593,593,0.8374712
594,594,0.8374705
595,595,0.8374646
596,596,0.837457
597,597,0.83745164
598,598,0.8374509
599,599,0.8374559
600,600,0.8374653
601,601,0.83747596
602,602,0.83748454
603,603,0.83748794
604,604,0.83748525
605,605,0.83747816
606,606,0.8374709
607,607,0.8374674
608,608,0.83746976
609,609,0.83747715
610,610,0.837486
611,611,0.83749247
612,612,0.83749366
613,613,0.83748925
614,614,0.83748126
615,615,0.83747256
616,616,0.8374665
617,617,0.8374646
618,618,0.8374669
619,619,0.8374715
620,620,0.8374756
621,621,0.8374765
622,622,0.837473
623,623,0.837466
624,624,0.837458
625,625,0.83745193
626,626,0.83744985
627,627,0.8374518
628,628,0.8374563
629,629,0.8374608
630,630,0.8374631
631,631,0.8374622
632,632,0.8374586
633,633,0.8374539
634,634,0.8374502
635,635,0.837449
636,636,0.8374508
637,637,0.83745474
638,638,0.8374591
639,639,0.8374625
640,640,0.8374639
641,641,0.8374636
642,642,0.8374625
643,643,0.8374618
644,644,0.8374623
645,645,0.8374642
646,646,0.8374669
647,647,0.8374696
648,648,0.8374716
649,649,0.83747256
650,650,0.8374725
651,651,0.8374718
652,652,0.8374712
653,653,0.8374712
654,654,0.8374719
655,655,0.8374731
656,656,0.8374743
657,657,0.8374753
658,658,0.83747566
659,659,0.8374755
660,660,0.837475
661,661,0.83747435
662,662,0.83747387
663,663,0.8374737
664,664,0.8374737
665,665,0.83747387
666,666,0.83747417
667,667,0.83747435
668,668,0.8374743
669,669,0.837474
670,670,0.8374734
671,671,0.8374728
672,672,0.8374724
673,673,0.8374722
674,674,0.83747226
675,675,0.83747256
676,676,0.83747286
677,677,0.8374731
678,678,0.83747286
679,679,0.8374724
680,680,0.8374719
681,681,0.8374716
682,682,0.8374716
683,683,0.8374718
684,684,0.8374721
685,685,0.8374725
686,686,0.8374727
687,687,0.8374728
688,688,0.8374727
689,689,0.8374725
690,690,0.8374724
691,691,0.83747256
692,692,0.837473
693,693,0.83747345
694,694,0.83747387
695,695,0.83747417
696,696,0.83747435
697,697,0.8374746
698,698,0.83747476
699,699,0.83747506
700,700,0.8374755
701,701,0.83747596
702,702,0.8374765
703,703,0.83747685
704,704,0.83747715
