,t,gamma
0,0.0,1.1079908e-06
1,0.01,2.1535159e-06
2,0.02,3.1457546e-06
3,0.03,4.086614e-06
4,0.04,4.9730543e-06
5,0.05,5.804241e-06
6,0.06,6.5795184e-06
7,0.07,7.2974567e-06
8,0.08,7.95728e-06
9,0.09,8.557678e-06
10,0.1,9.098769e-06
11,0.11,9.579957e-06
12,0.12,1.0001183e-05
13,0.13,1.0362984e-05
14,0.14,1.0666371e-05
15,0.15,1.0911942e-05
16,0.16,1.1102677e-05
17,0.17,1.1239589e-05
18,0.18,1.13275055e-05
19,0.19,1.13706e-05
20,0.2,1.1371911e-05
21,0.21,1.1339545e-05
22,0.22,1.1278451e-05
23,0.23,1.1197508e-05
24,0.24,1.1106134e-05
25,0.25,1.1013031e-05
26,0.26,1.0930598e-05
27,0.27,1.087004e-05
28,0.28,1.0846675e-05
29,0.29,1.0872424e-05
30,0.3,1.0964693e-05
31,0.31,1.1140228e-05
32,0.32,1.1417449e-05
33,0.33,1.1817456e-05
34,0.34,1.2365163e-05
35,0.35,1.3090968e-05
36,0.36,1.4032245e-05
37,0.37,1.5239657e-05
38,0.38,1.6780676e-05
39,0.39,1.8743576e-05
40,0.4,2.1235228e-05
41,0.41,2.4364175e-05
42,0.42,2.8192939e-05
43,0.43,3.2651245e-05
44,0.44,3.7427217e-05
45,0.45,4.1920546e-05
46,0.46,4.5436263e-05
47,0.47,4.7660233e-05
48,0.48,4.9100283e-05
49,0.49,5.096716e-05
50,0.5,5.4441723e-05
51,0.51,6.001711e-05
52,0.52,6.745741e-05
53,0.53,7.619211e-05
54,0.54,8.569375e-05
55,0.55,9.563354e-05
56,0.56,0.00010586328
57,0.57,0.00011634637
58,0.58,0.00012709323
59,0.59,0.00013812384
60,0.6,0.00014944864
61,0.61,0.00016107102
62,0.62,0.000172976
63,0.63,0.00018514652
64,0.64,0.00019755561
65,0.65,0.00021017854
66,0.66,0.00022298972
67,0.67,0.00023596443
68,0.68,0.00024908548
69,0.69,0.0002623346
70,0.7,0.00027570024
71,0.71,0.00028917316
72,0.72,0.0003027474
73,0.73,0.00031641946
74,0.74,0.0003301888
75,0.75,0.00034405378
76,0.76,0.00035801527
77,0.77,0.0003720718
78,0.78,0.0003862251
79,0.79,0.00040047235
80,0.8,0.0004148133
81,0.81,0.00042924154
82,0.82,0.0004437535
83,0.83,0.00045833772
84,0.84,0.00047298515
85,0.85,0.0004876828
86,0.86,0.00050241343
87,0.87,0.0005171545
88,0.88,0.00053188246
89,0.89,0.00054656784
90,0.9,0.0005611765
91,0.91,0.00057567173
92,0.92,0.0005900054
93,0.93,0.0006041292
94,0.94,0.00061798753
95,0.95,0.00063151855
96,0.96,0.0006446526
97,0.97,0.0006573184
98,0.98,0.0006694378
99,0.99,0.00068093237
100,1.0,0.0006917216
101,1.0,0.0006917216
102,1.02,0.00071087375
103,1.04,0.0007263447
104,1.06,0.00073779095
105,1.08,0.0007451858
106,1.1,0.0007488782
107,1.12,0.0007495127
108,1.14,0.00074786955
109,1.16,0.0007452967
110,1.18,0.00074563094
111,1.2,0.00074195804
112,1.22,0.00074168225
113,1.24,0.00073961593
114,1.26,0.00073921686
115,1.28,0.00073960685
116,1.3,0.0007396188
117,1.32,0.0007389439
118,1.34,0.0007376625
119,1.36,0.0007359637
120,1.38,0.0007340392
121,1.4,0.00073204376
122,1.42,0.0007300832
123,1.44,0.0007282235
124,1.46,0.0007265
125,1.48,0.0007249259
126,1.5,0.00072349794
127,1.52,0.00072220416
128,1.54,0.0007210256
129,1.56,0.00071994105
130,1.58,0.0007189286
131,1.6,0.00071796647
132,1.62,0.00071703247
133,1.64,0.0007161101
134,1.66,0.00071518234
135,1.68,0.0007142366
136,1.7,0.0007132637
137,1.72,0.0007122551
138,1.74,0.00071120926
139,1.76,0.0007101241
140,1.78,0.00070900284
141,1.8,0.00070784905
142,1.82,0.0007066688
143,1.84,0.0007054687
144,1.86,0.00070425705
145,1.88,0.0007030396
146,1.9,0.0007018218
147,1.92,0.0007006068
