,epochs,Hp
0,0,0.4446239
1,1,0.4444015
2,2,0.44418937
3,3,0.4439823
4,4,0.44376516
5,5,0.44355166
6,6,0.44334766
7,7,0.44315258
8,8,0.44296744
9,9,0.4427902
10,10,0.4426212
11,11,0.4424604
12,12,0.44230744
13,13,0.4421621
14,14,0.44202444
15,15,0.4418949
16,16,0.44177282
17,17,0.44165558
18,18,0.441541
19,19,0.44142902
20,20,0.44131997
21,21,0.4412138
22,22,0.44111028
23,23,0.44100904
24,24,0.44090983
25,25,0.44081268
26,26,0.44071785
27,27,0.44062558
28,28,0.44053593
29,29,0.44044864
30,30,0.44036326
31,31,0.4402798
32,32,0.44019884
33,33,0.44012088
34,34,0.44004565
35,35,0.43997234
36,36,0.43990013
37,37,0.4398288
38,38,0.43975857
39,39,0.4396896
40,40,0.43962163
41,41,0.43955415
42,42,0.43948674
43,43,0.43941945
44,44,0.4393527
45,45,0.4392868
46,46,0.43922174
47,47,0.43915725
48,48,0.43909323
49,49,0.43902993
50,50,0.43896785
51,51,0.43890715
52,52,0.43884757
53,53,0.43878874
54,54,0.43873054
55,55,0.43867314
56,56,0.43861678
57,57,0.43856126
58,58,0.43850622
59,59,0.43845147
60,60,0.43839714
61,61,0.4383436
62,62,0.43829092
63,63,0.43823895
64,64,0.4381876
65,65,0.43813694
66,66,0.43808728
67,67,0.4380388
68,68,0.43799147
69,69,0.43794513
70,70,0.43789968
71,71,0.43785518
72,72,0.43781173
73,73,0.43776926
74,74,0.43772757
75,75,0.4376865
76,76,0.43764606
77,77,0.43760628
78,78,0.43756717
79,79,0.4375287
80,80,0.4374907
81,81,0.43745324
82,82,0.4374164
83,83,0.4373803
84,84,0.43734497
85,85,0.43731028
86,86,0.43727627
87,87,0.43724304
88,88,0.43721062
89,89,0.43717894
90,90,0.43714795
91,91,0.43711755
92,92,0.43708786
93,93,0.43705884
94,94,0.43703052
95,95,0.43700284
96,96,0.43697575
97,97,0.43694928
98,98,0.4369236
99,99,0.43689865
100,100,0.43687442
101,101,0.43685094
102,102,0.43682817
103,103,0.4368062
104,104,0.43678498
105,105,0.43676445
106,106,0.43674457
107,107,0.43672535
108,108,0.4367068
109,109,0.43668896
110,110,0.43667176
111,111,0.4366552
112,112,0.43663925
113,113,0.4366239
114,114,0.43660924
115,115,0.43659517
116,116,0.43658176
117,117,0.43656898
118,118,0.4365568
119,119,0.43654516
120,120,0.43653402
121,121,0.43652335
122,122,0.43651304
123,123,0.43650314
124,124,0.43649355
125,125,0.43648425
126,126,0.4364752
127,127,0.43646637
128,128,0.4364578
129,129,0.43644953
130,130,0.43644154
131,131,0.4364339
132,132,0.43642667
133,133,0.43641984
134,134,0.43641347
