,t,gamma
0,0.0,1.5111269e-07
1,0.01,3.3868852e-07
2,0.02,5.1678717e-07
3,0.03,6.852299e-07
4,0.04,8.427054e-07
5,0.05,9.895117e-07
6,0.06,1.1258275e-06
7,0.07,1.2495071e-06
8,0.08,1.3618619e-06
9,0.09,1.4612228e-06
10,0.1,1.5477688e-06
11,0.11,1.6212613e-06
12,0.12,1.6806275e-06
13,0.13,1.7256887e-06
14,0.14,1.7565638e-06
15,0.15,1.7732532e-06
16,0.16,1.7747433e-06
17,0.17,1.7622859e-06
18,0.18,1.7346889e-06
19,0.19,1.6932637e-06
20,0.2,1.6371162e-06
21,0.21,1.5676171e-06
22,0.22,1.4850647e-06
23,0.23,1.3898165e-06
24,0.24,1.2835413e-06
25,0.25,1.1666567e-06
26,0.26,1.0405928e-06
27,0.27,9.070784e-07
28,0.28,7.6730555e-07
29,0.29,6.24314e-07
30,0.3,4.798323e-07
31,0.31,3.3791366e-07
32,0.32,2.0159781e-07
33,0.33,7.523597e-08
34,0.34,-3.5986307e-08
35,0.35,-1.2515486e-07
36,0.36,-1.845807e-07
37,0.37,-2.0615758e-07
38,0.38,-1.7891826e-07
39,0.39,-8.969009e-08
40,0.4,7.607043e-08
41,0.41,3.3392013e-07
42,0.42,7.0251525e-07
43,0.43,1.2036115e-06
44,0.44,1.8569381e-06
45,0.45,2.6852042e-06
46,0.46,3.7082584e-06
47,0.47,4.9422533e-06
48,0.48,6.393269e-06
49,0.49,8.051173e-06
50,0.5,9.882107e-06
51,0.51,1.1811928e-05
52,0.52,1.3713971e-05
53,0.53,1.5394942e-05
54,0.54,1.6605572e-05
55,0.55,1.7110244e-05
56,0.56,1.688321e-05
57,0.57,1.6474025e-05
58,0.58,1.7266111e-05
59,0.59,2.0666197e-05
60,0.6,2.5711373e-05
61,0.61,2.8780834e-05
62,0.62,2.8864639e-05
63,0.63,2.962734e-05
64,0.64,3.4168766e-05
65,0.65,4.245575e-05
66,0.66,5.3145694e-05
67,0.67,6.516065e-05
68,0.68,7.795625e-05
69,0.69,9.132897e-05
70,0.7,0.000105223495
71,0.71,0.000119633754
72,0.72,0.00013456779
73,0.73,0.00015002408
74,0.74,0.00016599786
75,0.75,0.00018247454
76,0.76,0.0001994322
77,0.77,0.00021684566
78,0.78,0.00023468283
79,0.79,0.0002529075
80,0.8,0.00027147794
81,0.81,0.00029034543
82,0.82,0.00030946126
83,0.83,0.0003287688
84,0.84,0.00034821293
85,0.85,0.0003677288
86,0.86,0.00038725522
87,0.87,0.00040673008
88,0.88,0.00042609716
89,0.89,0.00044530685
90,0.9,0.00046433337
91,0.91,0.00048317696
92,0.92,0.00050189195
93,0.93,0.00052059063
94,0.94,0.00053942204
95,0.95,0.0005584626
96,0.96,0.00057762954
97,0.97,0.0005968282
98,0.98,0.0006156237
99,0.99,0.00063550385
100,1.0,0.0006496427
101,1.0,0.0006496427
102,1.02,0.0006551871
103,1.04,0.00065396994
104,1.06,0.0006533723
105,1.08,0.0006536891
106,1.1,0.0006542435
107,1.12,0.00065440126
108,1.14,0.00065388414
109,1.16,0.00065274007
110,1.18,0.000651187
111,1.2,0.000649481
112,1.22,0.0006478455
113,1.24,0.0006464351
114,1.26,0.0006453432
115,1.28,0.0006446058
116,1.3,0.00064422074
117,1.32,0.0006441581
118,1.34,0.00064437126
119,1.36,0.0006448059
120,1.38,0.00064540416
121,1.4,0.0006461087
122,1.42,0.00064686476
123,1.44,0.00064762216
124,1.46,0.00064833503
125,1.48,0.00064896344
126,1.5,0.00064947706
127,1.52,0.00064984744
128,1.54,0.00065005536
129,1.56,0.00065008824
130,1.58,0.0006499402
131,1.6,0.0006496121
132,1.62,0.00064911164
133,1.64,0.0006484527
134,1.66,0.0006476561
135,1.68,0.0006467474
136,1.7,0.00064575754
137,1.72,0.00064472144
138,1.74,0.0006436759
139,1.76,0.00064265827
140,1.78,0.0006417074
141,1.8,0.0006408564
142,1.82,0.00064013625
143,1.84,0.0006395685
144,1.86,0.0006391657
145,1.88,0.0006389288
146,1.9,0.0006388463
147,1.92,0.00063888996
148,1.94,0.00063901715
149,1.96,0.0006391695
150,1.98,0.0006392765
151,2.0,0.0006392602
152,2.02,0.0006390437
153,2.04,0.00063856714
154,2.06,0.0006378206
155,2.08,0.00063690444
156,2.1,0.0006361109
157,2.12,0.00063588406
158,2.14,0.0006360683
159,2.16,0.0006351537
160,2.18,0.0006339995
161,2.2,0.0006337409
162,2.22,0.00063314463
163,2.24,0.00063254754
164,2.26,0.000631419
165,2.28,0.00062987895
166,2.3,0.00062864914
167,2.32,0.00062870444
168,2.34,0.0006309981
169,2.36,0.0006362815
170,2.38,0.0006450521
171,2.4,0.00065756164
172,2.42,0.00067386037
173,2.44,0.0006938479
174,2.46,0.00071731285
175,2.48,0.00074396614
176,2.5,0.0007734644
177,2.52,0.0008054377
178,2.54,0.00083950034
179,2.56,0.0008752667
180,2.58,0.00091236416
181,2.6,0.0009504437
182,2.62,0.0009891848
183,2.64,0.0010283084
184,2.66,0.0010675761
185,2.68,0.0011067974
186,2.7,0.0011458291
187,2.72,0.001184579
188,2.74,0.0012229999
189,2.76,0.0012610987
190,2.78,0.0012989311
191,2.8,0.0013365974
192,2.82,0.001374245
193,2.84,0.0014120485
194,2.86,0.0014501737
195,2.88,0.0014887176
196,2.9,0.0015276106
197,2.92,0.0015665371
198,2.94,0.0016050681
199,2.96,0.0016433875
200,2.98,0.0016824913
201,3.0,0.0017130981
202,3.0,0.0017130981
203,3.02,0.0017188775
204,3.04,0.0017181886
205,3.06,0.001718504
206,3.08,0.0017189876
207,3.1,0.0017188379
208,3.12,0.0017186054
209,3.14,0.0017185915
210,3.16,0.0017187562
211,3.18,0.0017189671
212,3.2,0.0017191218
213,3.22,0.001719168
214,3.24,0.0017190943
215,3.26,0.0017189123
216,3.28,0.001718642
217,3.3,0.001718311
218,3.32,0.0017179449
219,3.34,0.0017175658
220,3.36,0.0017171951
221,3.38,0.0017168508
222,3.4,0.0017165487
223,3.42,0.0017163006
224,3.44,0.0017161153
225,3.46,0.0017160036
226,3.48,0.0017159707
227,3.5,0.0017160203
228,3.52,0.0017161542
229,3.54,0.0017163724
230,3.56,0.0017166736
231,3.58,0.0017170521
232,3.6,0.0017175009
233,3.62,0.0017180109
234,3.64,0.0017185714
235,3.66,0.001719168
236,3.68,0.0017197855
237,3.7,0.0017204073
238,3.72,0.0017210158
239,3.74,0.0017215908
240,3.76,0.0017221152
241,3.78,0.0017225692
242,3.8,0.0017229363
243,3.82,0.0017232011
244,3.84,0.0017233529
245,3.86,0.0017233834
246,3.88,0.0017232891
247,3.9,0.0017230733
248,3.92,0.0017227451
249,3.94,0.0017223194
250,3.96,0.0017218204
251,3.98,0.0017212782
252,4.0,0.0017207293
253,4.02,0.0017202155
254,4.04,0.0017197842
255,4.06,0.0017194825
256,4.08,0.0017193567
257,4.1,0.0017194472
258,4.12,0.0017197825
259,4.14,0.0017203703
260,4.16,0.001721198
261,4.18,0.0017222151
262,4.2,0.0017233368
263,4.22,0.0017244397
264,4.24,0.0017253733
265,4.26,0.0017259889
266,4.28,0.00172618
267,4.3,0.0017259493
268,4.32,0.001725458
269,4.34,0.001725036
270,4.36,0.0017251036
271,4.38,0.0017259892
272,4.4,0.0017276517
273,4.42,0.0017293207
274,4.44,0.001729737
275,4.46,0.0017294949
276,4.48,0.0017296096
277,4.5,0.0017297902
278,4.52,0.00173627
279,4.54,0.0017546203
280,4.56,0.0017834826
281,4.58,0.0018187342
282,4.6,0.0018569852
283,4.62,0.0018962155
284,4.64,0.0019354073
285,4.66,0.0019741312
286,4.68,0.002012275
287,4.7,0.0020498943
288,4.72,0.0020871353
289,4.74,0.0021241906
290,4.76,0.002161268
291,4.78,0.0021985734
292,4.8,0.002236297
293,4.82,0.002274595
294,4.84,0.0023135613
295,4.86,0.002353199
296,4.88,0.0023933784
297,4.9,0.0024337799
298,4.92,0.0024738351
299,4.94,0.0025126715
300,4.96,0.0025490634
301,4.98,0.0025814576
302,5.0,0.002608104
303,5.0,0.002608104
304,5.02,0.0026273993
305,5.04,0.002638505
306,5.06,0.0026421424
307,5.08,0.00264108
308,5.1,0.0026393915
309,5.12,0.0026398548
310,5.14,0.002640908
311,5.16,0.0026404567
312,5.18,0.0026395146
313,5.2,0.0026404052
314,5.22,0.0026395512
315,5.24,0.002639398
316,5.26,0.0026400061
317,5.28,0.0026407419
318,5.3,0.0026412795
319,5.32,0.0026415323
320,5.34,0.0026415244
321,5.36,0.0026413156
322,5.38,0.002640968
323,5.4,0.002640536
324,5.42,0.0026400604
325,5.44,0.0026395703
326,5.46,0.0026390858
327,5.48,0.0026386185
328,5.5,0.0026381752
329,5.52,0.0026377619
330,5.54,0.0026373784
331,5.56,0.0026370245
332,5.58,0.0026366997
333,5.6,0.0026364035
334,5.62,0.0026361342
335,5.64,0.0026358906
336,5.66,0.0026356704
337,5.68,0.002635473
338,5.7,0.0026352976
339,5.72,0.002635143
340,5.74,0.0026350075
341,5.76,0.002634891
342,5.78,0.0026347926
343,5.8,0.002634711
344,5.82,0.0026346452
345,5.84,0.0026345935
346,5.86,0.002634555
347,5.88,0.002634529
348,5.9,0.0026345125
349,5.92,0.0026345036
350,5.94,0.0026345006
351,5.96,0.0026344997
352,5.98,0.0026344974
353,6.0,0.002634489
354,6.02,0.0026344715
355,6.04,0.0026344382
356,6.06,0.0026343819
357,6.08,0.002634296
358,6.1,0.002634172
359,6.12,0.002634
360,6.14,0.0026337712
361,6.16,0.002633475
362,6.18,0.002633102
363,6.2,0.0026326443
364,6.22,0.0026320966
365,6.24,0.0026314626
366,6.26,0.0026307509
367,6.28,0.0026299884
368,6.3,0.0026292186
369,6.32,0.0026285113
370,6.34,0.002627965
371,6.36,0.0026277131
372,6.38,0.0026279062
373,6.4,0.0026286892
374,6.42,0.0026301227
375,6.44,0.002632018
376,6.46,0.002633637
377,6.48,0.002633565
378,6.5,0.0026320405
379,6.52,0.0026345698
380,6.54,0.0026370208
381,6.56,0.0026375363
382,6.58,0.00264978
383,6.6,0.0026754972
384,6.62,0.0027092379
385,6.64,0.0027465248
386,6.66,0.0027849781
387,6.68,0.0028235521
388,6.7,0.0028618632
389,6.72,0.00289985
390,6.74,0.0029375737
391,6.76,0.0029751428
392,6.78,0.0030126679
393,6.8,0.0030502332
394,6.82,0.0030879022
395,6.84,0.0031257062
396,6.86,0.0031636495
397,6.88,0.0032017152
398,6.9,0.00323987
399,6.92,0.0032780713
400,6.94,0.0033162662
401,6.96,0.0033544027
402,6.98,0.0033924328
403,7.0,0.003430306
