,t,gamma
0,0.0,1.2207032e-07
1,0.01,6.46323e-07
2,0.02,1.0843278e-06
3,0.03,1.4315845e-06
4,0.04,1.6853512e-06
5,0.05,1.8469394e-06
6,0.06,1.9207896e-06
7,0.07,1.91468e-06
8,0.08,1.8416943e-06
9,0.09,1.7154814e-06
10,0.1,1.5580059e-06
11,0.11,1.3914109e-06
12,0.12,1.2427867e-06
13,0.13,1.1424423e-06
14,0.14,1.1222363e-06
15,0.15,1.2143553e-06
16,0.16,1.451403e-06
17,0.17,1.8621088e-06
18,0.18,2.473414e-06
19,0.19,3.3088627e-06
20,0.2,4.393667e-06
21,0.21,5.765081e-06
22,0.22,7.497669e-06
23,0.23,9.750545e-06
24,0.24,1.2847781e-05
25,0.25,1.7376691e-05
26,0.26,2.424893e-05
27,0.27,3.4554425e-05
28,0.28,4.8976843e-05
29,0.29,6.6912326e-05
30,0.3,8.630866e-05
31,0.31,0.00010523108
32,0.32,0.00012352553
33,0.33,0.00014210913
34,0.34,0.000161311
35,0.35,0.00018070702
36,0.36,0.00019984467
37,0.37,0.00021858666
38,0.38,0.00023703097
39,0.39,0.00025534103
40,0.4,0.00027365948
41,0.41,0.0002920708
42,0.42,0.00031061895
43,0.43,0.00032931086
44,0.44,0.00034813661
45,0.45,0.00036707404
46,0.46,0.000386095
47,0.47,0.0004051753
48,0.48,0.0004242925
49,0.49,0.00044342547
50,0.5,0.00046255672
51,0.51,0.00048167625
52,0.52,0.00050077477
53,0.53,0.000519846
54,0.54,0.00053888717
55,0.55,0.00055789726
56,0.56,0.00057687704
57,0.57,0.00059582695
58,0.58,0.000614752
59,0.59,0.0006336538
60,0.6,0.0006525358
61,0.61,0.0006714024
62,0.62,0.0006902548
63,0.63,0.0007091006
64,0.64,0.00072793866
65,0.65,0.000746776
66,0.66,0.0007656117
67,0.67,0.00078444986
68,0.68,0.0008032911
69,0.69,0.0008221361
70,0.7,0.00084098516
71,0.71,0.0008598375
72,0.72,0.0008786928
73,0.73,0.00089754694
74,0.74,0.0009163966
75,0.75,0.00093523995
76,0.76,0.0009540708
77,0.77,0.0009728859
78,0.78,0.0009916797
79,0.79,0.0010104502
80,0.8,0.0010291949
81,0.81,0.0010479153
82,0.82,0.0010666157
83,0.83,0.0010853043
84,0.84,0.0011039994
85,0.85,0.0011227194
